index,t,days,siteID,lpC,sdlpC,MLD,dMLD,N0,light,rPC,sdrPC,zeu,sdzeu,lpC_median,latitude,lpC_lb68,lpC_ub68,lpC_lb95,lpC_ub95
1,1,1,1,1.93086814488568,1.14746232821366,118.963939735327,0,15.5072484375,32.4354889137826,-0.045978153891059,0.136263055141965,62.395448127754,5.60873728936459,1.93086814488568,42.5,0.78340581667202,3.07833047309934,-0.36405651154164,4.225792801313
2,8,8,1,1.93086814488568,1.14746232821366,118.963939735327,0.784213904473499,15.5072484375,32.4354889137826,-0.045978153891059,0.136263055141965,62.395448127754,5.60873728936459,1.93086814488568,42.5,0.78340581667202,3.07833047309934,-0.36405651154164,4.225792801313
3,16,16,1,1.56304291375722,1.06875983281991,132.579377199544,1.00111791423075,15.5072484375,41.5635719793862,-0.00293506553227965,0.1815490348101,63.9533521328375,5.61318948473833,1.56304291375722,42.5,0.49428308093731,2.63180274657713,-0.5744767518826,3.70056257939704
4,24,24,1,1.53956238949898,1.15147127566262,137.785073442691,0.65071203851175,15.5072484375,58.8601975301401,-0.0499298046452277,0.20387734850259,63.0248754793082,4.87551610718206,1.53956238949898,42.5,0.38809111383636,2.6910336651616,-0.76338016182626,3.84250494082422
5,32,32,1,1.14012395233716,1.23431673032577,142.990769676865,0.457974117892209,15.5072484375,57.094704994178,-0.0614772894477694,0.219890588018632,65.7947371594119,4.9021731863522,1.14012395233716,42.5,-0.09419277798861,2.37444068266293,-1.32850950831438,3.6087574129887
6,40,40,1,0.64830563675501,1.45635827029926,148.196466123826,-0.312977534889916,15.5072484375,48.7343391183721,0.159974839885855,0.190853594101388,65.0943685466389,5.04372763706592,0.64830563675501,42.5,-0.80805263354425,2.10466390705427,-2.26441090384351,3.56102217735353
7,48,48,1,1.92810435584183,0.944018154183117,148.776452272104,-1.08392919994063,15.5072484375,37.9135351802503,0.0698170741279884,0.137607032824899,64.2961747264539,4.9068191049295,1.92810435584183,42.5,0.984086201658713,2.87212251002495,0.0400680474755961,3.81614066420806
8,56,56,1,2.48664094886573,0.687267755329232,135.479308839507,-1.66214294266092,15.5072484375,57.2370220644588,-0.0659795655343542,0.15960020885092,61.9084807933378,5.08480814946382,2.48664094886573,42.5,1.7993731935365,3.17390870419496,1.11210543820727,3.86117645952419
9,64,64,1,1.9588044245909,1.14451937200936,122.182165325251,-1.19200115910904,15.5072484375,64.0677672582781,0.0158529592339677,0.144443706971157,56.8341021734485,6.2357033484294,1.9588044245909,42.5,0.81428505258154,3.10332379660026,-0.33023431942782,4.24784316860962
10,72,72,1,2.08562809846264,0.725923757502664,108.885021648242,-0.565145446637417,15.5072484375,82.4684247531982,-0.0281012326965191,0.144672247819108,56.4580740688583,5.81186141217379,2.08562809846264,42.5,1.35970434095998,2.8115518559653,0.633780583457312,3.53747561346797
11,80,80,1,1.8608182368905,0.97967968579822,106.87128102089,0.0617102773660001,15.5072484375,93.1583539498449,0.000486544430517936,0.156247758481451,54.187236588863,7.33757827909795,1.8608182368905,42.5,0.88113855109228,2.84049792268872,-0.0985411347059399,3.82017760848694
12,88,88,1,1.86471059233464,1.04946278944658,108.618674605953,0.218424218277667,15.5072484375,78.576273288207,-0.0514532201396328,0.186528247725099,47.5138371018243,8.41472653450693,1.86471059233464,42.5,0.81524780288806,2.91417338178122,-0.23421498655852,3.9636361712278
13,96,96,1,1.45308483121759,1.26856185389452,110.366068305026,-0.60630620211985,15.5072484375,108.402087534229,0.120955862228151,0.167417604442989,56.3917349524638,6.6075630125724,1.45308483121759,42.5,0.18452297732307,2.72164668511211,-1.08403887657145,3.99020853900663
14,104,104,1,2.42073172904278,0.632335555213549,112.113462259554,-1.54885526638066,15.5072484375,113.334749158921,0.0913629408735505,0.0875048116210109,48.8981395614485,7.01851369235891,2.42073172904278,42.5,1.78839617382923,3.05306728425633,1.15606061861568,3.68540283946988
15,112,112,1,3.15163525603117,0.532939633036334,94.0673257550766,-2.49140433384863,15.5072484375,109.239240324752,-0.0073978131972087,0.0927171922435507,43.8525225085688,7.93257558736389,3.15163525603117,42.5,2.61869562299484,3.6845748890675,2.0857559899585,4.21751452210384
16,120,120,1,3.09245275045351,0.592686295527091,73.1935419118901,-2.52189649458976,15.5072484375,122.982581615129,0.0367781631568488,0.0901856460499336,46.2272544690475,6.50096412389434,3.09245275045351,42.5,2.49976645492642,3.6851390459806,1.90708015939933,4.27782534150769
17,128,128,1,3.38667805570829,0.547388749861781,52.3197582471869,-1.82328472888097,15.5072484375,122.278263963844,-0.00835613530566109,0.0873653735508642,45.1266346912587,6.91637997886764,3.38667805570829,42.5,2.83928930584651,3.93406680557007,2.29190055598473,4.48145555543185
18,136,136,1,3.31982897326299,0.498544385439361,33.5418098849224,-1.12467296883395,15.5072484375,88.35604062552,-0.00417797320655266,0.0911177695886439,49.8037242832124,6.1239248401352,3.31982897326299,42.5,2.82128458782363,3.81837335870235,2.32274020238427,4.31691774414171
19,144,144,1,3.28640518761058,0.599451696796138,29.4347084187469,-0.513387679062371,15.5072484375,124.909349772183,-0.00967335871237047,0.0774324942732952,48.6439611953171,7.12127490420888,3.28640518761058,42.5,2.68695349081444,3.88585688440672,2.0875017940183,4.48530858120286
20,152,152,1,3.20901831791162,0.42328696236519,25.327606995172,-0.480927103752342,15.5072484375,142.082093101887,-0.0124313808330663,0.0578884891133355,52.8763668535822,6.65997050475286,3.20901831791162,42.5,2.78573135554643,3.63230528027681,2.36244439318124,4.055592242642
21,160,160,1,3.10956727124709,0.418817203747889,21.2205055874255,-0.351084804402458,15.5072484375,141.453387199178,-0.0121358368212087,0.0585150511727609,52.6546618936135,6.85637064672593,3.10956727124709,42.5,2.6907500674992,3.52838447499498,2.27193286375131,3.94720167874287
22,168,168,1,3.01248057667743,0.394780055891702,17.8924579286907,-0.221242504971517,15.5072484375,122.661309301509,-0.0606965618073356,0.062166810841123,56.0300420879662,6.58502641953043,3.01248057667743,42.5,2.61770052078573,3.40726063256913,2.22292046489403,3.80204068846083
23,176,176,1,2.52690808221874,0.38225679673723,16.901571689513,-0.123860778750992,15.5072484375,125.564530174802,-0.00250023983396851,0.0599409575231468,60.7693623728892,6.37620428118102,2.52690808221874,42.5,2.14465128548151,2.90916487895597,1.76239448874428,3.2914216756932
24,184,184,1,2.50690616354699,0.360985688011122,15.9106854681091,-0.1049382580289,15.5072484375,130.428419608749,0.00225755665989927,0.0527333357326622,65.1754336083273,6.33601220159395,2.50690616354699,42.5,2.14592047553587,2.86789185155811,1.78493478752475,3.22887753956923
25,192,192,1,2.52496661682619,0.279031100992894,14.9197992386669,-0.0670932183621626,15.5072484375,135.086815442315,-0.00750071687278271,0.0501464886362333,68.6208860617553,5.99728245196065,2.52496661682619,42.5,2.2459355158333,2.80399771781908,1.9669044148404,3.08302881881198
26,200,200,1,2.46496088184393,0.31223388494647,14.3830534968194,-0.0292481778227459,15.5072484375,111.404749147505,0.00953155353950331,0.0570029609901581,68.6542327427207,6.49767533552306,2.46496088184393,42.5,2.15272699689746,2.7771947667904,1.84049311195099,3.08942865173687
27,208,208,1,2.54121331015996,0.333119810029859,14.3004482274172,-0.0103256573296917,15.5072484375,115.149133190477,-0.049858206573219,0.0652711434965014,67.7881329135772,5.81621849186906,2.54121331015996,42.5,2.2080935001301,2.87433312018982,1.87497369010024,3.20745293021968
28,216,216,1,2.1423476575742,0.427821906562947,14.217842970921,0.0614692365640292,15.5072484375,123.242913992256,0.0303021776318566,0.0605685946506704,69.6425635693147,6.23326087999069,2.1423476575742,42.5,1.71452575101125,2.57016956413715,1.28670384444831,2.99799147070009
29,224,224,1,2.38476507862906,0.34278698955229,14.1352377209068,0.176341065490546,15.5072484375,116.034433816284,-0.019483002147007,0.0533228139691883,69.6268515313673,6.39774211124225,2.38476507862906,42.5,2.04197808907677,2.72755206818135,1.69919109952448,3.07033905773364
30,232,232,1,2.22890106145301,0.316496744953685,15.7757099049539,0.291212895360808,15.5072484375,108.71939211389,0.0166418205303053,0.0527337412165106,74.0026026745315,5.43827823956281,2.22890106145301,42.5,1.91240431649932,2.54539780640669,1.59590757154564,2.86189455136038
31,240,240,1,2.36203562569544,0.358752447769979,18.4500285426941,0.334289830706117,15.5072484375,82.3219915053332,-0.0018183198430791,0.0805776872335959,73.9351743239174,6.09090195545844,2.36203562569544,42.5,2.00328317792546,2.72078807346542,1.64453073015548,3.0795405212354
32,248,248,1,2.34748906695081,0.54354090597798,21.1243472095662,0.304775417547121,15.5072484375,114.378602304641,0.00175780543735507,0.0782126924045301,70.4460218261688,6.13712709757763,2.34748906695081,42.5,1.80394816097283,2.89102997292879,1.26040725499485,3.43457087890677
33,256,256,1,2.36155151044965,0.330686009148965,23.7986658419007,0.265422862983413,15.5072484375,72.5763309974534,-0.0151665782966405,0.0766973265571265,65.0043914959173,6.31281769337305,2.36155151044965,42.5,2.03086550130068,2.69223751959862,1.70017949215172,3.02292352874758
34,264,264,1,2.24021888407653,0.592145253936427,25.764638563825,0.226070313254304,15.5072484375,89.7262844495417,-0.0381904192131226,0.0899768912163254,66.7880056376267,7.43749508153346,2.24021888407653,42.5,1.6480736301401,2.83236413801296,1.05592837620368,3.42450939194938
35,272,272,1,1.93469553037155,0.495258104002431,27.4944959211681,0.216232172986154,15.5072484375,68.9415658426142,0.0370072260764024,0.0842140820103669,67.4854086118944,7.68825635042471,1.93469553037155,42.5,1.43943742636912,2.42995363437398,0.944179322366688,2.92521173837641
36,280,280,1,2.23075333898277,0.54642637748206,29.224353360004,0.330482004845721,15.5072484375,73.4597117706727,-0.00976605018779279,0.0905362190641602,65.0647404689266,6.46026768009798,2.23075333898277,42.5,1.68432696150071,2.77717971646483,1.13790058401865,3.32360609394689
37,288,288,1,2.15262493748042,0.572193724147562,30.9542107154927,0.444731836292067,15.5072484375,73.3628397669204,0.0536982694323152,0.0962721910401929,64.0180032251617,5.63039176840671,2.15262493748042,42.5,1.58043121333286,2.72481866162798,1.0082374891853,3.29701238577554
38,296,296,1,2.58221109293894,0.602673677649113,35.4260640374654,0.558981667294129,15.5072484375,45.2567000645219,-0.0810453998660156,0.116503172800518,60.1716470868065,6.27015600259433,2.58221109293894,42.5,1.97953741528983,3.18488477058805,1.37686373764071,3.78755844823717
39,304,304,1,1.93384789401082,0.778687730408701,39.8979174310136,0.574694811435492,15.5072484375,57.3613524538974,0.011509879611489,0.124254080138112,58.6114414640937,5.55326281904956,1.93384789401082,42.5,1.15516016360212,2.71253562441952,0.376472433193418,3.49122335482822
40,312,312,1,2.02592693090274,0.726329510697103,44.3697707305518,0.700399972205225,15.5072484375,53.3504528243522,-0.0615519879587145,0.15569077562435,59.0607533143634,5.56924339959467,2.02592693090274,42.5,1.29959742020564,2.75225644159984,0.573267909508534,3.47858595229695
41,320,320,1,1.53351102723302,1.01782057823336,49.2187395119172,0.8261051309778,15.5072484375,33.0551298292265,0.0424064087751295,0.145525372405128,55.7827892309433,5.54064723815969,1.53351102723302,42.5,0.51569044899966,2.55133160546638,-0.5021301292337,3.56915218369974
42,328,328,1,1.87276229743406,0.802180509883427,56.707516763939,0.936097150171109,15.5072484375,31.0288314629942,0.0437960772120795,0.129071893949891,57.2549676912035,5.85507725714461,1.87276229743406,42.5,1.07058178755063,2.67494280731749,0.268401277667206,3.47712331720091
43,336,336,1,2.22313091513069,0.894772394933822,64.196293874019,1.04312979036873,15.5072484375,43.412275455351,-0.02406941187795,0.136252898190792,58.4479070446562,5.0917648432029,2.22313091513069,42.5,1.32835852019687,3.11790331006451,0.433586125263046,4.01267570499833
44,344,344,1,2.03057562010709,0.962637830168036,71.6850711160238,1.32855018655183,15.5072484375,40.4841971268096,0.0335510616120453,0.141043850618286,59.7606671163446,5.70029737622968,2.03057562010709,42.5,1.06793778993905,2.99321345027513,0.105299959771018,3.95585128044316
45,352,352,1,2.29898411300345,0.845823454820573,81.7426317327886,3.26674167275202,15.5072484375,39.6742449304176,0.00230052030835288,0.101132362678599,56.6744349100864,6.65335568729268,2.29898411300345,42.5,1.45316065818288,3.14480756782402,0.607337203362304,3.9906310226446
46,360,360,1,2.31738827547028,0.760820518917375,96.0814983512629,2.84767664705349,15.5072484375,34.6509612085242,0.0236683988254313,0.111491440772185,52.5653224412275,6.4805369870317,2.31738827547028,42.5,1.55656775655291,3.07820879438766,0.79574723763553,3.83902931330503
47,366,1,1,2.44398869448277,0.952140649557601,136.58552803437,2.94784373233627,15.5072484375,39.9284722375521,-0.0458670995639154,0.137797453991301,53.120467023817,9.20559361208283,2.44398869448277,42.5,1.49184804492517,3.39612934404037,0.539707395367568,4.34826999359797
48,373,8,1,2.44398869448277,0.952140649557601,136.58552803437,0.269651551202459,15.5072484375,35.5036020309381,-0.0458670995639154,0.137797453991301,53.120467023817,9.20559361208283,2.44398869448277,42.5,1.49184804492517,3.39612934404037,0.539707395367568,4.34826999359797
