index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD,N0
81,637,272,1999,40,-45,45,-35,1,2.09647802397255,0.390781231954729,36.8068660232094,15.5072484375
82,645,280,1999,40,-45,45,-35,1,2.05519993358264,0.47278506028613,40.0184507009719,15.5072484375
83,653,288,1999,40,-45,45,-35,1,2.3972049457678,0.589301249917759,43.2300353562833,15.5072484375
84,661,296,1999,40,-45,45,-35,1,2.61088153312511,0.669979621214503,49.8502406507731,15.5072484375
85,669,304,1999,40,-45,45,-35,1,2.04730140046589,0.740797516810467,56.4704458304909,15.5072484375
86,677,312,1999,40,-45,45,-35,1,1.50836325336787,0.85586090997934,63.0906511181264,15.5072484375
87,685,320,1999,40,-45,45,-35,1,1.85552214678546,0.759477079275673,69.1657088858223,15.5072484375
88,693,328,1999,40,-45,45,-35,1,1.93603238653692,0.801503945018055,71.4247338760895,15.5072484375
89,701,336,1999,40,-45,45,-35,1,1.86497364976343,0.697550802868631,73.6837588489389,15.5072484375
90,709,344,1999,40,-45,45,-35,1,1.72483028977429,0.843600889529712,75.9427837764393,15.5072484375
91,717,352,1999,40,-45,45,-35,1,1.17180311263677,1.25683591160949,84.8312196868662,15.5072484375
92,725,360,1999,40,-45,45,-35,1,1.56354352542253,0.94248229478506,104.768674010039,15.5072484375
93,732,1,2000,40,-45,45,-35,1,2.08625457031345,0.837423858878136,103.783526346353,15.5072484375
94,739,8,2000,40,-45,45,-35,1,2.08625457031345,0.837423858878136,103.783526346353,15.5072484375
95,747,16,2000,40,-45,45,-35,1,1.68967002789225,0.814371663416379,101.785297538009,15.5072484375
96,755,24,2000,40,-45,45,-35,1,1.39024808769181,1.0292961655444,115.42944281535,15.5072484375
97,763,32,2000,40,-45,45,-35,1,1.71884114796085,1.10660937408813,129.073587998252,15.5072484375
98,771,40,2000,40,-45,45,-35,1,2.34305688761507,0.857471923405654,142.717733135621,15.5072484375
99,779,48,2000,40,-45,45,-35,1,2.04577896136088,0.75559335542816,156.550877950457,15.5072484375
100,787,56,2000,40,-45,45,-35,1,2.43466197277691,0.693170771201779,170.95102026648,15.5072484375
101,795,64,2000,40,-45,45,-35,1,1.93329713993763,0.766937784719289,185.351163221102,15.5072484375
102,803,72,2000,40,-45,45,-35,1,2.43043486117805,0.621097652531651,199.751305675176,15.5072484375
103,811,80,2000,40,-45,45,-35,1,2.45567616645555,0.732817720352186,197.583510870835,15.5072484375
104,819,88,2000,40,-45,45,-35,1,2.73170978703019,0.621832030475575,189.893069930954,15.5072484375
105,827,96,2000,40,-45,45,-35,1,2.25007746007368,0.758093427462537,182.20262944763,15.5072484375
106,835,104,2000,40,-45,45,-35,1,2.30694096430678,0.572497552582116,174.512188853241,15.5072484375
107,843,112,2000,40,-45,45,-35,1,2.55460115714356,0.71002629252192,139.099287999355,15.5072484375
108,851,120,2000,40,-45,45,-35,1,2.64589303120562,0.672146388430613,99.7260365008812,15.5072484375
109,859,128,2000,40,-45,45,-35,1,2.91498346553454,0.593570696157165,60.3527846850954,15.5072484375
110,867,136,2000,40,-45,45,-35,1,3.0545465648874,0.402093221649209,25.7640029175249,15.5072484375
111,875,144,2000,40,-45,45,-35,1,3.36326118499776,0.477159107104982,24.6665118617813,15.5072484375
112,883,152,2000,40,-45,45,-35,1,3.32376311494677,0.372231587857648,23.5690208098624,15.5072484375
113,891,160,2000,40,-45,45,-35,1,3.09079088968181,0.432447938559211,22.4715297548308,15.5072484375
114,899,168,2000,40,-45,45,-35,1,3.04841245570428,0.402595986416826,21.3780104440948,15.5072484375
115,907,176,2000,40,-45,45,-35,1,2.9224143282581,0.34975437591122,20.2964063123863,15.5072484375
116,915,184,2000,40,-45,45,-35,1,2.83611951551274,0.421902853312637,19.2148021385488,15.5072484375
117,923,192,2000,40,-45,45,-35,1,2.63698182562258,0.325030046199156,18.1331980069479,15.5072484375
118,931,200,2000,40,-45,45,-35,1,2.54467086723439,0.333558979775179,17.9262941941536,15.5072484375
119,939,208,2000,40,-45,45,-35,1,2.61713799091232,0.35705013898737,18.5940906768707,15.5072484375
120,947,216,2000,40,-45,45,-35,1,2.40539298899886,0.406657792226895,19.2618871688346,15.5072484375
121,955,224,2000,40,-45,45,-35,1,2.41522468774913,0.412451769111063,19.9296836479753,15.5072484375
122,963,232,2000,40,-45,45,-35,1,2.31212644797515,0.320535927314261,20.698552477931,15.5072484375
123,971,240,2000,40,-45,45,-35,1,2.24696918765681,0.388647309441808,21.5280647284869,15.5072484375
124,979,248,2000,40,-45,45,-35,1,2.33272600256913,0.370640130580364,22.35757700661,15.5072484375
125,987,256,2000,40,-45,45,-35,1,2.30247926446668,0.433944830444441,23.1870892394004,15.5072484375
126,995,264,2000,40,-45,45,-35,1,2.06996198369107,0.465045516493867,26.0238930263288,15.5072484375
127,1003,272,2000,40,-45,45,-35,1,2.30908019841319,0.434439219692526,29.5297939122882,15.5072484375
128,1011,280,2000,40,-45,45,-35,1,2.14198405346214,0.529262005071153,33.03569487378,15.5072484375
129,1019,288,2000,40,-45,45,-35,1,2.1120589875433,0.401652522111872,36.541595781727,15.5072484375
