n_median,p_median,z_median,rp_median,rp_lb68,rp_ub68,rp_lb95,rp_ub95,rz_median,psynth_median,predation_median,mldloss_median,noZoo_median,noMLD_median,zPred_median,zMLD_median,p_maxL_median,p_noZ_median,p_maxMLD_median,light,mld,dmld,r,dps1_median,dps1_lb68,dps1_ub68,dps1_lb95,dps1_ub95,tavg
5.25436328910435,3.24412598489332,3.64215663114931,-0.0149707899780482,-0.0265140196693727,-0.00841974395918042,-0.0265140196693727,-0.00841974395918042,40.3840128532545,0.267576262198511,0.151381366301616,0.137373855277609,0.135685987154799,0.120073218068036,0.107457175875807,-0.0109695939285136,2.96260635837744,3.24412598489332,2.99079343541075,132.002077030463,21.2935710316963,-0.281854766860395,-0.016841926656446,3.41556101291149,2.97328010664291,3.79943174397016,2.97328010664291,3.79943174397016,1
5.26100130687514,3.09627240420912,3.80248597094833,-0.0192088197878128,-0.0297002840894673,-0.00889442859160299,-0.0297002840894673,-0.00889442859160299,45.2706859759734,0.280601994936671,0.156965242005347,0.149347240873554,0.137305426829589,0.12817163306607,0.0807953174415303,-0.00784618551365981,2.86673657862461,3.09627240420912,3.01416991923887,121.092839511961,19.0387328968131,-0.161888490642319,-0.0184260202216755,3.28082559965992,3.0203990845725,3.51503462173928,3.0203990845725,3.51503462173928,2
5.26699063700869,2.95321912428301,3.87399951486554,-0.0181319553945243,-0.0253534572282955,-0.0115750905918366,-0.0253534572282955,-0.0115750905918366,50.7111664171093,0.284058556182001,0.148952704552977,0.15900440141338,0.130906758826922,0.13949556780192,0.0604665706936855,-0.00249365108288366,2.78013679292733,2.95321912428301,3.02157739032094,107.688218555776,17.7436249716746,-0.0419222140628846,-0.0199949679255117,3.13341743788652,2.88923025205316,3.25593537687512,2.88923025205316,3.25593537687512,3
5.27097485328221,2.85667115270757,3.88125671994853,-0.00985886553796005,-0.0189308514341549,-0.0012008032314349,-0.0189308514341549,-0.0012008032314349,54.6901406381235,0.283678366344037,0.137343580155052,0.162459272432712,0.127721450775414,0.151230831542005,0.0490747665683141,-0.00256660954384504,2.72369455449551,2.85667115270757,3.0223302760848,111.745152799518,17.4082472591715,-0.041922213800458,-0.0196115582583003,2.97345769448243,2.66391769744158,3.12947207610226,2.66391769744158,3.12947207610226,4
5.27311827291901,2.8075711366772,3.86699590682443,-0.00503301248836746,-0.0121506792662028,-0.00252993232412746,-0.0121506792662028,-0.00252993232412746,57.0144082934397,0.284510667470063,0.129489760322579,0.166132274889352,0.124395648488064,0.159783257719357,0.044998791567359,-0.00264471342871078,2.68081414199114,2.8075711366772,3.02536025885005,127.428950269647,17.0728695487679,-0.0419222147545465,-0.00457652150829826,2.81656522841602,2.68098093582581,2.92967041227767,2.68098093582581,2.92967041227767,5
5.27518796226856,2.71854603240325,3.79290767440283,-0.0138392851499041,-0.0221101231346672,-0.00831429441118359,-0.0221101231346672,-0.00831429441118359,60.426821745245,0.27354938702765,0.114088230243136,0.178779588150077,0.100458554607726,0.163945712245163,0.03864264263771,0.00873132757140933,2.62357218689002,2.71854603240325,3.02013113317964,110.053928989833,16.7374918307315,0.148291789668301,-0.00932005576918523,2.77995305634964,2.65668418357838,2.87968243167942,2.65668418357838,2.87968243167942,6
5.27624739416821,2.68144588792054,3.63703342482397,0.00026066029417941,-0.00389485543866783,0.00599865669926574,-0.00389485543866783,0.00599865669926574,62.8626398693165,0.263325966941193,0.0941674870786602,0.173680900905003,0.0946390857683297,0.172483075533438,0.0353929344864145,0.0145609251767596,2.62215785007501,2.68144588792054,3.00442060803764,108.558429305473,17.9238261480779,0.262420193165338,-0.0162385337001333,2.70539261019616,2.55775018409042,2.79643946260575,2.55775018409042,2.79643946260575,7
5.27544648969825,2.72865210209077,3.46766148002135,0.00695524897511465,-0.00565246420063847,0.0128611481569923,-0.00565246420063847,0.0128611481569923,60.9695726479007,0.242801705201091,0.0829464414807106,0.155614602099065,0.0919483246518991,0.161956590703772,0.0373464370245644,0.0130185254940494,2.72796669269716,2.72865210209077,2.9754485445396,90.8279706931696,20.0231876934006,0.262420192763617,0.00181050893809501,2.57548434059509,2.35773032198425,2.82291998429933,2.35773032198425,2.82291998429933,8
5.27358625837598,2.8213875727081,3.32139299136696,0.0128748740547199,0.00883972835727685,0.0166146525812412,0.00883972835727685,0.0166146525812412,57.1068058776468,0.228733441731519,0.0788511969419456,0.140990790038686,0.0925962839356639,0.153295951958222,0.0434315498715885,0.0117752090243341,2.86021294086724,2.8213875727081,2.94026870408455,95.5932364506693,22.1225492355095,0.262420191391475,0.00194486547627324,2.58996841209985,2.39319143080699,2.70650208299063,2.39319143080699,2.70650208299063,9
5.27219915064484,2.86930802151517,3.1512293567417,0.00302588865853593,-0.0149264256522335,0.0269928498066098,-0.0149264256522335,0.0269928498066098,54.7364609399354,0.210220918301483,0.0718026299117151,0.139149849298878,0.0745870804822892,0.141661131579102,0.0478789543197199,0.0209978701907222,2.93841602672163,2.86930802151517,2.90509173322793,94.5349301289605,24.2219107666413,0.529512262091044,0.0103635724891348,2.60552733591004,2.43973795871623,2.81215260221074,2.43973795871623,2.81215260221074,10
