tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline
336,5.37376386196302,15.6342810613129,15.6342810613129,157.411757279587,8.53148235927425,8.53148235927425,173.481905704607,173.481905704607,65.6949985333045,65.6949985333045,17.4960052269315,97.061918283402,27.6395191667733
344,4.55162793030996,15.7269147009795,15.7269147009795,127.770092428493,7.60843227033849,7.60843227033849,147.34654009583,147.34654009583,60.95161623557,60.95161623557,17.4960052269315,68.9611211536257,28.6580094951508
352,4.09644995461664,15.1599629762415,15.1599629762415,95.7833298701065,7.38882632364536,7.38882632364536,119.322310019717,119.322310019717,56.5507208261037,56.5507208261037,17.4960052269316,45.0545675945439,33.4637799959276
360,4.06203185379045,15.3353071425663,15.3353071425663,73.2784568244933,7.70534142986579,7.70534142986579,95.568020748899,95.568020748899,52.4675836911713,52.4675836911713,17.4960052269316,30.0148046134984,28.8222084014267
366,4.10117562367256,15.128014503958,15.128014503958,64.386963240514,8.02114049429237,8.02114049429237,83.9719462660857,83.9719462660857,49.5998945415138,49.5998945415138,17.4960052269313,23.8056859528889,25.2959146131256
373,4.41874445751409,15.8754610713976,15.8754610713976,60.6837481167772,8.41545253463995,8.41545253463995,79.1423011682018,79.1423011682018,46.4517475502454,46.4517475502454,17.4960052269315,20.0722338469904,17.4354543916471
381,4.94186725998031,16.2711996678359,16.2711996678359,57.9956220793477,9.17172609437865,9.17172609437865,75.6365111167544,75.6365111167544,43.220739442917,43.220739442917,17.4960052269314,17.9008938894157,15.5968550753788
389,5.73022596570496,16.5169208400331,16.5169208400331,55.3965829263637,10.3808919530915,10.3808919530915,72.2469060614177,72.2469060614177,41.254937119037,41.254937119037,17.4960052269313,16.7523290782709,10.4984723686942
397,7.06808638967667,16.9136234582031,16.9136234582031,52.686988915244,12.1593563606649,12.1593563606649,72.3595319769473,72.3595319769473,40.806347694345,40.806347694345,17.4960052269316,16.2011808371318,10.5485424004844
405,8.49370850153354,17.4063481690948,17.4063481690948,49.8505084592886,13.4640813461741,13.4640813461741,73.0579013176701,73.0579013176701,40.4082502031694,40.4082502031694,17.4960052269315,15.5516433503106,13.3619729303413
413,10.6098406597354,17.9804284904698,17.9804284904698,47.9855397456114,15.2904538132563,15.2904538132563,74.5347704622093,74.5347704622093,41.1904876272824,41.1904876272824,17.4960052269315,14.586803728326,16.2775104145722
421,13.8383453565542,18.5947557740399,18.5947557740399,49.3797246263309,17.9209285823089,17.9209285823089,78.0166129394343,78.0166129394343,43.7683974168192,43.7683974168192,17.4960052269314,13.5472674127243,18.4025857079098
429,18.4041642702703,18.8896720504939,18.8896720504939,54.2837299949956,21.7930651563854,21.7930651563854,82.6940677795446,82.6940677795446,48.9790355083079,48.9790355083079,17.4960052269315,13.0951132097389,17.6911958000361
437,21.1314640335234,18.1513144324701,18.1513144324701,57.0176764578067,24.2781243592069,24.2781243592069,83.1739230551615,83.1739230551615,54.4806938677081,54.4806938677081,17.4960052269313,13.6871370153426,16.7317977067126
445,22.2499585921166,17.7647395984602,17.7647395984602,58.8403798657344,24.69310657233,24.69310657233,83.1026269914413,83.1026269914413,58.8571282995461,58.8571282995461,17.4960052269313,14.9864445363011,15.6889925265708
453,25.0399157911164,17.6565589104808,17.6565589104808,64.080635446652,26.924894139419,26.924894139419,83.1146256724984,83.1146256724984,66.6236089014951,66.6236089014951,17.4960052269314,17.0586897302755,15.3535578230911
461,27.1035891101882,17.6015939201545,17.6015939201545,71.5996202264736,28.0183522494622,28.0183522494622,83.544799769689,83.544799769689,76.2347894197034,76.2347894197034,17.4960052269315,21.126733911698,11.8444295953519
469,25.1418311102306,17.3094155251183,17.3094155251183,77.1443640351787,25.4245239623951,25.4245239623951,84.2419042150328,84.2419042150328,82.7854787338443,82.7854787338443,17.4960052269315,27.6545940136985,5.24169931298425
477,24.7613110924354,17.375390660424,17.375390660424,85.4261309181309,24.690491552393,24.690491552393,86.2444308104419,86.2444308104419,89.9626678415314,89.9626678415314,17.4960052269312,37.1612050707491,0
485,26.4815476801166,17.809059683342,17.809059683342,102.64567688968,25.6058814120153,25.6058814120153,91.0088451453422,91.0088451453422,100.7462599094,100.7462599094,17.4960052269311,54.4062584093744,0
493,26.4633726059436,18.4968650582354,18.4968650582354,129.496216982342,25.0293537135958,25.0293537135958,100.103095787991,100.103095787991,111.722780297805,111.722780297805,17.4960052269313,83.7728959474925,0
501,23.7565198676393,19.6590113279134,19.6590113279134,160.984986317854,22.0118701471041,22.0118701471041,116.340194177768,116.340194177768,115.12529365012,115.12529365012,17.4960052269313,125.420763626754,0
509,22.5002733466041,18.3966738794024,18.3966738794024,197.293312220175,21.3207082019303,21.3207082019303,135.896628545514,135.896628545514,118.894499698709,118.894499698709,17.4960052269313,167.271863313263,1.6995709835961
517,23.104276417624,20.2237084851427,20.2237084851427,243.092579160567,22.1613662205373,22.1613662205373,153.77128616157,153.77128616157,118.913939027409,118.913939027409,17.4960052269315,206.037273372894,17.4960052269314
525,20.542105664161,21.1037296029488,21.1037296029488,273.56222684164,20.0093604301632,20.0093604301632,170.770507111831,170.770507111831,119.035901882085,119.035901882085,17.4960052269315,226.510617931099,17.4960052269314
533,20.2487757604496,21.4630522640433,21.4630522640433,285.577590305285,18.3867082855622,18.3867082855622,186.645435174933,186.645435174933,115.806203601432,115.806203601432,17.4960052269314,237.402277199564,17.4960052269314
541,21.9690372015153,20.5995864921168,20.5995864921168,311.424085515774,19.6420472339729,19.6420472339729,198.043074838172,198.043074838172,119.754638672464,119.754638672464,17.4960052269313,252.130953983194,17.4960052269314
549,21.0513779503006,19.8248368678386,19.8248368678386,339.087827089885,20.1543964647888,20.1543964647888,204.691030594935,204.691030594935,119.792328856802,119.792328856802,17.4960052269314,270.247039965226,17.4960052269314
557,20.119884996718,19.2721868136488,19.2721868136488,356.638442676073,19.8573417471042,19.8573417471042,208.594667785622,208.594667785622,119.778657549856,119.778657549856,17.4960052269313,284.665621470224,17.4960052269314
565,17.7347474020782,18.9294362837955,18.9294362837955,351.627460730525,18.105642406439,18.105642406439,211.10345915042,211.10345915042,119.982931049053,119.982931049053,17.4960052269313,292.10146015623,17.4960052269314
573,17.1024934658959,18.7420435986647,18.7420435986647,334.426404847584,16.9836499236649,16.9836499236649,213.114188033327,213.114188033327,115.776239847424,115.776239847424,17.4960052269315,291.727487795188,17.4960052269314
581,18.464879968846,18.607929635555,18.607929635555,335.305101125304,17.8355888008695,17.8355888008695,214.966012297606,214.966012297606,117.822932488882,117.822932488882,17.4960052269314,292.75718501296,17.4960052269314
589,18.13864884971,18.5040871977656,18.5040871977656,479.270712025279,18.0810016318132,18.0810016318132,303.768905906561,303.768905906561,122.256832599819,122.256832599819,17.4960052269316,296.763510254097,17.4960052269314
597,16.3980189242878,18.0539238504754,18.0539238504754,562.685143754725,16.9458506594178,16.9458506594178,364.37013255352,364.37013255352,117.824649128527,117.824649128527,17.4960052269311,296.318249457774,17.4960052269314
605,15.1030467326677,17.4583451961873,17.4583451961873,588.172460738052,15.7899009315902,15.7899009315902,397.882443506593,397.882443506593,115.750106919685,115.750106919685,17.4960052269313,288.991824992737,17.4960052269314
613,14.834362767032,16.987043160961,16.987043160961,584.881737881771,15.4517085151599,15.4517085151599,411.53124882451,411.53124882451,115.307651258774,115.307651258774,17.4960052269313,278.506211800019,17.4960052269314
621,15.1460241437955,16.629549619733,16.629549619733,551.709572177393,15.8407646137169,15.8407646137169,409.031867526972,409.031867526972,115.989225418512,115.989225418512,17.4960052269313,268.443801814223,17.4960052269314
629,12.5625059005896,16.0925455873452,16.0925455873452,487.542687577521,14.3844286030288,14.3844286030288,393.966483014194,393.966483014194,115.576098358419,115.576098358419,17.4960052269313,256.021274350466,17.4960052269314
637,11.2251515854482,15.5632941432456,15.5632941432456,431.960858981101,12.8983577551211,12.8983577551211,373.921831475916,373.921831475916,109.45000298196,109.45000298196,17.4960052269316,237.630574217642,17.4960052269314
645,10.2379711029508,15.1439385676768,15.1439385676768,355.540984847048,11.9384282943128,11.9384282943128,327.353266363962,327.353266363962,101.825189420256,101.825189420256,17.4960052269314,217.989983009972,17.4960052269314
