tc,days,years,latmin,lonmin,latmax,lonmax,stDevPC
16,121,1998,50,-45,55,-35,15.8762764851617
17,129,1998,50,-45,55,-35,13.4021947751348
18,137,1998,50,-45,55,-35,13.7318322653124
19,145,1998,50,-45,55,-35,18.5454277515149
20,153,1998,50,-45,55,-35,21.3679210454448
21,161,1998,50,-45,55,-35,25.5177258807478
22,169,1998,50,-45,55,-35,31.3897027767716
23,177,1998,50,-45,55,-35,18.8465588823242
24,185,1998,50,-45,55,-35,11.4124861773268
25,193,1998,50,-45,55,-35,11.8186372163748
26,201,1998,50,-45,55,-35,9.6830607267123
27,209,1998,50,-45,55,-35,7.91722682668058
28,217,1998,50,-45,55,-35,8.16101825856527
29,225,1998,50,-45,55,-35,9.30965856235135
30,233,1998,50,-45,55,-35,9.34995081948645
31,241,1998,50,-45,55,-35,10.7546327670581
32,249,1998,50,-45,55,-35,9.16488864622851
33,257,1998,50,-45,55,-35,7.67461958380078
34,265,1998,50,-45,55,-35,6.73372277077062
35,273,1998,50,-45,55,-35,8.51103578496752
36,281,1998,50,-45,55,-35,10.0394045265813
37,289,1998,50,-45,55,-35,7.15774004371641
38,297,1998,50,-45,55,-35,8.97446584547344
39,305,1998,50,-45,55,-35,7.54873408905535
40,313,1998,50,-45,55,-35,7.90213150781213
41,321,1998,50,-45,55,-35,6.68838490549705
42,329,1998,50,-45,55,-35,7.07517678132048
43,337,1998,50,-45,55,-35,7.31322102712321
44,345,1998,50,-45,55,-35,7.77828296711512
45,353,1998,50,-45,55,-35,15.5855866794797
46,361,1998,50,-45,55,-35,17.3303997352186
47,1,1999,50,-45,55,-35,9.25822326404746
48,9,1999,50,-45,55,-35,25.6121863413074
49,17,1999,50,-45,55,-35,4.64840493330274
50,25,1999,50,-45,55,-35,5.35999621179287
51,33,1999,50,-45,55,-35,6.80768931765597
52,41,1999,50,-45,55,-35,5.21331562701156
53,49,1999,50,-45,55,-35,8.56203048626324
54,57,1999,50,-45,55,-35,7.63797797485492
55,65,1999,50,-45,55,-35,7.57571914777502
56,73,1999,50,-45,55,-35,8.47583615288465
57,81,1999,50,-45,55,-35,7.76300325355634
58,89,1999,50,-45,55,-35,8.30290908788246
59,97,1999,50,-45,55,-35,10.443927774491
60,105,1999,50,-45,55,-35,12.3112629706819
61,113,1999,50,-45,55,-35,10.2524709815741
62,121,1999,50,-45,55,-35,9.3808503792996
63,129,1999,50,-45,55,-35,10.7361842099835
64,137,1999,50,-45,55,-35,20.0662945128513
65,145,1999,50,-45,55,-35,16.2814510821469
66,153,1999,50,-45,55,-35,17.0565450819064
67,161,1999,50,-45,55,-35,17.5693395271353
68,169,1999,50,-45,55,-35,16.4290387072428
69,177,1999,50,-45,55,-35,12.3363352847999
70,185,1999,50,-45,55,-35,10.1403953986964
71,193,1999,50,-45,55,-35,10.0052216497994
72,201,1999,50,-45,55,-35,8.75661991700664
73,209,1999,50,-45,55,-35,12.2729129550806
74,217,1999,50,-45,55,-35,16.7630054191714
75,225,1999,50,-45,55,-35,13.9364985298036
76,233,1999,50,-45,55,-35,18.2929763383495
77,241,1999,50,-45,55,-35,10.4232576312251
78,249,1999,50,-45,55,-35,10.0781520756305
79,257,1999,50,-45,55,-35,6.27998084833713
80,265,1999,50,-45,55,-35,7.56352452115099
81,273,1999,50,-45,55,-35,6.95575171081376
82,281,1999,50,-45,55,-35,16.4587359920907
83,289,1999,50,-45,55,-35,11.5645715910372
84,297,1999,50,-45,55,-35,10.4167715372496
85,305,1999,50,-45,55,-35,8.38787187340055
86,313,1999,50,-45,55,-35,5.47299651665683
87,321,1999,50,-45,55,-35,3.50329648257757
88,329,1999,50,-45,55,-35,7.98717922986125
89,337,1999,50,-45,55,-35,6.82918603281077
90,345,1999,50,-45,55,-35,22.5823695030811
91,353,1999,50,-45,55,-35,20.0957040604309
92,361,1999,50,-45,55,-35,6.03808456435351
93,1,2000,50,-45,55,-35,8.55149547178132
94,9,2000,50,-45,55,-35,8.13229854514791
95,17,2000,50,-45,55,-35,5.47376175304804
