index,t,days,siteID,lpC,sdlpC,mld,dmld,N0,light,rPC,sdrPC,zeu,sdzeu,pgr,latitude,lpC_median,lpC_lb95,lpC_ub95,lpC_lb68,lpC_ub68
13,96,96,8,2.7779723008742,0.676910691631069,220.490659185914,-1.17694150086633,14.161156875,74.4282331124761,0.000198218910147173,0.101501943966363,54.4368119130868,5.21187625269522,0.00334499790035034,47.5,2.7779723008742,1.4512273452773,4.1047172564711,2.10106160924313,3.45488299250527
14,104,104,8,2.77955805215538,0.562545126189983,230.448530096743,-3.94457047823683,14.161156875,82.5412820887366,-0.0292482796166513,0.102288532783507,55.8936719512284,5.5336953198735,-0.00598158793342583,47.5,2.77955805215538,1.67696960482301,3.88214649948775,2.2170129259654,3.34210317834536
15,112,112,8,2.54557181522217,0.664172893440911,182.286192322771,-6.71219945497536,14.161156875,116.392728998669,0.0111052969062266,0.10402869040434,55.2589629139177,5.65402026739662,-0.00108285931615084,47.5,2.54557181522217,1.24379294407798,3.84735068636636,1.88139892178126,3.20974470866308
16,120,120,8,2.63441419047198,0.593809473979834,125.82096770823,-6.76806498221088,14.161156875,87.8756721447427,0.0148944047619726,0.0945189301443832,53.6775091433861,5.48010713247031,0.0297493104714446,47.5,2.63441419047198,1.47054762147151,3.79828075947245,2.04060471649215,3.22822366445181
17,128,128,8,2.75356942856776,0.571134834223129,69.3557431773345,-4.44736024251208,14.161156875,150.919601153071,0.0632482297461354,0.0829682001878929,48.6723901470838,7.22087855945298,0.06239841754351,47.5,2.75356942856776,1.63414515349043,3.87299370364509,2.18243459434463,3.32470426279089
18,136,136,8,3.25955526653684,0.542055154085639,19.8526327497099,-2.12665550710426,14.161156875,131.279860594147,0.109052618122424,0.083634905896679,42.6803527435002,7.8425836787687,0.0552133338722071,47.5,3.25955526653684,2.19712716452899,4.32198336854469,2.7175001124512,3.80161042062248
19,144,144,8,4.13197621151622,0.564343999959918,19.0843218879402,-0.0960388583910709,14.161156875,156.185532150856,-0.00666084625193698,0.0682245909558769,33.2889202454193,7.39833557434175,0.02938231266954,47.5,4.13197621151622,3.02586197159478,5.23809045143766,3.5676322115563,4.69632021147614
20,152,152,8,4.07868944150073,0.467745254700962,18.3160110068322,-0.0941659349596333,14.161156875,115.543254740558,-0.0142448338618669,0.0566762098925153,34.4322926531901,7.23857677658991,-0.0102623439274204,47.5,4.07868944150073,3.16190874228684,4.99547014071462,3.61094418679977,4.54643469620169
21,160,160,8,3.9647307706058,0.458551959160673,17.5477001483242,-0.0866742345970166,14.161156875,174.802024578679,-0.00988135166845791,0.051536134639912,36.2594207659037,7.51724713439078,-0.00900080223324042,47.5,3.9647307706058,3.06596893065088,4.86349261056072,3.50617881144513,4.42328272976647
22,168,168,8,3.88567995725813,0.421852680489558,16.824339448909,-0.0791825356838041,14.161156875,100.529049416962,-0.00287622116939612,0.0519234435899975,35.7663425074687,7.141910202741,-0.0176784429758717,47.5,3.88567995725813,3.0588487034986,4.71251121101766,3.46382727676857,4.30753263774769
23,176,176,8,3.86267018790296,0.408062189698312,16.2358293765038,-0.0735637591427417,14.161156875,100.792482794791,-0.0402777560897595,0.0519989424682606,36.1822392098775,7.51941880230191,-0.0184777128279433,47.5,3.86267018790296,3.06286829609427,4.66247207971165,3.45460799820465,4.27073237760127
24,184,184,8,3.54044813918488,0.393752591474211,15.6473192919129,-0.0733524517687375,14.161156875,137.317536159513,-0.0122791612246747,0.0502301617567169,39.259912177838,7.3897200709461,-0.0287981745957321,47.5,3.54044813918488,2.76869305989543,4.31220321847433,3.14669554771067,3.93420073065909
25,192,192,8,3.44221484938749,0.364841371300498,15.0588092294832,-0.0729298359766208,14.161156875,111.102393312893,-0.0338376064727619,0.0489644436787834,41.2889294397836,7.20573329332102,-0.0171240026284425,47.5,3.44221484938749,2.72712576163851,4.15730393713647,3.07737347808699,3.80705622068799
26,200,200,8,3.17151399760539,0.429829833166899,14.4753705340541,-0.0725072207802,14.161156875,121.497725963328,-0.00525524018789144,0.0539597277432534,41.8706320927877,7.29454659371668,-0.0213560182129092,47.5,3.17151399760539,2.32904752459827,4.01398047061251,2.74168416443849,3.60134383077229
27,208,208,8,3.12947207610226,0.375397707365464,13.897003228474,-0.0722959131933709,14.161156875,139.125808026957,-0.0249752079780736,0.0533169297712853,42.3732704963622,7.50028092154243,-0.0133543382962146,47.5,3.12947207610226,2.39369256966595,3.86525158253857,2.7540743687368,3.50486978346772
28,216,216,8,2.92967041227767,0.416145179429923,13.3186359307584,-0.0154619665409417,14.161156875,141.415224997376,-0.00983256672267994,0.0520981741603287,46.0277850206367,7.35678459344433,-0.0176068591548733,47.5,2.92967041227767,2.11402586059502,3.74531496396032,2.51352523284775,3.34581559170759
29,224,224,8,2.85100987849624,0.407195603593369,12.7402686174132,0.0754723474145375,14.161156875,109.054998925846,-0.0180128027638677,0.055478241761112,47.3595427077021,6.94897090138946,-0.0186906388720396,47.5,2.85100987849624,2.05290649545324,3.64911326153924,2.44381427490287,3.25820548208961
30,232,232,8,2.7069074563853,0.452229694135361,13.5259160314914,0.166406662438613,14.161156875,105.990357707472,-0.0282265471295724,0.0537037197257978,49.7057587147095,6.19046389177913,-0.00994159052024083,47.5,2.7069074563853,1.82053725587999,3.59327765689061,2.25467776224994,3.15913715052066
31,240,240,8,2.48109507934872,0.389823589475226,15.1299722687073,0.200507030590888,14.161156875,96.8221191433291,0.0164145783327169,0.0642818148426492,51.8199986719096,6.12872486370291,0.00296263758427042,47.5,2.48109507934872,1.71704084397728,3.24514931472016,2.09127148987349,2.87091866882395
32,248,248,8,2.61241170601046,0.478358174016635,16.7340285159399,0.201306001319792,14.161156875,81.9477625863638,0.0206998815496661,0.0731176429915155,51.5390557966967,6.23086881675386,0.00389787513880626,47.5,2.61241170601046,1.67482968493786,3.54999372708306,2.13405353199383,3.0907698800271
33,256,256,8,2.77801075840779,0.444061727377433,18.3380847656727,0.202371295662596,14.161156875,123.386641164517,-0.0254208344659636,0.0777280651170872,46.117453449965,5.20832001061,0.00599615666043749,47.5,2.77801075840779,1.90764977274802,3.64837174406756,2.33394903103036,3.22207248578522
34,264,264,8,2.57464408268007,0.489766387474174,19.9613163003823,0.2034365903869,14.161156875,78.9197173318174,0.0227094228976107,0.0715604922984652,46.2364621568558,5.84753125591905,-0.00823178519399626,47.5,2.57464408268007,1.61470196323069,3.53458620212945,2.0848776952059,3.06441047015424
35,272,272,8,2.75631946586096,0.508679568736992,21.5909396118422,0.203702914122217,14.161156875,56.0572951558679,-0.0219839440136355,0.0745510234992887,48.7512557164832,5.43589934229915,0.00031822345777791,47.5,2.75631946586096,1.75930751113646,3.75333142058546,2.24763989712397,3.26499903459795
36,280,280,8,2.58044791375188,0.4914018136571,23.2205629349583,0.360122146971388,14.161156875,80.4413016710239,0.000229191489357227,0.0654176788850232,48.3722763348625,4.96288803254848,0.000847805110653737,47.5,2.58044791375188,1.61730035898396,3.5435954685198,2.08904610009478,3.07184972740898
37,288,288,8,2.58228144566674,0.40633472499144,24.8501862393155,0.516541378561546,14.161156875,61.1469359971118,0.0242981678562391,0.0701931641266876,49.9698207239977,5.72517760559422,-0.00257580376884958,47.5,2.58228144566674,1.78586538468352,3.37869750664996,2.1759467206753,2.98861617065818
38,296,296,8,2.77666678851665,0.477576711852264,30.2338711391555,0.672960611921904,14.161156875,49.8843879560653,-0.0322547706521457,0.0850693310479999,49.5862818108671,4.94874717229407,-0.00746130073457749,47.5,2.77666678851665,1.84061643328621,3.71271714374709,2.29909007666439,3.25424350036891
39,304,304,8,2.51862862329949,0.574523194649249,35.6175560204354,0.708433870153025,14.161156875,44.2416792067428,-0.014427299407826,0.0999211645671871,49.9288548375837,4.93503418094773,-0.0221906223255496,47.5,2.51862862329949,1.39256316178696,3.64469408481202,1.94410542865024,3.09315181794874
40,312,312,8,2.40321022803688,0.625284314104567,41.0012409254412,0.99221995391435,14.161156875,43.9134126798432,-0.0198897969166764,0.119072719712931,51.231856828498,4.56687570166442,-0.0330625411749896,47.5,2.40321022803688,1.17765297239193,3.62876748368183,1.77792591393231,3.02849454214145
41,320,320,8,2.24409185270346,0.75811564742962,47.2362840228281,1.27600603339367,14.161156875,32.3648371058947,-0.0657477374430591,0.152022531897581,52.3941532153227,4.5929766575315,-0.0109403250905203,47.5,2.24409185270346,0.758185183741405,3.72999852166552,1.48597620527384,3.00220750013308
42,328,328,8,1.72512763509974,1.08278038224737,59.4308349143798,1.52431885474948,14.161156875,32.6113455047542,0.0294524736561904,0.151965190758794,53.1426308086575,5.9037193313378,0.0114306328816568,47.5,1.72512763509974,-0.397121914105105,3.84737718430459,0.64234725285237,2.80790801734711
43,336,336,8,1.95400606345952,0.860889735169405,71.6253857268893,1.7238356178668,14.161156875,21.3144512674741,0.0190357403678296,0.141189285644885,54.9100503808633,4.60849185220731,0.0210712240591415,47.5,1.95400606345952,0.266662182527486,3.64134994439155,1.09311632829011,2.81489579862893
44,344,344,8,2.17456935448534,0.898751919660284,83.8199365368157,2.25588034355253,14.161156875,19.2348162195483,-0.0561953313599072,0.157839001085715,57.2537796829459,4.06133934131073,0.0369097264652125,47.5,2.17456935448534,0.413015591951184,3.9361231170195,1.27581743482506,3.07332127414562
45,352,352,8,1.70248318718788,1.03274839892449,100.802889743183,4.15092104049743,14.161156875,24.1683782958349,0.0743435515961745,0.139923973847157,53.169642869394,5.23383158920201,0.0315948183573685,47.5,1.70248318718788,-0.321703674704121,3.72667004907988,0.66973478826339,2.73523158611237
46,360,360,8,2.27686193481989,0.727593429572356,125.76651397215,3.44329799023213,14.161156875,26.5164106367999,0.0306666869244433,0.104689530067926,50.1901144810868,5.15390492605449,0.0435777362467054,47.5,2.27686193481989,0.850778812858072,3.70294505678171,1.54926850524753,3.00445536439225
47,366,1,8,2.16892343033675,0.806028725917975,169.023159624603,3.00628535817342,14.161156875,26.0085901654868,0.0326132253023627,0.136102861336958,60.0030360979732,5.49576109928917,0.0137217640370206,47.5,2.16892343033675,0.589107127537519,3.74873973313598,1.36289470441878,2.97495215625473
48,373,8,8,2.16892343033675,0.806028725917975,169.023159624603,-0.0197849382322085,14.161156875,26.3244214453522,0.0326132253023627,0.136102861336958,60.0030360979732,5.49576109928917,-0.0240244336510196,47.5,2.16892343033675,0.589107127537519,3.74873973313598,1.36289470441878,2.97495215625473
49,381,16,8,2.24801894581467,1.01023590570982,183.498480684161,-0.642708265183959,14.161156875,30.0309431822183,-0.0671849138221201,0.170144112313454,60.6915446728234,5.06219087383558,-0.0196030215800575,47.5,2.24801894581467,0.267956570623423,4.22808132100592,1.23778304010485,3.25825485152449
50,389,24,8,1.59233702271228,1.21234166277778,168.54832110703,-1.8687699786615,14.161156875,34.1039411749149,0.0132642362128867,0.180446834976492,62.4680699567337,6.28101843540789,-0.0308046685380121,47.5,1.59233702271228,-0.783852636332169,3.96852668175673,0.3799953599345,2.80467868549006
51,397,32,8,1.69845091241537,1.10131404303378,153.598161260188,-1.69363999764538,14.161156875,40.6504645218318,-0.0237180014391235,0.183112861465645,60.3312551425569,4.40850909411565,0.00964994377196542,47.5,1.69845091241537,-0.460124611930839,3.85702643676158,0.59713686938159,2.79976495544915
52,405,40,8,1.50870690090238,1.14342544172166,138.648001196285,-0.993120082242875,14.161156875,32.752580857149,0.0394035965421351,0.171438037609463,59.6821186305753,5.50005871291785,0.0160032164353362,47.5,1.50870690090238,-0.732406964872074,3.74982076667683,0.36528145918072,2.65213234262404
53,413,48,8,1.82393567323945,1.01990339319292,127.900961163541,-0.292600135158876,14.161156875,46.0861212394261,0.0323240542029977,0.147504223400499,60.4964557703344,4.85962604377828,0.0459189422940605,47.5,1.82393567323945,-0.175074977418673,3.82294632389757,0.80403228004653,2.84383906643237
54,421,56,8,2.08252810686344,0.757175843326527,129.763279286359,0.232789784374625,14.161156875,51.5202593703795,0.0642479697233908,0.121652146579911,56.129937031766,5.05019810773903,0.0221569132726552,47.5,2.08252810686344,0.598463453943447,3.56659275978343,1.32535226353691,2.83970395018997
55,429,64,8,2.59651186465056,0.734981429407032,131.625597952472,0.0499790766545421,14.161156875,75.44666573131,-0.033638670960951,0.136629229069007,57.2147110489678,4.26633030376849,0.00805220511301813,47.5,2.59651186465056,1.15594826301278,4.03707546628834,1.86153043524353,3.33149329405759
56,437,72,8,2.32740249696295,0.9015323370419,133.487915988532,-0.193768542773166,14.161156875,63.8613864628986,-0.00999007027591304,0.123977324979137,58.74682913267,5.39360515104999,-0.00578939282253072,47.5,2.32740249696295,0.560399116360826,4.09440587756507,1.42587015992105,3.22893483400485
57,445,80,8,2.24748193475565,0.549425887401134,130.962777126068,-0.4375161497985,14.161156875,63.1398398840961,0.0245043823304033,0.0956776708299754,50.5436725201547,5.35818059310735,0.00336897196631165,47.5,2.24748193475565,1.17060719544943,3.32435667406187,1.69805604735452,2.79690782215678
58,453,88,8,2.44351699339887,0.635778834321929,126.975152925916,-0.498453038111334,14.161156875,102.336308191185,-0.00440739615555429,0.0987792375165594,55.8477914280035,5.10808433841881,0.0294209088179904,47.5,2.44351699339887,1.19739047812789,3.68964350866985,1.80773815907694,3.0792958277208
