index,t,days,siteID,lpC,sdlpC,mld,dmld,N0,light,pgr,lpC_median,lpC_lb95,lpC_ub95,lpC_lb68,lpC_ub68
1,1,1,1,1.93086814488568,1.14746232821366,118.963939735327,0,15.5072484375,32.4354889137826,0,1.93086814488568,-0.318158018413093,4.17989430818445,0.78340581667202,3.07833047309934
2,8,8,1,1.93086814488568,1.14746232821366,118.963939735327,1.70192968302715,15.5072484375,32.4354889137826,-0.0324330139532509,1.93086814488568,-0.318158018413093,4.17989430818445,0.78340581667202,3.07833047309934
3,16,16,1,1.56304291375722,1.06875983281991,132.579377199544,0.650712030393411,15.5072484375,41.5635719793862,0.0018791210939571,1.56304291375722,-0.531726358569804,3.65781218608424,0.49428308093731,2.63180274657713
4,24,24,1,1.53956238949898,1.15147127566262,137.785073442691,0.650712029271677,15.5072484375,58.8601975301401,-0.0452941736208749,1.53956238949898,-0.717321310799755,3.79644608979772,0.38809111383636,2.6910336651616
5,32,32,1,1.14012395233716,1.23431673032577,142.990769676865,0.650712055870201,15.5072484375,57.094704994178,-0.0570074410981454,1.14012395233716,-1.27913683910135,3.55938474377567,-0.09419277798861,2.37444068266293
6,40,40,1,0.64830563675501,1.45635827029926,148.196466123826,0.0724982685347477,15.5072484375,48.7343391183721,0.160463088855492,0.64830563675501,-2.20615657303154,3.50276784654156,-0.80805263354425,2.10466390705427
7,48,48,1,1.92810435584183,0.944018154183117,148.776452272104,-1.66214292907467,15.5072484375,37.9135351802503,0.0698170741279875,1.92810435584183,0.0778287736429208,3.77837993804074,0.984086201658713,2.87212251002495
8,56,56,1,2.48664094886573,0.687267755329232,135.479308839507,-1.66214293928195,15.5072484375,57.2370220644588,-0.0659795655343537,2.48664094886573,1.13959614842044,3.83368574931102,1.7993731935365,3.17390870419496
9,64,64,1,1.9588044245909,1.14451937200936,122.182165325251,-1.66214295962619,15.5072484375,64.0677672582781,0.0158529592339675,1.9588044245909,-0.284453544547446,4.20206239372925,0.81428505258154,3.10332379660026
10,72,72,1,2.08562809846264,0.725923757502664,108.885021648242,-0.251717578419012,15.5072484375,82.4684247531982,-0.0281012326965175,2.08562809846264,0.662817533757419,3.50843866316786,1.35970434095998,2.8115518559653
11,80,80,1,1.8608182368905,0.97967968579822,106.87128102089,0.218424198132894,15.5072484375,93.1583539498449,0.00251382208404562,1.8608182368905,-0.0593539472740112,3.78099042105501,0.88113855109228,2.84049792268872
