index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD,N0,light,pgrPhytC,sdpgrPhytC,Zeu,sdZeu
28,216,216,1998,40,-45,45,-35,1,2.1423476575742,0.427821906562947,14.217842970921,15.5072484375,123.242913992256,0.0303021776318566,0.0605685946506704,69.6425635693147,6.23326087999069
29,224,224,1998,40,-45,45,-35,1,2.38476507862906,0.34278698955229,14.1352377209068,15.5072484375,116.034433816284,-0.019483002147007,0.0533228139691883,69.6268515313673,6.39774211124225
30,232,232,1998,40,-45,45,-35,1,2.22890106145301,0.316496744953685,15.7757099049539,15.5072484375,108.71939211389,0.0166418205303053,0.0527337412165106,74.0026026745315,5.43827823956281
31,240,240,1998,40,-45,45,-35,1,2.36203562569544,0.358752447769979,18.4500285426941,15.5072484375,82.3219915053332,-0.0018183198430791,0.0805776872335959,73.9351743239174,6.09090195545844
32,248,248,1998,40,-45,45,-35,1,2.34748906695081,0.54354090597798,21.1243472095662,15.5072484375,114.378602304641,0.00175780543735507,0.0782126924045301,70.4460218261688,6.13712709757763
33,256,256,1998,40,-45,45,-35,1,2.36155151044965,0.330686009148965,23.7986658419007,15.5072484375,72.5763309974534,-0.0151665782966405,0.0766973265571265,65.0043914959173,6.31281769337305
34,264,264,1998,40,-45,45,-35,1,2.24021888407653,0.592145253936427,25.764638563825,15.5072484375,89.7262844495417,-0.0381904192131226,0.0899768912163254,66.7880056376267,7.43749508153346
35,272,272,1998,40,-45,45,-35,1,1.93469553037155,0.495258104002431,27.4944959211681,15.5072484375,68.9415658426142,0.0370072260764024,0.0842140820103669,67.4854086118944,7.68825635042471
36,280,280,1998,40,-45,45,-35,1,2.23075333898277,0.54642637748206,29.224353360004,15.5072484375,73.4597117706727,-0.00976605018779279,0.0905362190641602,65.0647404689266,6.46026768009798
37,288,288,1998,40,-45,45,-35,1,2.15262493748042,0.572193724147562,30.9542107154927,15.5072484375,73.3628397669204,0.0536982694323152,0.0962721910401929,64.0180032251617,5.63039176840671
38,296,296,1998,40,-45,45,-35,1,2.58221109293894,0.602673677649113,35.4260640374654,15.5072484375,45.2567000645219,-0.0810453998660156,0.116503172800518,60.1716470868065,6.27015600259433
39,304,304,1998,40,-45,45,-35,1,1.93384789401082,0.778687730408701,39.8979174310136,15.5072484375,57.3613524538974,0.011509879611489,0.124254080138112,58.6114414640937,5.55326281904956
40,312,312,1998,40,-45,45,-35,1,2.02592693090274,0.726329510697103,44.3697707305518,15.5072484375,53.3504528243522,-0.0615519879587145,0.15569077562435,59.0607533143634,5.56924339959467
41,320,320,1998,40,-45,45,-35,1,1.53351102723302,1.01782057823336,49.2187395119172,15.5072484375,33.0551298292265,0.0424064087751295,0.145525372405128,55.7827892309433,5.54064723815969
42,328,328,1998,40,-45,45,-35,1,1.87276229743406,0.802180509883427,56.707516763939,15.5072484375,31.0288314629942,0.0437960772120795,0.129071893949891,57.2549676912035,5.85507725714461
43,336,336,1998,40,-45,45,-35,1,2.22313091513069,0.894772394933822,64.196293874019,15.5072484375,43.412275455351,-0.02406941187795,0.136252898190792,58.4479070446562,5.0917648432029
44,344,344,1998,40,-45,45,-35,1,2.03057562010709,0.962637830168036,71.6850711160238,15.5072484375,40.4841971268096,0.0335510616120453,0.141043850618286,59.7606671163446,5.70029737622968
45,352,352,1998,40,-45,45,-35,1,2.29898411300345,0.845823454820573,81.7426317327886,15.5072484375,39.6742449304176,0.00230052030835288,0.101132362678599,56.6744349100864,6.65335568729268
46,360,360,1998,40,-45,45,-35,1,2.31738827547028,0.760820518917375,96.0814983512629,15.5072484375,34.6509612085242,0.0236683988254313,0.111491440772185,52.5653224412275,6.4805369870317
47,366,1,1999,40,-45,45,-35,1,2.44398869448277,0.952140649557601,136.58552803437,15.5072484375,39.9284722375521,-0.0458670995639154,0.137797453991301,53.120467023817,9.20559361208283
48,373,8,1999,40,-45,45,-35,1,2.44398869448277,0.952140649557601,136.58552803437,15.5072484375,35.5036020309381,-0.0458670995639154,0.137797453991301,53.120467023817,9.20559361208283
49,381,16,1999,40,-45,45,-35,1,2.07705189797145,0.747616709178949,153.328404699631,15.5072484375,34.1702767519309,-0.00423624450738847,0.112564910109486,58.3475199135152,5.57637887367219
50,389,24,1999,40,-45,45,-35,1,2.04316194191234,0.805672895754658,143.057165263229,15.5072484375,52.9822741690737,0.0163005656343478,0.148081582237742,59.5053647956591,5.77391697321758
51,397,32,1999,40,-45,45,-35,1,2.17356646698712,0.978829554778287,132.78592609995,15.5072484375,56.9892428177303,-0.0962836567454663,0.154371438136249,58.7934309620666,5.20445663897511
52,405,40,1999,40,-45,45,-35,1,1.4032972130234,0.962531538032507,122.514686821832,15.5072484375,47.5058973910272,0.0934135715559938,0.142639808737312,62.193227421046,5.5545093474242
53,413,48,1999,40,-45,45,-35,1,2.15060578547134,0.716912386309351,113.389369787508,15.5072484375,52.6338310959319,-0.000459727600977711,0.126276394558937,56.810460816192,5.70350590849008
54,421,56,1999,40,-45,45,-35,1,2.14692796466353,0.815387047139337,107.701819542448,15.5072484375,74.5601088946222,-0.0508208260493564,0.153258464364973,51.6087415824008,5.33553277969622
55,429,64,1999,40,-45,45,-35,1,1.74036135626867,1.05093603156241,102.014269161953,15.5072484375,57.2654093859662,0.0641520962745056,0.137446637025765,55.4838158717427,6.14873407897449
56,437,72,1999,40,-45,45,-35,1,2.25357812646472,0.747464373760381,96.3267188710308,15.5072484375,69.4756174890431,-0.011896980355101,0.139200908567275,55.349589746529,6.03259032487517
57,445,80,1999,40,-45,45,-35,1,2.15840228362391,0.826793174583789,98.1370186528895,15.5072484375,80.5717720437362,0.059359138353061,0.1106061796347,48.2700766340566,8.29059643584372
58,453,88,1999,40,-45,45,-35,1,2.63327539044839,0.69127395574991,102.44660168863,15.5072484375,78.1692215201026,-0.0291583259574992,0.100429001947114,46.9333452951417,8.51452372649104
