tavg,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly
1,-0.00203934705317687,-0.00490021892563189,0.012768058821976,0.00537667017130425,0.0203312199656662,0.00374694783946567,0.00524873963846098,0.0204741349051472,-0.000204285313594011,-0.000204285313594011,0
2,0.00895892421964843,0.0165883053908984,-0.0271330715332488,-0.00421557286796109,-0.0122599825490118,-0.00874857719491609,-0.00441072265125132,0.00664933943895285,-0.00132074197470483,-0.00132074197470483,0
3,0.0282190934287192,0.0252535420925688,-0.0102312912111702,0.0160846682496138,0.0244287768872116,0.00722965421532323,0.0155369487492796,0.0217217826544102,-0.000194304755943103,-0.000194304755943103,0
4,-0.0236878765316697,-0.0228585603718889,-0.0356657411924389,0.017112706829339,-0.00896467158696588,-0.00738147553813249,0.0179684793829752,0.0207785993477404,-0.0010391790058894,-0.0010391790058894,0
5,-0.0322807045541505,-0.0337136596719531,-0.0093717304814877,0.0513548565301731,-0.00112972914894045,0.00797534120469975,0.0502880124320989,0.0525873234350743,0.000512985383189788,0.000512985383189788,0
6,-0.00884843074429776,-0.00419565217422794,-0.0517467258366466,0.035307677107269,-0.000290509190181185,-0.0115743031233288,0.0362921899357926,0.0361777834285026,-0.00142880136708697,-0.00142880136708697,0
7,0.00240458195984855,0.0130669686553552,-0.00466302543501508,0.0231956444449924,-0.00796248717960858,-0.00263798119049769,0.0270629358496741,0.0249200436885989,-0.00346558895532354,-0.00346558895532354,0
8,0.0137871580659696,0.0132033832883572,0.00868156378106119,0.0152245382311583,-0.00473186151227402,0.0097601018910837,0.0163275158297812,0.0175589652222974,1.8886769007796E-05,1.8886769007796E-05,0
9,0.0144893071154243,0.0187484870992983,0.0161199635146373,0.0121085519153845,-0.000716717352636829,-0.00808720800191406,0.0107861397522429,0.0136398954919883,-0.0021959369945421,-0.0021959369945421,0
10,0.0267946212960821,0.0266110533906882,0.0235822348368823,0.0127863281746898,0.00222626900832113,0.0042274388794414,0.00958913875768603,0.0120671597629255,-0.00078861114159068,-0.00078861114159068,0
11,0.0170418750384893,0.02168409985739,0.0208519158254842,0,-0.00264833753554841,-0.00571217627213628,0,0.00898533159501327,-0.00358222229345623,-0.00358222229345623,0
12,0.00773197556603474,0.0158892833775778,0.0177198936050784,0,-0.00647836295908626,-0.00536215418806503,0,0.0066286314922642,-0.00700881900921956,-0.00700881900921956,0
13,0.00793319561154579,0.0175368258110193,0.0170463642707133,0,-0.0211647356621874,-0.00265022628473981,0,0.00523894399036047,-0.0100220912682878,-0.0100220912682878,0
14,0.0223650897235037,0.01998111367833,0.0181892279735647,0.00346545415569944,-0.0212755390365064,0.0129904832866969,0.0117948230866519,0.00467829002896377,-0.00309540296545418,-0.00309540296545418,0
15,0.00616804309496124,0.0139568915230128,0.014324226707761,0,-0.0197357580370521,-0.0172180335379894,0,0.00299176109764326,-0.0124570419643801,-0.0124570419643801,0
16,0.00437411813413587,0.0127187375109422,0.0122557939831555,0,-0.0176221167998462,-0.00324393594448291,0,0.00191537496222963,-0.0136238358533245,-0.0136238358533245,0
17,0.00192948811871321,0.011846851001143,0.0105937103502103,0,-0.015880693447416,-0.00234107788029195,0,0.00109861320006984,-0.016642248060444,-0.016642248060444,0
18,0.00959213897314464,0.0115381891771604,0.00929695424263806,0,-0.0130285142480454,0.0171672121616227,0,0.00057803058085123,-0.00631928576026464,-0.00631928576026464,0
19,0.00152148243226531,0.0101653087179806,0.00782017557645321,0,-0.0124621369124508,-0.0134608468333034,0,0.000194342685068759,-0.0171711920332631,-0.0171711920332631,0
20,0.00318079617743187,0.0109891694002876,0.00709380143059236,0,-0.0106957995656043,0.00119937109175511,0,0.000171038228477212,-0.0111197834295996,-0.0111197834295996,0
21,0.00607566709473305,0.0150547138838442,0.00789144870931306,0,-0.00928170533506108,0.00267821099209002,0,0.000404219620525947,-0.0104018861471527,-0.0104018861471527,0
22,0.00470533684850316,0.0202199332437567,0.00887625679110791,0,-0.00816981010027412,-0.00843994797496368,0.00595154078858348,0.000666172675775893,-0.016204460018088,-0.016204460018088,0
23,0.00603772445065581,0.0153830525148675,0.0062090468395897,-0.00136715370804172,-0.0072875999043499,0.0167320242629259,0.00452402290763236,-0.000771080223125221,-0.00148781872214915,-0.00148781872214915,0
24,0.000436424994093448,0.00730599565629914,0.00395674976585781,0,-0.00681119711219187,-0.000213523076482686,0,0,-0.0104534857996083,-0.0104534857996083,-2.02660269057939E-17
25,0.00767480091992075,0.0096374158227892,0.00352626157919776,-0.00147441235971062,-0.00551433627923875,0.029624561128404,-0.00147441235971062,-0.00147441235971062,0.0113403145270917,0.0113403145270917,-1.01330134528969E-16
26,0.0111815987894991,0.00639118284044018,0.00252004071314745,-0.00153909945132622,-0.00444030330096741,0.0202768031141094,-0.00153909945132622,-0.00153909945132622,0.0170680871319677,0.0170680871319677,0
27,0.0114904173175402,0.0055469594379641,0.000811799407890394,-0.00312147467678096,-0.0029420738654761,-0.00713023647483411,-0.00312147467678096,-0.00312147467678096,0.0136770540999419,0.0136770540999419,0
28,0.0162734128007178,0.00618787279904335,0.000833037008564341,-0.00318864061667279,0.00050686848780635,-0.00553859750713316,-0.00318864061667279,-0.00309005990624092,0.0181442545824618,0.0181442545824618,0
29,0.0195884530236053,0.0045516848363175,-0.00011144288320395,-0.00323607785071563,0.00375974108478681,-0.014174215481333,0.00174554866796287,-0.00380471107199611,0.0172061836824771,0.0172061836824771,0
30,0.0181842566085405,0.0044499460784488,-0.000474163868048574,-0.00336164653218927,0.00475743406882105,-0.0151910429251458,-0.00547687929607285,-0.00464166721856175,0.00811406905800276,0.00811406905800276,0
31,0.0289004832559635,0.00891268909869129,0.00170710374932731,-0.000429717131019875,0.0108473042166689,0.0209133056724695,0.00580109731835177,-0.00398072485461662,0.0190347821732226,0.0190347821732226,0
32,0.033509702590597,0.0106752198269429,0.00437734212066433,0.00100515739923976,0.0127734576442204,-0.00840465813856574,0.00643195278357943,-0.00277615697823245,0.0110067576082209,0.0110067576082209,0
33,0.0408091265337262,0.0162733784866061,0.0144610209348979,0.0117786764388236,0.0134643857704242,-0.0111156059151319,0.0138453315645541,0.00550006638035051,0.00569158085530237,0.00569158085530237,0
34,0.0355443667894176,0.00295764588630212,0.0110936067028249,0.0131083142135033,0.0203179058685322,0.0206223902093445,0.0101684836503981,0.00325887821702307,0.0144453729299103,0.0144453729299103,0
35,0.0206559516173901,0.00799618438742453,0.0081186526374152,0.00805330498661079,0.0210116374702931,-0.0228514193480439,0.00343595887692866,0.00191231507737125,0.0030381296626593,0.0030381296626593,0
36,0.014086869225209,0.00577435365358648,0.00500780454248036,0.00586259608558454,0.0239520349271684,0.00746112531668348,0.00164446235823453,-0.00108450222588711,0.00203266310484037,0.00203266310484037,0
37,0.0123343167603739,0.00339330101381792,0.00445183177216761,0.00733465590363607,0.0249798127476545,-0.000542529058928485,0.00683193175656743,-0.00233015438927515,0.00025609746814995,0.00025609746814995,0
38,0.0149801544873283,0.011165945842997,0.00879199067707095,0.0243831064369391,0.0239090100259315,-0.00830564676537106,0.0183643489674584,-7.82418422164218E-05,-0.00206036105236898,-0.00206036105236898,0
39,-0.00154870185686401,0.0184470763792109,0.0150444235299393,0.0244208371077183,0.0184761952499399,-5.97868269147581E-05,0.0250764152560947,0.00411671549777168,-0.000891632344332927,-0.000891632344332927,0
40,0.0198101975045684,0.0293073956340402,0.0255156339650356,0.0334752691096223,0.0113378909549605,0.00373983673948731,0.0304193700700071,0.0115148864850218,0.000893955606943109,0.000893955606943109,0
41,0.0466345383648678,0.0485327965036194,0.0479858279624778,0.053312209826929,0.000124970577960976,-0.00612062461509135,0.0424024451064482,0.0277823599554942,0.000104279570789895,0.000104279570789895,0
42,-0.056993308759192,-0.0237350930383574,0.0449248476043865,0.0303269576995321,-0.000195574760432316,-0.00352964665653224,0.0263319746694329,0.0253501815974985,-0.000258251122070851,-0.000258251122070851,0
43,0.0052801498664482,-0.00362919829028067,0.0410686892516084,0.0223265626828778,0.00835673789824743,0.00485829728285782,0.018123271567123,0.0238368325043608,0.000317943395019814,0.000317943395019814,0
44,0.00969397115794707,0.0106451001913724,0.0375086300831248,0.00863520714640803,0.0232505620659251,-0.00596204049976375,0.0114882046265351,0.0234733809474383,-0.000145464483459931,-0.000145464483459931,0
45,0.00299472795811573,0.00905258834814522,0.0320700951134945,-0.00567930526292527,0.00680382812805699,-0.00237622748540043,0.00438034296300899,0.0222667933758758,-0.00126736546418492,-0.00126736546418492,0
46,0.0087460847251094,0.0115576551960854,0.0323801690034736,0.00675674447275214,-0.009775129501825,-0.00199517854517203,0.00967451936908146,0.0287951531410174,-0.00106026574472091,-0.00106026574472091,0
