tc,P,P025,P05,P1,P2,P4
1,-0.00327583179775086,-0.00133553332476868,-0.00135604981379895,0.000136470489615623,0.000723028140712201,0.000805991314188817
8,0.00474156981446886,0.00100378117314466,0.0013119281730599,0.00251279686329736,0.00295185352796331,0.00301423370046355
16,-0.000338882761509667,-0.00227850314792682,-0.00155386185243139,-0.00016301184582758,0.000282191004731621,0.000346086348463887
24,-0.0169133850116897,-0.0228401647288039,-0.0215850227270998,-0.0195973033152074,-0.0190822164390282,-0.0190122302191658
32,0.00998148738122151,0.000706407889886443,0.0033634050596068,0.00780206072435686,0.00920153501423386,0.00940487060673505
40,0.00783040221932438,-0.001105477501913,0.000421888761591914,0.00226815103294282,0.00289992674331528,0.00299615034758944
48,0.0211223325970755,0.0111382598065516,0.0128403059466588,0.0148537848712056,0.0157279810478624,0.01586899109789
56,0.0275977005140148,0.017326368045054,0.0183978073153483,0.0189708391651903,0.0195733824761344,0.0196862592338347
64,0.0316876004119844,0.022808843858843,0.0230938834620367,0.0222898760731126,0.0226892324937644,0.0227875654270327
72,0.0442528500919197,0.039593655732591,0.0397811171225654,0.039467182230191,0.0406911224821464,0.0409571769230227
80,0.0266775229082561,0.0375629702235441,0.0353991887844384,0.0318873446778742,0.0323786234606785,0.0325678427847843
88,-0.01925250781582,0.00829355263756707,0.00471143250166275,-0.000691415578001209,-0.00209508117112949,-0.00229650979045406
96,-0.0129796747163429,0.00431450633734579,0.00446435940279417,0.00139985354807658,-0.000141414576919101,-0.000400127788263742
104,0.00112288131090893,0.00759904965806521,0.00898884661022485,0.0146886249193596,-0.000572860768857183,-0.00129347281959103
112,0.0494804743087302,0.00656095270939031,0.0121105846729788,0.00394835917818761,0.000290549977632209,-0.000285745547674699
120,-0.0109852732836739,-0.00667467012286672,0.0524939948845767,-0.00591379355769215,-0.00891962283112325,-0.00934263433435684
128,-0.0114061424856725,-0.0796679552679554,-0.0239293640611915,-0.0167431964649123,-0.0185959795862752,-0.0188622800120583
136,-0.00788255585867894,-0.067088711660178,-0.046615584928974,-0.0198652267596303,-0.0211678182658901,-0.0213632999737486
144,-0.0129297051638546,-0.0449669837969987,-0.0459544071308573,-0.0109873490413527,-0.0111653766039336,-0.0112110026878043
152,-0.00631152996953835,-0.0270353155804798,-0.0318185270155626,-0.00931624972087265,-0.00974022786629967,-0.00981099937295398
160,-0.00640846191080908,-0.013166485435328,-0.0173205272054859,-0.0122790063397366,-0.0125668737023803,-0.0126210640367899
168,-0.00737028707156813,-0.00370976596169302,-0.00753567712975604,-0.0149867917100647,-0.0151090986996255,-0.0151415395445067
176,-0.00540305487508573,0.00220758754056793,-8.13576546979481E-05,-0.00869013808049381,-0.00886443622950668,-0.00889596910159477
184,-0.00587505785467035,0.00280534586348153,-0.000944639418068842,-0.0121117388408669,-0.0121950039197803,-0.0122153125413076
