tavg,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P12_Nullcline,P13_ConstHighN,P14_MLDOnlyNUnlim
33,2.4844834787639,2.81321858257536,2.81321858257536,3.78413256891556,3.40699458987171,3.40699458987171,4.20345141719714,4.20345141719714,4.33356359290208,4.33356359290208,2.86997659634419,2.75413908306168,2.89797349351852,4.89728569288018
34,2.76934756380854,2.85307547377227,2.85307547377227,3.94393897903186,3.4584498553013,3.4584498553013,4.26571627347685,4.26571627347685,4.48928193294087,4.48928193294087,2.86997659634419,NaN,3.09930938625029,4.90890282647501
35,2.92487583650475,2.83764732008511,2.83764732008511,4.05332092083669,3.41687690053828,3.41687690053828,4.26567151629646,4.26567151629646,4.63781127657623,4.63781127657623,2.86997659634419,NaN,3.22086204057119,4.86804789556141
36,3.11064455471154,2.85171536841165,2.85171536841165,4.18371959848916,3.32192078694935,3.32192078694935,4.28257194221902,4.28257194221902,4.76756677992821,4.76756677992821,2.86997659634419,NaN,3.35583340745433,4.85896345770439
37,3.27973290958796,2.85100369666689,2.85100369666689,4.31809515786357,3.23551176401895,3.23551176401895,4.29882955351816,4.29882955351816,4.8835806856852,4.8835806856852,2.86997659634419,NaN,3.38993997543366,4.84114297302288
38,3.37452956755588,2.85509770868933,2.85509770868933,4.44929263116974,3.15788305360571,3.15788305360571,4.32336521537803,4.32336521537803,4.97436630945313,4.97436630945313,2.86997659634419,NaN,3.32018186278605,4.86718979103715
39,3.34048408701007,2.90040107419281,2.90040107419281,4.6078737296047,3.08675740766776,3.08675740766776,4.39686275030233,4.39686275030233,5.03681178276718,5.03681178276718,2.86997659634419,NaN,3.25705976334011,4.93939437275999
40,3.44973172502402,2.99707317284946,2.99707317284946,4.83818815548701,3.06568707012471,3.06568707012471,4.53748029097699,4.53748029097699,5.0898571655343,5.0898571655343,2.86997659634419,NaN,3.2671326019205,5.06918729847714
41,3.54575842991085,3.2546068111265,3.2546068111265,5.18312284758098,3.08256610443029,3.08256610443029,4.78348674186135,4.78348674186135,5.15033195958522,5.15033195958522,2.86997659634419,NaN,3.38981410772157,5.28655931149358
42,3.25046320890037,3.22060744337243,3.22060744337243,5.4358685008387,3.05511651731859,3.05511651731859,5.01841248502798,5.01841248502798,5.19445889068264,5.19445889068264,2.86997659634419,NaN,3.21117723759541,5.48542629712987
43,3.23031565131453,3.20435940745003,3.20435940745003,5.58058397721568,3.04439268420703,3.04439268420703,5.16644315664485,5.16644315664485,5.23077205131841,5.23077205131841,2.86997659634419,NaN,3.22223329171456,5.61193472623642
44,3.16989587467184,3.17460225692857,3.17460225692857,5.68423983728126,3.02313791339723,3.02313791339723,5.27872109079482,5.27872109079482,5.25852745889379,5.25852745889379,2.86997659634419,NaN,3.18333764096827,5.71285614444858
45,3.12239034030957,3.17949302779982,3.17949302779982,5.75462394150187,2.98069190794552,2.98069190794552,5.37112420490859,5.37112420490859,5.27029673189777,5.27029673189777,2.86997659634419,2.86997659634419,3.14887084449789,5.80024638887923
46,3.03509172251861,3.10578614547522,3.10578614547522,5.81040111949421,2.92046290534213,2.92046290534213,5.45770560770361,5.45770560770361,5.26196843344324,5.26196843344324,2.86997659634419,2.86997659634419,3.07231493023237,5.88509835220069
