pos,k_1,m_1,mp_1,al_1,alpha_1,l_1,j_1,r_1,c1_1,K_1,f_1,g_1,Q_1
1,0.02,1.04180601895366E-06,1.23040116147089E-06,0.01,0.02,0.178490066488056,0.131216309912496,0.017687918374805,0.466250277346242,0.269569622082804,0.128330573675625,0.0175134257149183,0.716332894496164
2,0.02,2.07209568147837E-06,1.56940539959441E-06,0.01,0.02,0.211594942952225,0.146012213784878,0.0179953716679692,0.54987633072011,0.310630386699766,0.14103632680777,0.0175665592820171,0.786855486271168
3,0.02,1.93239631317769E-05,1.60654990615744E-05,0.01,0.02,0.244687642545975,0.217685305331546,0.0199644895967083,0.771798770878654,0.427087985537257,0.214673648329198,0.0177806912753064,1.45603082222761
4,0.02,0.00661272401349015,0.000564246760799056,0.01,0.02,0.27702861878544,0.593372863849916,0.0256601234944874,1.32854652166174,0.6931402002787,0.416361516128737,0.0184865893840244,3.42634433830087
5,0.02,1.00581045580418,0.120792143565864,0.01,0.02,0.293345656817235,1.93793505213302,0.0334732654101315,2.62601240419533,0.987846976463918,0.647133753236024,0.0201904815740446,5.88437045542411
6,0.02,7.50473191275924,0.751335326959486,0.01,0.02,0.298355551653107,4.14805111286121,0.0417776175934041,3.47963870629325,1.25679069139341,0.796635493209317,0.022299083102515,7.65264858365782
7,0.02,11.9750847387508,1.03248950973991,0.01,0.02,0.299298606549377,4.6799090071988,0.04587607870852,3.94830439757714,1.42159550633203,0.965758420196824,0.0250229227488045,7.84123556741801
