tavg,P,P025,P05,P1,P2,P4
1,-0.00538118886625379,-0.0265110344381803,0.000113451033122969,-0.00543438152441913,-0.0079632074400422,-0.00841046687531143
2,-0.0107477080283326,-0.00893177633966095,-0.069707859360571,-0.0179617928261982,-0.0179393739308525,-0.0180069764592148
3,-0.00758342530349977,0.0834465981465954,0.0287461608244371,-0.0108224403247021,-0.0107748655376232,-0.0108928120148443
4,-0.010636844780046,-0.000927485716315013,-0.050016091716098,-0.00886189762382597,-0.00773079937538888,-0.0076799720860243
5,0.00100156200183911,-0.00377687540142359,-0.0450661266635341,0.00263452504519911,0.00162858505417746,0.00143617411264674
6,-0.00863755284059266,-0.00449451833714718,-0.0172964753725351,-0.00960400437673792,-0.00831321731953094,-0.00823655222373118
7,-0.00812028576578391,-0.0226203207318807,-0.0117392390641632,-0.00329314777233756,-0.00188451035119388,-0.00176606804101322
8,-0.0102439499336299,-0.0315037857087852,-0.0105487943895857,-0.00448089946900046,-0.0023070546410713,-0.0020208780361098
9,-0.00244120931522759,-0.0135993025477301,0.00610446093731883,0.00194397198109781,0.00295318814373102,0.00306169395048454
10,-0.00890286630630389,-0.013410396848378,-0.00195763517208595,-0.00680013499763674,-0.00519146415004993,-0.00496698611826521
11,-0.0134249772507995,-0.00945205337965181,0.000954503147582997,-0.000129431745953429,-0.000275742455247371,0.000212902048361023
12,0.00355438406709831,-0.00632605458531077,0.00288188368761906,0.00807386505295766,0.00983512828308334,0.00983081797116404
13,-0.0144883496344641,-0.0115682170637136,-0.0083390848163424,-0.013091107632532,-0.0120280674198634,-0.0118178801578112
14,-0.00840679076217463,-0.00977671857887328,-0.00836880669935173,-0.00942669137775456,-0.00866032950135132,-0.00849342362952906
15,0.00137342578096518,0.0101948778862136,0.0143360331687759,0.00114947309252777,-0.006717510661988,-0.00660280350575245
16,0.00102922143841778,0.0301130665661967,0.029176957659846,-0.00661775859152106,-0.0121777008690609,-0.0131690774861846
17,0.00548973673181286,0.0312623192273682,0.0190158786668032,-0.00679703124993459,-0.00908684784009761,-0.00992984134944377
18,0.0141691334176488,0.0252782537362224,0.0140255991991388,0.000800308700813462,0.000375144887035318,0.00028456355356808
19,0.000627365950979116,0.00588041698635378,-0.00179168902807169,-0.00964494374787741,-0.0106200241977063,-0.0107342016580846
20,-0.00397274937021206,-0.0026526807151626,-0.00834274474371455,-0.0128907170191598,-0.0136851289777858,-0.0137543782022195
21,-0.00137969499568745,-0.00307052486616433,-0.00672196338791767,-0.00982129039906668,-0.0104876301640872,-0.0105733377865218
22,-0.000595915021265084,-0.00341829412481079,-0.00601091619202781,-0.00815042086384698,-0.00841391339991028,-0.00840089661532611
23,1.48757908167782E-05,-0.00270272181427974,-0.00407187935185701,-0.00632230663441056,-0.00671926500877097,-0.00663509678611958
24,-0.0046648830340393,-0.00512031150299284,-0.00679701786265603,-0.00975833853212301,-0.0111611137949371,-0.0114017198759027
25,-0.000452417211467668,-0.00319187070146509,-0.00415880856703277,-0.00539291493232403,-0.00513207429438026,-0.00487515381482223
26,0.0064873305361187,0.00205072052790565,0.0017883117746702,0.00192678674819835,0.00231990021438327,0.00245676370542118
27,0.00103650220236921,-0.0034372402606511,-0.00365157812674958,-0.00352498858429067,-0.00314870771616883,-0.00286804421268983
28,0.00713368386942224,0.00104217160145737,0.00156472992555749,0.00282386566288392,0.00377685589888632,0.00407233907583459
29,0.0115849251632049,0.00385086460345308,0.00496544163686891,0.00724425650602786,0.00883221081125856,0.00931194948685928
30,0.00973198799758719,0.0022315722750552,0.00309966490449591,0.00479298873662574,0.00596613422778632,0.00635828651891217
31,0.00990054738923966,0.00161528970734702,0.00274747514434437,0.00496184497281279,0.00642456347235384,0.00690450393427169
32,0.0207666927723748,0.0110973527418683,0.0128845583977354,0.0162975407018193,0.0184579644779121,0.0191527116159742
33,0.0291967550055843,0.0180303650057673,0.0202139887916312,0.0239485354559957,0.0260758039771169,0.0268258379779063
34,0.0519458990677265,0.0371716849756568,0.0401417280570486,0.0454728980647689,0.0479913428826511,0.0487525481028458
35,0.0613058761993526,0.0433818532268611,0.0465965742657875,0.052975790289087,0.0557317452370871,0.0563932877103663
36,0.0634283108134695,0.0435624361236347,0.0464516864096958,0.0528374893628893,0.055504381525293,0.0559134962426113
37,0.0509405903363529,0.03362820465494,0.03492062207888,0.0383665714545132,0.0398675029657864,0.0398166978623593
38,0.0431168766059464,0.0367851304851362,0.0363710766562454,0.0367183421175618,0.0374720871269698,0.0372834002325881
39,0.000674093799163454,0.019922202629297,0.0166560437753563,0.0110539502955154,0.00806499697639144,0.0071144360200076
40,6.45514767878413E-05,0.0319601105406422,0.0283318548839134,0.0539719625662464,0.0325288817597641,0.0229832026288044
41,0.00758021496794601,0.0316750465768561,0.0740347347974421,0.0135284555720061,-0.0062927540067854,-0.00831801149872036
42,-0.042311730227744,0.0166838053773621,-0.0203301220561893,0.00436490222072236,0.00182063366051357,0.0014353519438835
43,-0.0203671625132528,0.0138453262796097,-0.0413378375108889,-0.000248613342753047,-0.00296563309731485,-0.00352069225671365
44,0.0215188594499518,-0.0193325197260175,0.038819795439503,0.00330864765531556,-0.0160189996776912,-0.0172100390518827
45,-0.0108337506409431,0.00717598160710736,-0.0395600544881183,-0.0195389924754431,-0.022476158116168,-0.0235505841294939
46,-0.0101030260618833,0.0138753423578248,-0.05221645173973,-0.00308885648071231,-0.00887143581139283,-0.00912535316557679
