n_median,p_median,z_median,rp_median,rp_lb68,rp_ub68,rp_lb95,rp_ub95,rz_median,psynth_median,predation_median,mldloss_median,noZoo_median,noMLD_median,zPred_median,zMLD_median,p_maxL_median,p_noZ_median,p_maxMLD_median,light,mld,dmld,pgr_median,pgr_lb68,pgr_ub68,pgr_lb95,pgr_ub95,dps1_median,dps1_lb68,dps1_ub68,dps1_lb95,dps1_ub95,tavg,drp_median
3.72782151120192,2.58875704031617,6.76344908065869,-0.000830243340240223,-0.0107694130815277,0.00526691794552223,-0.0107694130815277,0.00526691794552223,56.8352757267993,1.99354544163602,1.916335062925,0.0662314952512146,0.0662314952512146,0.730051311543494,0.0293636320721581,-9.25405045196559E-05,2.55893969715082,6.44358979214583,2.66611069937992,129.876990999474,18.4837452685552,-0.0988195540440715,-0.00203641533295975,-0.00597209851043751,0.00781142217624332,-0.00597209851043751,0.00781142217624332,2.75087020823728,2.51790757144566,2.96704107445953,2.51790757144566,2.96704107445953,1,0.0544050498589253
3.74172493901715,2.55160708676145,6.78866963784073,-0.00603508920982895,-0.0137318931202593,-7.73761662534465E-05,-0.0137318931202593,-7.73761662534465E-05,57.1762262300357,1.99583546999256,1.91915661645386,0.0699788578599219,0.0699788578599219,0.732755405778366,0.0274898683775937,-0.000937175306966942,2.55827807147782,6.46858145799254,2.6558449397488,128.427123946826,17.5910579513776,-0.0732868308235926,-0.00668260503786684,-0.0166977469825071,0.00303625477763542,-0.0166977469825071,0.00303625477763542,2.78408673999827,2.65850417787366,3.03085141712787,2.65850417787366,3.03085141712787,2,-0.00247711430038001
3.76226252645317,2.50209537246122,6.79208707090487,-0.00664015315224309,-0.0354787932772374,0.00464199914348847,-0.0354787932772374,0.00464199914348847,57.6843672241454,1.92022231721877,1.83917410806652,0.0726236138775932,0.0726236138775932,0.736885892236397,0.0252603534783487,-0.000883480988723356,2.56646578902509,6.48858756878183,2.60799009603742,114.969750023381,17.004763308247,-0.0477541087090433,-0.0126827523319819,-0.0237671283121863,-0.0015633941791575,-0.0237671283121863,-0.0015633941791575,2.67989802131935,2.42706064190648,2.98128118465747,2.42706064190648,2.98128118465747,3,-0.0373157309248857
3.76583325011739,2.52962717322844,6.78329657892552,0.000972094354904918,-0.00336164360201025,0.00861201593969751,-0.00336164360201025,0.00861201593969751,57.4908137527912,1.94786958272871,1.8603977707593,0.0737141839363334,0.0737141839363334,0.738268578239954,0.0260185310835632,0.000163041798610297,2.57346319451438,6.51602301202935,2.589370394755,121.524648465055,16.724861328789,-0.0349877477435883,-0.0065854917163466,-0.0220064953674138,0.0034470054696325,-0.0220064953674138,0.0034470054696325,2.59048768732848,2.3594674736591,2.75644426037097,2.3594674736591,2.75644426037097,4,0.0165547180670002
3.7512722799674,2.57381625827398,6.76479640825008,0.00559278306014716,0.00100758897848711,0.00809455383150232,0.00100758897848711,0.00809455383150232,57.0439118079953,1.99758390386287,1.90640376613061,0.0763542915401768,0.0748571908493996,0.736240904822553,0.0281527842790262,0.000668738559948012,2.57714304973985,6.54375517549552,2.62260123007294,138.333691393944,16.4449593423605,0.0182165892918892,-0.00596253374897625,-0.008755192402085,0.00106122646629376,-0.008755192402085,0.00106122646629376,2.47970068403071,2.15741929382062,2.62098271757388,2.15741929382062,2.62098271757388,5,0.0253580522987111
3.75426287656018,2.53840104175008,6.71010277887842,0.0063083004538863,-0.00935445643321054,0.01378815193028,-0.00935445643321054,0.01378815193028,57.3963973719741,1.85698903886704,1.76000503672149,0.0826773351725441,0.0760570291514771,0.736319302381774,0.026316238391438,-3.58256048210714E-05,2.59110041249517,6.51876821427673,2.59349683736007,118.737235012557,16.1650573624009,0.103343529684814,-0.00262510688878359,-0.0130941548168513,0.00898267336937085,-0.0130941548168513,0.00898267336937085,2.52184622012703,2.37035678670429,2.70041827216052,2.37035678670429,2.70041827216052,6,-0.0736593709140316
3.7488566114173,2.5751338242923,6.61594987522517,0.0164465665477747,0.00227552345428239,0.0276245601087165,0.00227552345428239,0.0276245601087165,57.056674937071,1.7563894829081,1.65688571631597,0.0825752224781492,0.0714125203604672,0.735150114373451,0.0280312728937535,0.000901727715306233,2.61547283326731,6.4803603412207,2.54637912533311,116.577213527863,17.1620594717943,0.188470469328266,-0.00619581969631067,-0.0120038116944963,6.8766092869172E-05,-0.0120038116944963,6.8766092869172E-05,2.44738687735305,2.34692509413957,2.55530095562995,2.34692509413957,2.55530095562995,7,-0.0558646736371923
3.74397552229074,2.56206389608525,6.5085218991671,0.00746207349575369,-0.0121132734175234,0.0180271505210898,-0.0121132734175234,0.0180271505210898,57.095313432195,1.56909016076992,1.48636827824522,0.0763158566756246,0.0646485811078368,0.733991486007431,0.0277880207516295,-0.000610523702532079,2.64264622088055,6.41800253838983,2.49410288428874,103.855756644106,18.9252040547961,0.22039307246585,-0.00627081887445109,-0.00925452831850208,-0.00366996160320001,-0.00925452831850208,-0.00366996160320001,2.4166981186999,2.30672300196945,2.73882384267067,2.30672300196945,2.73882384267067,8,-0.115350958080159
3.72979195273542,2.62374623998751,6.39471843232421,0.0197515883787894,0.00582128055548752,0.0351490344029904,0.00582128055548752,0.0351490344029904,56.5092288465975,1.4791947554568,1.39021648553357,0.0729448224491802,0.059164399165521,0.731480910532103,0.0306223681526535,0.00108630573836261,2.66985767297357,6.36418002229237,2.46639392531019,105.933079813234,20.6883486262792,0.287536916626134,0.00159966576914933,-0.0134274649639829,0.01730760216286,-0.0134274649639829,0.01730760216286,2.37314654741558,2.35450989524365,2.41232679149261,2.35450989524365,2.41232679149261,9,-0.0555320374828999
3.71425663537169,2.64370966896615,6.27280039185495,0.0185314458855385,0.011645923288859,0.0314660392721665,0.011645923288859,0.0314660392721665,56.2370324398694,1.34788166914811,1.26596466244981,0.0712786953754738,0.0546136861487738,0.727734286948585,0.0320415773222953,0.00036090535297772,2.70558758426825,6.30261607200934,2.45273201309138,102.215165004049,22.4514932109747,0.377062043512032,-0.00387459767115107,-0.0133422689278683,0.00360086657507126,-0.0133422689278683,0.00360086657507126,2.29688722436622,2.17603324759754,2.41333389916948,2.17603324759754,2.41333389916948,10,-0.0978447080868848
