index,t,days,siteID,lpC,sdlpC,mld,dmld,N0,light,rPC,sdrPC,zeu,sdzeu,pgr,latitude,lpC_median,lpC_lb95,lpC_ub95,lpC_lb68,lpC_ub68
1,1,1,5,1.07691309806017,1.31157097103163,166.105081960427,0.867332820296292,16.5627625,30.3788871183849,0.030799165253582,0.129035963110294,66.9874765170555,5.04911998990415,0,47.5,1.07691309806017,-1.49376600516182,3.64759220128216,-0.23465787297146,2.3884840690918
2,8,8,5,1.07691309806017,1.31157097103163,166.105081960427,1.23781681364883,16.5627625,30.3788871183849,0.030799165253582,0.129035963110294,66.9874765170555,5.04911998990415,0.0438706549740849,47.5,1.07691309806017,-1.49376600516182,3.64759220128216,-0.23465787297146,2.3884840690918
3,16,16,5,1.49199566254498,1.35990186368685,186.921069647538,1.60830080544783,16.5627625,30.2550303669724,0.0744845478370949,0.191679850012714,63.8937164008132,7.80644852528826,0.0317166029009806,47.5,1.49199566254498,-1.17341199028125,4.15740331537121,0.13209379885813,2.85189752623183
4,24,24,5,1.96527091339216,1.09785334311386,195.812685487999,1.11145197682083,16.5627625,44.4110020257221,-0.0420131548592382,0.180429479970974,64.0154979018046,5.17831784436997,-0.00184100004630209,47.5,1.96527091339216,-0.186521639111005,4.11706346589533,0.8674175702783,3.06312425650602
5,32,32,5,1.62916567451827,1.25107463278721,204.704301291175,0.900061979230375,16.5627625,36.6817974080301,-0.0393441956177753,0.219542728614525,64.7683437658688,4.94060835240384,-0.000260843307363955,47.5,1.62916567451827,-0.822940605744662,4.0812719547812,0.37809104173106,2.88024030730548
6,40,40,5,1.31441210957606,1.31006152535255,213.595917091238,0.0545020054473753,16.5627625,53.0669315045521,0.0674941143398293,0.204635336304136,64.0783456871915,5.22122207293767,0.0202958326674328,47.5,1.31441210957606,-1.25330848011494,3.88213269926706,0.00435058422350987,2.62447363492861
7,48,48,5,1.85436502429469,1.00944646143077,217.414172989528,-0.791057973115,16.5627625,30.3508733103156,0.0252078717050769,0.159040214902996,59.3401925445932,4.11183754029722,0.0232203966783619,47.5,1.85436502429469,-0.124150040109619,3.832880088699,0.84491856286392,2.86381148572546
8,56,56,5,2.05602799793531,0.830162448000432,206.012349421912,-1.42522795165996,16.5627625,66.4307973821807,-0.0252555677028558,0.164134052981482,61.3655360071863,4.22928194674164,0.0249581281522992,47.5,2.05602799793531,0.428909599854463,3.68314639601616,1.22586554993488,2.88619044593574
9,64,64,5,1.85398345631247,1.0271996324709,194.610525736478,-0.310472523536917,16.5627625,63.2856775716231,0.0749220804546765,0.16325992259147,61.5799676968991,4.72162976840976,0.00874481820377053,47.5,1.85398345631247,-0.159327823330494,3.86729473595543,0.82678382384157,2.88118308878337
10,72,72,5,2.45336009994987,0.885755768150466,183.208702149689,1.17586803676904,16.5627625,69.0212631214744,-0.033490864438232,0.135682490764523,58.6227389877047,4.53682430871983,0.0325678283048884,47.5,2.45336009994987,0.717278794374957,4.18944140552478,1.5676043317994,3.33911586810034
11,80,80,5,2.18543318444402,0.763222097973096,198.561008857026,2.66220861445287,16.5627625,92.5031416612607,0.0317986071406063,0.113309557121059,55.9831558291455,4.49325524169401,0.00785717545333302,47.5,2.18543318444402,0.689517872416752,3.68134849647129,1.42221108647092,2.94865528241712
12,88,88,5,2.43982204156887,0.647717794736787,222.831358618935,3.03379375113654,16.5627625,64.1760717947254,-0.0121329759487878,0.114792143805791,54.7450809707912,5.14989250509357,0.0184211221980708,47.5,2.43982204156887,1.17029516388477,3.70934891925297,1.79210424683208,3.08753983630566
13,96,96,5,2.34275823397857,0.718833750724934,247.101708896558,-0.221172508211,16.5627625,77.0351707967305,0.00825978209370556,0.114986167093911,59.3566507508693,5.04508941280126,0.0298695183926076,47.5,2.34275823397857,0.933844082557699,3.75167238539944,1.62392448325364,3.0615919847035
14,104,104,5,2.40883649072821,0.763898967319817,271.372058884303,-3.94113399399929,16.5627625,100.693410281752,0.0805586511841105,0.109521660070379,54.7272998753857,6.90375093190231,0.0180126842922246,47.5,2.40883649072821,0.911594514781369,3.90607846667505,1.64493752340839,3.17273545804803
15,112,112,5,3.05330570020108,0.524534448133255,217.523218421871,-7.6610954526329,16.5627625,92.9744305492775,-0.0347803804011406,0.0781622437697119,50.7622556065194,6.47605956508527,0.0555732984519158,47.5,3.05330570020108,2.0252181818599,4.08139321854226,2.52877125206783,3.57784014833434
16,120,120,5,2.77506265699196,0.537468758457407,152.514493040575,-7.80240912757681,16.5627625,111.324912698742,0.120941624572779,0.0878034418266996,50.9450670668819,7.00358451977383,0.00409810410758459,47.5,2.77506265699196,1.72162389041544,3.82850142356848,2.23759389853455,3.31253141544937
17,128,128,5,3.74259565357419,0.664411867429896,87.5057680211133,-5.21295689606487,16.5627625,98.0815390611954,-0.0738669318488858,0.0879279368704504,35.0981312079566,8.64464423569415,0.020587906419115,47.5,3.74259565357419,2.44034839341159,5.04484291373679,3.07818378614429,4.40700752100409
18,136,136,5,3.15166019878311,0.503284378218934,30.2653993600276,-2.62350467957556,16.5627625,121.486070874579,0.0146890265334515,0.0898946108842572,44.022195632955,6.74466755864853,-0.00916023219231625,47.5,3.15166019878311,2.165222817474,4.13809758009222,2.64837582056418,3.65494457700204
