tavg,P,P025,P05,P1,P2,P4
1,-0.00538118886625379,-0.00989854588303165,-0.00711703116756044,-0.00546453854448207,-0.00512992885343899,-0.00508829550788719
2,-0.0107477080283326,-0.012550231092989,-0.0115608372935353,-0.0108208669244301,-0.0106537480121512,-0.0106327364862813
3,-0.00758342530349977,-0.00870609275653722,-0.00816730196245239,-0.00770215854836382,-0.00759192075091821,-0.00757805980064236
4,-0.010636844780046,-0.0117390267227129,-0.0112623913667776,-0.0108368827667897,-0.0107382456927842,-0.0107258282678777
5,0.00100156200183911,0.000349016363947353,0.000588541332840467,0.000816839375292773,0.000872945997934426,0.00088001889985602
6,-0.00863755284059266,-0.00914737899694313,-0.00892463689882168,-0.00872483719356504,-0.0086780746999424,-0.00867222343479271
7,-0.00812028576578391,-0.00906645211029347,-0.00868523481644469,-0.00834655409998081,-0.00827203453444389,-0.0082626597802736
8,-0.0102439499336299,-0.0112888103944293,-0.0108519493710681,-0.0104630067543256,-0.0103787273978457,-0.0103681022192834
9,-0.00244120931522759,-0.00326533903742019,-0.00295013601769864,-0.00266531296626375,-0.00260300300200968,-0.00259513830971182
10,-0.00890286630630389,-0.0096146938929919,-0.00931328308759079,-0.00904117183010338,-0.00898205970315151,-0.0089746012687168
11,-0.0134249772507995,-0.0155186420536566,-0.0145760155698096,-0.0137157589857347,-0.0135298346288632,-0.0135062772734111
12,0.00355438406709831,-0.000112531795288308,0.00188055031810471,0.00326360684953226,0.00355645320142203,0.00359344385471279
13,-0.0144883496344641,-0.0164095454275186,-0.0155932723044105,-0.0148716456042397,-0.0147124036869315,-0.0146921060574079
14,-0.00840679076217463,-0.0114976553642311,-0.010046612932101,-0.00868610700071021,-0.00838923257114737,-0.00835148850948935
15,0.00137342578096518,-0.003808630585945,-0.00166107579921039,0.000275473739424002,0.00164264009550885,0.00169508761465812
16,0.00102922143841778,-0.00433167708923684,-0.00217403878501091,0.00066609273133766,0.00109794289853973,0.00114515455930725
17,0.00548973673181286,-1.59003202744919E-06,0.00271657485563804,0.00528353689170091,0.00579149827262612,0.0058572231502993
18,0.0141691334176488,0.00636233787320665,0.0102967506171331,0.0140073631038749,0.0148020398171507,0.0149048010864993
19,0.000627365950979116,-0.00679602583962909,-0.00337342226723801,6.95649963341304E-05,0.00084898708366912,0.000951166450789835
20,-0.00397274937021206,-0.00970413277508576,-0.00820656980275845,-0.00461446322563309,-0.00361465090780392,-0.00348402832348329
21,-0.00137969499568745,-0.00538267356600753,-0.0050990183449336,-0.00178420690355895,-0.000962855721445152,-0.000856922644188692
22,-0.000595915021265084,-0.00275499015220102,-0.00300138130892514,-0.00113441768574053,-1.6722771024894E-05,0.00012922921783057
23,1.48757908167782E-05,-0.00260263019935008,-0.00208317031701261,-0.000272919306104544,0.000436422251274703,0.000556406811754508
24,-0.0046648830340393,-0.00319836663913405,-0.00423943170449185,-0.00486463045256157,-0.00490189099359065,-0.00491025427295319
25,-0.000452417211467668,-0.00239864643223887,-0.00276288652028712,-0.000790380707582212,6.97521130699174E-05,0.00030675410105805
26,0.0064873305361187,-0.00117531507703969,0.000393305832997132,0.00558931061521735,0.00720322863570542,0.00741425799557149
27,0.00103650220236921,-0.00678076738451145,-0.00522944993620053,5.29913195016635E-05,0.00170062240756304,0.00191603175678726
28,0.00713368386942224,-0.00443972011510285,-0.00197342661965153,0.00541024643617571,0.00812415620413367,0.00848381171510791
29,0.0115849251632049,-0.00759809284163886,-0.00261540460582609,0.00880376000894685,0.0128371181368852,0.0133757057808807
30,0.00973198799758719,-0.0100843613151368,-0.00497149788401941,0.00692888291752318,0.010785566527486,0.0112969358663538
31,0.00990054738923966,-0.017935626302161,-0.00903457880033636,0.00709462786520114,0.0111808478670511,0.0117116060565524
32,0.0207666927723748,-0.015792068458355,-0.00142773060355931,0.0179786536904962,0.0225482199389565,0.0231271035522645
33,0.0291967550055843,-0.0103893485036737,0.00673575694539774,0.0271736065731766,0.031451039380858,0.0319680749076309
34,0.0519458990677265,0.0107143003939241,0.0300820843109309,0.0505707684285014,0.0538926311881641,0.0542457574759111
35,0.0613058761993526,0.0197698380729644,0.0423748813444657,0.0608540729927838,0.0623249135674269,0.0623889906052654
36,0.0634283108134695,0.0342448958235333,0.0563566909123402,0.0652580298735987,0.0626843932657002,0.0621793803475109
37,0.0509405903363529,0.0465282355596033,0.063601989318605,0.0552533045858702,0.0472319223381182,0.0459889063115171
38,0.0431168766059464,0.0825185292225739,0.0855110073862875,0.0505889278732714,0.0352724583664656,0.0331709932430141
39,0.000674093799163454,0.0986270706437715,0.0707602631140509,0.00745661309437006,-0.00545095861546821,-0.00715105900713079
40,6.45514767878413E-05,0.122451780879801,0.0513239407979148,0.00706157954954035,-0.00260015238262014,-0.00347164029806825
41,0.00758021496794601,0.0625564685158847,0.0884572066921328,0.0130592846450823,0.0380571046094873,0.0372285945277868
42,-0.042311730227744,0.0325639202709349,0.0142230471824414,-0.0378402079160787,-0.0408986598276379,-0.0398581317334246
43,-0.0203671625132528,0.0351448574113193,-0.00572253679966242,-0.0252632451377818,-0.0169490827085517,-0.0162948045686548
44,0.0215188594499518,0.00322252502985865,-0.050082505248282,0.020883036182209,0.0222440822135697,0.0223728860927225
45,-0.0108337506409431,-0.0509939202985795,-0.0183592888332985,-0.0111238530254501,-0.0102312268983927,-0.0101299664148542
46,-0.0101030260618833,0.0137273995223987,0.0117510420521609,-0.0106705405992543,-0.0101925996123645,-0.0101335246393092
