tavg,P,P025,P05,P1,P2,P4
1,-0.00710623133989606,-0.00724545029739702,-0.00607708657472016,-0.00480770662947106,-0.00450876947788233,-0.00445684852861141
2,-0.00926966440041583,-0.0100557570496748,-0.00963813709344468,-0.00901133127743264,-0.00884610613156998,-0.00881607913512839
3,-0.00638584406151075,-0.00781550660903482,-0.00734601414869759,-0.00671916865419618,-0.00655436203732663,-0.00652805807720402
4,-0.00735257485460963,-0.0103616262060169,-0.00974155863403288,-0.00901775180628265,-0.00883578578323687,-0.00880922452513614
5,0.000632275413391164,-0.00137906626893508,-0.00105906041948974,-0.000625206345021308,-0.000508531445421135,-0.000491179853207166
6,-0.0059817535380207,-0.00783208351103799,-0.00754720458779135,-0.00719848038420614,-0.007107410904827,-0.00709412486110188
7,-0.00506565023356507,-0.00835233007173465,-0.00769556101512181,-0.00701527280687414,-0.00685429367167704,-0.0068326036878911
8,-0.00671764293819819,-0.0103305708626436,-0.00958345166475937,-0.00881681573554536,-0.00863754152104503,-0.00861379206894304
9,-0.00153782618377529,-0.00419006517105113,-0.00361013484433599,-0.00300396356317656,-0.00286032951286968,-0.0028413250862015
10,-0.00617689301636928,-0.00893124618669635,-0.00846508299099053,-0.00796587173333629,-0.00784673918418014,-0.00783101298143122
11,-0.00946881771273267,-0.0147676297641563,-0.0133089183207245,-0.0117623280415565,-0.011396839482923,-0.0113493842704749
12,0.000908081443688678,-0.00274949859610688,-0.000193104078388299,0.00244133486551558,0.00305252046280344,0.0031313900285832
13,-0.0081967810563374,-0.0147247492278429,-0.0137769515426619,-0.0126891391183676,-0.0124123769354384,-0.0123758168842803
14,-0.00617529425261529,-0.0110355017727841,-0.00933926135065718,-0.0074496983065733,-0.00698757280213356,-0.00692726079113679
15,-0.00589484034497513,-0.0104511849567934,-0.00870418201576836,-0.00686481779125819,-0.00643050087799979,-0.00637420199577846
16,5.58143903921766E-05,-0.00613142838246567,-0.00346299287668049,0.000162461963283041,0.000920432557263014,0.000999187172062987
17,0.00618401042338849,0.000864089713921616,0.00461545529299495,0.00863852390495918,0.00944738815526137,0.00955186167775139
18,0.0141896560768091,0.0102828737632257,0.0150056438278957,0.0200536879539885,0.0212401944391598,0.021396577714869
19,0.007448593041222,0.000769107523795405,0.00383223967092919,0.00754837174439235,0.00855875266508531,0.008696269091386
20,0.00457154119628623,-0.0022271233775676,0.00107362254076896,0.00563517170031138,0.00696656008456817,0.00715034597381845
21,0.00523536775275743,-0.000310973821558274,0.00361386366515492,0.00931720405710922,0.0109816280301339,0.0112103025374016
22,0.00594373916035263,0.000574076009215426,0.00460261877843217,0.0115969560352223,0.0136882561774079,0.013976494929532
23,0.00697885540694055,0.000263669214716249,0.00527185724299031,0.013910866036067,0.0165669562417685,0.0169342617026185
24,0.00304457720914916,-0.00369383715569679,-0.00055937116884379,0.00722184599842078,0.00984509179883741,0.010218742217345
25,0.00794281319071319,-0.000350203460130747,0.00537206830384863,0.0157103501376534,0.0190168343002453,0.0194777900969174
26,0.010965602792054,0.0026465468574984,0.00829683609929978,0.019754554413499,0.0232873622645836,0.0237729794790125
27,0.00805308581492662,-0.00136302806772915,0.00478986553477338,0.0162035735638417,0.019527732182596,0.0199725024336729
28,0.0116091616772864,0.000735054925507963,0.00826466250163444,0.0207134570155441,0.0240537787505175,0.0244824936879588
29,0.0140212390136915,0.000584401198264926,0.00999083670318116,0.0237267637853172,0.0269723689260505,0.0273603348008395
30,0.0129533817923245,-0.000372786004436509,0.00839473345158874,0.0193863381081284,0.0208735555133355,0.0209665101057987
31,0.0117832155266712,-0.00307235674628679,0.00806183906857879,0.0194405092134805,0.0197762741285015,0.0196396057777389
32,0.0170678596158953,0.000513011553916132,0.0153085751643031,0.0282627936206559,0.0271058022927208,0.0266642190252552
33,0.021388824669602,0.0068354843129439,0.024372667587833,0.0325893086254992,0.0265864344462641,0.0253718147317375
34,0.035500735634812,0.0220666416335435,0.0403847261502336,0.0378654688580528,0.0263194739888009,0.0243628809731092
35,0.0403964495982411,0.0290827502777599,0.0466354128532161,0.0294046403683393,0.0127185202024729,0.0104949714422944
36,0.0418206652669825,0.0399696329485895,0.0520785094987014,0.0105709840596501,-0.00533403609736929,-0.00648919834942473
37,0.0344337157440467,0.0487208122561614,0.0463320154730147,-0.015917732225061,-0.0192616820983046,-0.0188062757141806
38,0.0317030953771327,0.0716445201087074,0.041709831854051,-0.0116575755101934,-0.00681077726284021,-0.00611586940326489
39,0.00666385176684387,0.0726125927762933,0.0106404097096287,-0.0180219693862526,-0.0157577603676584,-0.0155634146637178
40,-0.000642714059874429,0.0574955628218146,0.0340083972516509,0.0178920987278586,0.0147973514462472,0.0148586316681293
41,0.0153912592969215,0.050636113592366,0.0317228701650522,0.0113981190299591,0.0118266161320484,0.0119461663399747
42,-0.0360712861762027,0.0237649288771219,-0.0277313409093263,-0.0143658588225887,-0.0124183823167595,-0.0121726180608435
43,-0.02432109745833,0.0232859303149102,-0.0279562871633621,-0.00905828711449971,-0.0083090786232395,-0.00820890781177768
44,-0.00266408032364571,-0.0642307085041327,-0.00345859589172354,-0.0040226812182287,-0.00375642486482669,-0.00371590896533108
45,0.00750887804310327,-0.0190126823515024,-0.0104348768926752,0.0127561060912964,0.00225540580660978,0.00225763163060543
46,-0.0127578615417963,-0.0141164681605911,-0.0118102255023993,-0.00904474154854528,-0.00845700941496663,-0.00836175589065728
