pos,k_3,m_3,mp_3,al_3,alpha_3,l_3,j_3,r_3,c1_3,K_3,f_3,g_3,Q_3
1,0.0710351910058144,0.750014856115795,0.750197982027096,2.50000392089952,0.124217846490425,0.0650211816626247,0.727746438899557,0.0538321742839973,0.916608320807877,0.975541199994652,0.411623762596571,0.0445298828027018,0.505777760731004
2,0.0719876478944398,0.75168045108055,0.751273311972416,2.50056394979644,0.141448209092989,0.0720942387448763,1.05244827761037,0.0609199755732514,1.38053132784964,1.41470960522428,0.492639953494491,0.0573343426087586,0.543945836131753
3,0.0731196133061274,0.759843442446505,0.761054362942853,2.50442456544902,0.150298369666721,0.0771315197523105,1.30373358694072,0.0675674200157934,2.04486865582011,2.0129700129573,0.615658425608366,0.0669414715793528,0.623287521068381
4,0.0742879262196254,0.789141365318113,0.789112687502961,2.51906579546204,0.155996411437785,0.0827837734142736,1.58110910824272,0.0746779103144317,2.81159525556175,2.62799872684204,0.780504877298429,0.0754626272183642,0.720778925444702
5,0.0753777491984649,0.842641193562607,0.85664651511376,2.54821010271923,0.158870639825781,0.089153302371466,1.84151618354969,0.0822008198572151,3.45482725314125,3.46412192883776,0.910792539315113,0.0811814158057597,0.845937889431652
6,0.076634649604545,0.925774620001356,0.956750912845843,2.58968258972857,0.159861469644744,0.0953754439861068,1.97039395509973,0.0917855322762343,3.86067288520899,3.88553357797033,0.98739430309413,0.0837099017935153,0.962756076296409
7,0.0784869123744514,1.101576452069,1.08880597291977,2.75564403380341,0.159996708516769,0.100897543879154,1.99844750368257,0.104830716176933,3.99438851023251,3.9999017158272,0.998933530520433,0.0866848929520372,1.06327075368727
