p_median,p_lb95,p_ub95,p_lb68,p_ub68,null_median,null_lb95,null_ub95,null_lb68,null_ub68
2.89173314386857,2.86595990483314,2.9178201905106,2.87945891583716,2.90527858016462,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.84577828263771,2.81956753105299,2.87203406791098,2.83329375683015,2.85968895881413,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.82067163010469,2.79427746365681,2.84693782741168,2.8080416365465,2.83455215307424,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.78545278357068,2.75948069288598,2.81148174831013,2.77272262520851,2.79935397585535,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.77819084384086,2.75224169776235,2.80400974069484,2.76560537996373,2.79182282681362,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.71969736322639,2.69394782034567,2.745554195558,2.70719719607497,2.73330007165298,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.68322633244723,2.65784688858314,2.70909396723538,2.67082363490306,2.69644093907144,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.60389022409594,2.57873691929692,2.62953348824517,2.59119299119521,2.61738395981561,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.60833622202205,2.58355769819528,2.63355293305673,2.59613009450978,2.62173567017875,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.51255078233941,2.48747022608143,2.5380126248168,2.49960038873691,2.52565926900229,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.50400753986964,2.47809531462024,2.5295006803314,2.49090324629073,2.51667849610239,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.48486433351356,2.45926227108262,2.51026344080524,2.47187035460822,2.49756950801742,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.44393114847461,2.41849319750653,2.46919002923572,2.43088820959365,2.45661869842428,2.80555727417206,2.7806940778202,2.82941602460783,2.79289885532099,2.8178805107127
2.22753761459501,2.2018190728128,2.25087286323906,2.213913292703,2.23949583720815,3.37470708409198,3.34998979105346,3.39952503874438,3.36194479335749,3.38737718237275
2.11197597755271,2.0856125629143,2.13462336832528,2.09735345271531,2.1243109557709,3.27759341448938,3.25305858631002,3.30231498297456,3.26463480805326,3.29017202829043
