p_median,p_lb95,p_ub95,p_lb68,p_ub68,null_median,null_lb95,null_ub95,null_lb68,null_ub68
1.6767089376679,1.49796327683758,1.84455233976041,1.58611968292329,1.76818737585479,3.04254219085592,2.96675509361449,3.11901987766647,3.00539249985355,3.0813581833467
1.66322319455036,1.48704840258533,1.83768232514594,1.57291956029809,1.75559887254422,3.08769508993776,3.01187477865569,3.16386828269694,3.04971514315873,3.12616556432186
1.63248200113596,1.452063884849,1.80774282461849,1.53942097140221,1.72728750855063,3.10967883731512,3.03310143393081,3.18569237824058,3.07130115732761,3.14908824469334
1.64903410579062,1.45865922724251,1.83110845299565,1.55329195021545,1.74546531427611,3.05211993116177,2.97613449315354,3.12900738648925,3.01463099697955,3.09065216006754
1.69404904020316,1.48897808188732,1.88070669385634,1.59594654409913,1.79458009579161,3.02468716698006,2.94923133152639,3.10041056706154,2.98758637041184,3.06428134243373
1.78889845036495,1.56900161152969,1.98563315217502,1.68623860258501,1.8945105512448,2.9261033630814,2.85100721764651,3.00042909378313,2.88855989229644,2.96495516361482
1.76662038498115,1.57508951291239,1.94521235272536,1.67363036730636,1.85748288751482,2.81130982212923,2.73527888590786,2.88696616859122,2.77346395679124,2.85024759792389
1.82217212740517,1.63076359793,1.99150468176736,1.72738106100855,1.91330093711434,2.68878143061805,2.60343543049851,2.77827200549894,2.64800753294255,2.73396223611704
1.9733397279742,1.78543886767715,2.13873678512835,1.88337265290942,2.06420608155517,2.87407982442206,2.79838925003016,2.94922470464705,2.83754332052774,2.91304283315914
2.25116369463181,2.08234749777735,2.3983942771715,2.16747933053581,2.33787942391408,3.06736266903022,2.99139977484212,3.14410481219882,3.02993196086601,3.10586756100728
2.52555492877707,2.35347700322793,2.6978943386775,2.43702230924986,2.61690919673526,3.19216338528071,3.10954998337956,3.27118059977539,3.15248468411195,3.23197184237114
2.69384549194256,2.50980730961308,2.89495264023645,2.6006661261617,2.79165523379181,3.19536575538242,3.1125457724269,3.27459513706143,3.15585410004475,3.23524819442541
2.84942850159867,2.65693771549917,3.05268212694279,2.75419468445466,2.9511904022672,2.89483326992356,2.81919907564663,2.96906956263561,2.8571482438583,2.93350684804385
2.9709430246181,2.79216647767442,3.13452881667354,2.88101048323424,3.05375798453838,2.16144339452518,1.99760418854963,2.45393129682004,2.06408715604598,2.30715537722953
3.12420571458706,2.95813732956767,3.28336564175519,3.04009391286482,3.20341960457474,NaN,NaN,NaN,NaN,NaN
3.39536107178066,3.2214481113189,3.570470742868,3.31199079095968,3.47313717666175,NaN,NaN,NaN,NaN,NaN
3.76411408403798,3.59824330398624,3.95051273179148,3.68205997850876,3.86310634554849,NaN,NaN,NaN,NaN,NaN
4.23747430092812,4.07787046907284,4.41218754915286,4.15770392333337,4.32559593000108,2.91890640891388,2.84494628284927,2.99351004459453,2.88111720524861,2.95750935303601
3.53181739114249,3.38121086369564,3.69891676258781,3.46122013498954,3.6031878167239,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
3.25652813730888,3.1018898987294,3.36961018396875,3.18252587170358,3.31966160139872,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
3.15344499975963,3.00269274410639,3.27971952085786,3.07699481233136,3.2228184917984,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
3.05158474472793,2.91710796006982,3.17863355780158,2.98415177846072,3.119238963662,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.94922977720478,2.83240531368394,3.0693411193297,2.89270324941638,3.01122766007556,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.96760213864578,2.8585322335734,3.08908557169139,2.91264504237609,3.02976403394579,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.90526789722846,2.81227206724237,3.01208616638263,2.85977125009657,2.95821170860489,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.91351027113561,2.81834518328926,3.02181816455865,2.86769866019907,2.96632814885045,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.86892307982661,2.78359922650605,2.95889956334893,2.82767683867549,2.91410470214841,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.86647122070496,2.77971986840355,2.95761966701569,2.82461702842043,2.91104826867899,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.8437906959756,2.76245198266068,2.92694615605926,2.80501588803451,2.88539835122164,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.76812400001256,2.69221009655991,2.84065672635541,2.72912680621327,2.80353576820473,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.79032904399431,2.70809980058831,2.86987271711175,2.75131285566556,2.82786227914284,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.7820679335292,2.7046300630777,2.86337273756986,2.74527705976234,2.8186764595215,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
2.74512736171969,2.67151644886098,2.82075796040436,2.70756231566366,2.7810512124054,2.91933145255445,2.84403300025822,2.99397383841122,2.88200936131703,2.95814068980137
