tc,day,year,light,mld,dmld,N0,ps2,lsdps2,t
1,2,1998,26.2102788905293,166.105081960427,2.9737125267301,16.5627625,9.82085,0.648327894400559,4.00989
8,9,1998,31.7803851456332,186.921069647538,1.11145198005767,16.5627625,6.649104,0.83143096889984,11.985505
16,17,1998,31.6457014290935,195.812685487999,1.11145197539701,16.5627625,7.537881,0.794713476017486,20.00565
24,25,1998,40.877747669813,204.704301291175,1.11145197500782,16.5627625,7.920302,0.778009408043355,27.9809
32,33,1998,54.8856314472607,213.595917091238,0.477281987286258,16.5627625,8.432021,0.741459300224025,36.001045
40,41,1998,40.9183859758917,217.414172989528,-1.42522794595198,16.5627625,7.508767,0.956170343562849,44.020825
48,49,1998,57.5569519861748,206.012349421912,-1.42522796067928,16.5627625,9.98335,0.744093347892517,51.99644
56,57,1998,64.1152604873226,194.610525736478,-1.42522794834859,16.5627625,11.3334,0.620942978410815,60.016585
64,65,1998,67.3097912579988,183.208702149689,1.91903833841712,16.5627625,13.58409,0.457430214427856,67.991835
72,73,1998,45.0954712211942,198.561008857026,3.03379372023867,16.5627625,12.38848,0.570432384229672,76.01198
80,81,1998,50.4457158492331,222.831358618935,3.03379378470285,16.5627625,14.60719,0.505314591711103,83.987595
88,89,1998,92.7956788075003,247.101708896558,3.03379374846815,16.5627625,15.21442,0.379861923902378,92.007375
96,97,1998,87.1924147622945,271.372058884303,-6.73110505780407,16.5627625,17.50931,0.620905296193303,99.98299
104,105,1998,117.49218386727,217.523218421871,-8.12609067266192,16.5627625,26.68926,0.398736588253452,108.00277
112,113,1998,94.9293540932605,152.514493040575,-8.12609062743276,16.5627625,20.71745,0.346557497760187,115.978385
120,121,1998,123.604463412043,87.5057680211133,-7.1550460826357,16.5627625,51.4657,0.479359551634228,123.99853
128,129,1998,131.262559293274,30.2653993600276,-0.35773397812621,16.5627625,29.274245,0.360627804752675,132.01831
136,137,1998,126.425620182404,27.403527535018,-0.357733977964759,16.5627625,29.93731,0.63790249777433,139.993925
144,145,1998,129.742885427898,24.5416557112999,-0.357733980382063,16.5627625,44.6745,0.472098298818389,148.01407
152,153,1998,108.736157564914,21.6797838682434,-0.311898508992877,16.5627625,48.12054,0.390215839881786,155.98932
160,161,1998,126.253934724739,19.1845957963004,-0.174392082119991,16.5627625,35.77756,0.518293725819514,164.009465
168,169,1998,153.635274313454,17.7894591393405,-0.174392085455146,16.5627625,30.57548,0.53707862522254,171.984715
176,177,1998,122.615789089225,16.3943224556993,-0.174392086053268,16.5627625,26.9828,0.500049225881148,180.00486
184,185,1998,147.20942383287,14.9991857672731,-0.114387093669633,16.5627625,22.258665,0.459141027847592,187.980475
192,193,1998,151.070410118473,14.0840890179161,-0.0543821022235331,16.5627625,24.56714,0.306403928301739,196.000255
200,201,1998,112.222193931725,13.6490322001278,-0.0543821046904913,16.5627625,23.5573,0.256635820618406,204.0204
208,209,1998,112.336035335816,13.2139753626039,-0.0543821037974603,16.5627625,18.70882,0.348219933104772,211.996015
216,217,1998,126.289675328279,12.7789185322242,0.172065742015835,16.5627625,18.71688,0.366841035503386,220.015795
224,225,1998,117.699215108437,14.1554444683509,0.307934447602475,16.5627625,15.63224,0.336329810284211,227.99141
232,233,1998,99.4966723425868,16.6189200491707,0.307934445242094,16.5627625,12.23937,0.356884564638947,236.01119
240,241,1998,70.8261250605791,19.0823956111074,0.307934449873871,16.5627625,15.26369,0.406519871465703,243.986805
248,249,1998,89.9221852161081,21.5458712100984,0.521285030825259,16.5627625,18.33923,0.36291640639833,252.00695
256,257,1998,48.4471944853674,25.7161514567005,0.592401883049556,16.5627625,13.98501,0.339854482310354,259.9822
264,265,1998,83.3442026522753,30.4553665210969,0.592401887346063,16.5627625,18.91357,0.536833187755869,268.002345
272,273,1998,65.4793537002015,35.1945816198654,0.592401884529329,16.5627625,15.11913,0.520425463840303,275.97796
280,281,1998,56.8019585693837,39.9337966961,1.62388716725425,16.5627625,15.628795,0.395308694217763,283.99774
288,289,1998,55.0970571211152,52.9248940341341,1.62388717060702,16.5627625,14.152125,0.491070004731713,292.017885
296,297,1998,49.7481762529621,65.9159913989902,1.62388718155112,16.5627625,13.091195,0.51550452463076,299.993135
304,305,1998,37.485430181464,78.9070888513992,1.4670983908201,16.5627625,11.96728,0.482423311324308,308.01328
312,313,1998,40.0965637841307,90.64387597796,0.369576951492993,16.5627625,9.01355,0.781934572973418,315.988895
320,321,1998,31.2853003919815,93.6004915899039,0.369576978799371,16.5627625,7.412015,1.0718414909407,324.008675
328,329,1998,33.360384085686,96.5571074202989,0.369576968385111,16.5627625,8.5761,0.627683433047733,331.98429
336,337,1998,36.1971100785337,99.5137231673798,1.25253410927953,16.5627625,7.178132,0.97875047877049,340.004435
344,345,1998,27.8100248812009,109.533996041616,2.72412934612071,16.5627625,7.431762,0.741740292596619,347.979685
