n_median,p_median,z_median,rp_median,rp_lb68,rp_ub68,rp_lb95,rp_ub95,rz_median,psynth_median,predation_median,mldloss_median,noZoo_median,noMLD_median,zPred_median,zMLD_median,p_maxL_median,p_noZ_median,p_maxMLD_median,light,mld,dmld,pgr,dps1_median,dps1_lb68,dps1_ub68,dps1_lb95,dps1_ub95,tavg
4.66437562984882,3.26200312143799,4.83456306742079,-0.000927202000001925,-0.00913417195886297,0.00578529074511565,-0.00913417195886297,0.00578529074511565,44.5596949635753,0.557722828640004,0.557336744100204,0,0.557722828640004,-0.000495626998195919,0.123650320993415,0,3.15930922016909,3.26200312143799,3.39275214019174,132.002077030463,21.2935710316963,-0.281854766860395,-0.016841926656446,3.41556101291149,2.97328010664291,3.79943174397016,2.97328010664291,3.79943174397016,1
4.63555724805659,3.17529764011189,4.95902609824712,-0.0102610339631207,-0.0143775724288217,-0.00515769405958154,-0.0143775724288217,-0.00515769405958154,47.3990296701974,0.569305152657445,0.579557600656675,0,0.569305152657445,-0.0101670798321436,0.108940433512076,0,3.1269669257945,3.17529764011189,3.36401359043416,121.092839511961,19.0387328968131,-0.161888490642319,-0.0184260202216755,3.28082559965992,3.0203990845725,3.51503462173928,3.0203990845725,3.51503462173928,2
4.6142304482834,3.08176530314235,5.03599598244003,-0.0124119267168233,-0.0393358650590089,0.0009390728226211,-0.0393358650590089,0.0009390728226211,50.8896296711183,0.559986622292462,0.573408732029039,0,0.559986622292462,-0.012403983216776,0.0938921091975837,0,3.08514312911892,3.08176530314235,3.35088287686435,107.688218555776,17.7436249716746,-0.0419222140628846,-0.0199949679255117,3.13341743788652,2.88923025205316,3.25593537687512,2.88923025205316,3.25593537687512,3
4.59662348787822,3.0447219248767,5.07396125628366,-0.00424906306782747,-0.0242455226797652,0.0129444226888057,-0.0242455226797652,0.0129444226888057,52.4474463997411,0.571593997987398,0.576504814104857,0,0.571593997987398,-0.00424906306782747,0.0842831485641205,0,3.03924125980923,3.0447219248767,3.33207565849352,111.745152799518,17.4082472591715,-0.041922213800458,-0.0196115582583003,2.97345769448243,2.66391769744158,3.12947207610226,2.66391769744158,3.12947207610226,4
4.57865159962406,3.06005560244366,5.10331520944628,0.000782007785172779,-0.00355654078717524,0.0082135701868601,-0.00355654078717524,0.0082135701868601,52.0137906628668,0.596151469435205,0.595714031768763,0,0.596151469435205,0.000782007785172789,0.0852893281063034,0,3.00529178787378,3.06005560244366,3.31474623925514,127.428950269647,17.0728695487679,-0.0419222147545465,-0.00457652150829826,2.81656522841602,2.68098093582581,2.92967041227767,2.68098093582581,2.92967041227767,5
4.57220102002965,2.97205235019311,5.11829079208065,-0.0109417027797361,-0.0208577656511371,-0.00303890589591118,-0.0208577656511371,-0.00303890589591118,55.0734531629507,0.556085248409666,0.56693090004243,0,0.556085248409666,-0.0109417027797361,0.0738181874752912,0,2.97965050692998,2.97205235019311,3.30221934007637,110.053928989833,16.7374918307315,0.148291789668301,-0.00932005576918523,2.77995305634964,2.65668418357838,2.87968243167942,2.65668418357838,2.87968243167942,6
4.57177549145887,2.92420442235569,5.10564581792121,-0.00516077612568129,-0.0134827971063368,0.00216999363346681,-0.0134827971063368,0.00216999363346681,57.3890655508844,0.529855029901957,0.534952059023841,0,0.529855029901957,-0.00516077612568131,0.0659392044740547,0,2.94005842672927,2.92420442235569,3.26343589100719,108.558429305473,17.9238261480779,0.262420193165338,-0.0162385337001333,2.70539261019616,2.55775018409042,2.79643946260575,2.55775018409042,2.79643946260575,7
4.58285871362581,2.82159555575509,5.07730996562286,-0.0143391639237568,-0.0381427399984128,-0.0024868145950377,-0.0381427399984128,-0.0024868145950377,61.9712229932903,0.461382244190318,0.4758953929998,0,0.461382244190318,-0.0143391639237568,0.0546964481741925,0,2.90276423650015,2.82159555575509,3.20780884067357,90.8279706931696,20.0231876934006,0.262420192763617,0.00181050893809501,2.57548434059509,2.35773032198425,2.82291998429933,2.35773032198425,2.82291998429933,8
4.59545216069027,2.81621235371092,5.03600359921716,-9.63764728982379E-06,-0.010048733894755,0.0147589040188342,-0.010048733894755,0.0147589040188342,63.0684733044227,0.442306713494921,0.442481510007866,0,0.442306713494921,-9.63764728981742E-06,0.0516681091815496,0,2.87286932770492,2.81621235371092,3.15030422605861,95.5932364506693,22.1225492355095,0.262420191391475,0.00194486547627324,2.58996841209985,2.39319143080699,2.70650208299063,2.39319143080699,2.70650208299063,9
4.61103608884163,2.78741032374223,4.98944909244589,-0.00658478827272707,-0.0304668014309225,0.0139700926532863,-0.0304668014309225,0.0139700926532863,64.4706357412271,0.405935201294519,0.412654840424922,0,0.405935201294519,-0.00658478827272707,0.0493603576881743,0,2.84630592623504,2.78741032374223,3.09057516162054,94.5349301289605,24.2219107666413,0.529512262091044,0.0103635724891348,2.60552733591004,2.43973795871623,2.81215260221074,2.43973795871623,2.81215260221074,10
4.63150300191804,2.69437420927294,4.92925174211444,-0.0129951116398995,-0.029798389618222,0.00977822792434963,-0.029798389618222,0.00977822792434963,68.7559765540592,0.341946105276147,0.354941383804436,0,0.341946105276147,-0.0129951116398995,0.0406674074203226,0,2.80056933678115,2.69437420927294,3.01732630468098,80.9278458826435,28.4580088633697,0.618542950870263,0.00530915354524325,2.68843591582311,2.48174706790777,2.90527810803329,2.48174706790777,2.90527810803329,11
