tc,days,years,latmin,lonmin,latmax,lonmax,PhytC,stDevPhytC
170,249,2001,40,-45,45,-35,10.922438937703,5.75554648809245
171,257,2001,40,-45,45,-35,9.91183827029828,5.3018297468484
172,265,2001,40,-45,45,-35,11.1464063457079,7.50036716744867
173,273,2001,40,-45,45,-35,11.144825293339,6.19341965280141
174,281,2001,40,-45,45,-35,10.2940406429561,5.65573831295618
175,289,2001,40,-45,45,-35,9.12985379694031,6.63977176447029
176,297,2001,40,-45,45,-35,8.25667605242593,5.97030433143574
177,305,2001,40,-45,45,-35,11.5650309679782,5.7508187308202
178,313,2001,40,-45,45,-35,7.75330101195727,6.8242229015062
179,321,2001,40,-45,45,-35,7.47967012366074,8.36304049599337
180,329,2001,40,-45,45,-35,12.6049709603605,7.08054139729791
181,337,2001,40,-45,45,-35,11.1225802727168,6.33366285521131
182,345,2001,40,-45,45,-35,6.86172399308418,7.58542493964186
183,353,2001,40,-45,45,-35,9.55996109772323,7.77010085689533
184,361,2001,40,-45,45,-35,6.43591843194742,5.24456924251404
185,1,2002,40,-45,45,-35,10.85937423276,7.38139936311801
186,9,2002,40,-45,45,-35,11.6617528139148,7.79670331497451
187,17,2002,40,-45,45,-35,13.1429778284234,14.5536125592097
188,25,2002,40,-45,45,-35,13.7992815887758,18.4987596417369
189,33,2002,40,-45,45,-35,12.992691984073,18.356260322259
190,41,2002,40,-45,45,-35,11.4396783595015,11.4472530823188
191,49,2002,40,-45,45,-35,11.0772556502082,7.17031102327516
192,57,2002,40,-45,45,-35,8.23313137012225,7.38252768813341
193,65,2002,40,-45,45,-35,10.8322183040551,6.91043708698688
194,73,2002,40,-45,45,-35,14.7593562632593,9.41692304911891
195,81,2002,40,-45,45,-35,8.52150405116385,8.00049754040116
196,89,2002,40,-45,45,-35,11.1971900769406,8.59192739773159
197,97,2002,40,-45,45,-35,24.3021814317878,13.8680925671154
198,105,2002,40,-45,45,-35,17.4269449355702,9.45382212882772
199,113,2002,40,-45,45,-35,24.6869376624707,13.6363611760288
200,121,2002,40,-45,45,-35,36.8958259008039,19.5709852544179
201,129,2002,40,-45,45,-35,23.2828715947851,11.9432103754968
202,137,2002,40,-45,45,-35,16.4530584433592,11.4536690351832
203,145,2002,40,-45,45,-35,14.7126550981278,9.4916291913434
204,153,2002,40,-45,45,-35,14.7661058596108,8.1219997351927
205,161,2002,40,-45,45,-35,14.1103145817626,7.76034293898837
206,169,2002,40,-45,45,-35,12.3134701790247,7.27166337194388
207,177,2002,40,-45,45,-35,14.4211792015285,11.6014709454546
208,185,2002,40,-45,45,-35,14.7700600313478,9.43486892010965
209,193,2002,40,-45,45,-35,12.6716505222809,6.1376171683456
210,201,2002,40,-45,45,-35,13.5585819518411,5.08704870184538
211,209,2002,40,-45,45,-35,10.2943091204101,4.19969042647765
212,217,2002,40,-45,45,-35,9.23238532676883,4.17668597291855
213,225,2002,40,-45,45,-35,12.3136675123333,5.79983982748394
214,233,2002,40,-45,45,-35,9.63189854069202,6.57765062277937
215,241,2002,40,-45,45,-35,8.67294433788294,5.57571607943315
216,249,2002,40,-45,45,-35,10.3598145483274,7.13241733818269
217,257,2002,40,-45,45,-35,7.19992579073336,6.37558188900076
218,265,2002,40,-45,45,-35,11.041283355227,10.0855472112401
219,273,2002,40,-45,45,-35,10.0543678794884,5.59955331581237
220,281,2002,40,-45,45,-35,9.82294693336825,6.22295565797537
221,289,2002,40,-45,45,-35,10.9553693427725,10.7866014204041
222,297,2002,40,-45,45,-35,12.2563579797994,7.50150725659304
223,305,2002,40,-45,45,-35,9.53659720170417,8.76093619367109
224,313,2002,40,-45,45,-35,10.6555444837527,8.22772442645098
225,321,2002,40,-45,45,-35,11.2242407273812,7.07975060234083
226,329,2002,40,-45,45,-35,13.1934540166665,8.67414805309667
