tc,P,P025,P05,P1,P2,P4
405,0.0213625041648577,0.014376098810292,0.0277563172953854,0.0261458392654267,0.0225935831982185,0.0220598620758485
413,0.0157045823589897,0.0154141951085944,0.0225228899453574,0.00860456329063808,0.00313197687423592,0.00242106070106381
421,0.0262523552354682,0.0379556735134344,0.040086810714115,0.0195839579129355,0.0147190743621307,0.0141484338469603
429,0.0367835693195968,0.0696027199848847,0.0544970828948191,0.0229835487817571,0.0183452439503305,0.0178329090666103
437,0.0259224704443882,0.0809061363792919,0.0353254020038909,0.00499664386806835,0.00250171296731409,0.00224254927730731
445,0.0276695456400267,0.177461517430874,0.0210706509097911,0.117669079541096,-0.0227829874398701,-0.023055153184471
453,-0.0661490344008792,-0.0282182641822927,0.0270321460444001,-0.0103761885915584,-0.0093823631393527,-0.00902807674329966
461,-0.0523936701915139,-0.0663933063669227,-0.0467177327792092,-0.0356227525967393,-0.0342114186332526,-0.0340621469323804
469,-0.00733769859402718,-0.00134711966757407,0.00635258173778596,0.00866416647221783,0.0089453506883468,0.00897096529011385
477,-0.0169880172545682,-0.0183237716480038,-0.0139569560238181,-0.0101135998420571,-0.00929202869776252,-0.00919178103788173
485,-0.0183416520415867,-0.0183789055626132,-0.0166285532824182,-0.0148054680193801,-0.014381527036663,-0.0143285772567595
493,-0.00268336832826959,-0.00260546723030907,-0.00235196543622557,-0.00182730802813018,-0.00167308045584242,-0.00165335160704267
501,-0.00788377224013937,-0.00786843673625254,-0.00757624965796057,-0.00717148269474621,-0.00706501774401811,-0.00705152202963523
509,-0.00451567834217663,-0.00251894116019177,-0.00323280283530097,-0.00383811208174534,-0.00396207883827129,-0.00397794303974829
517,-0.00033239190554611,0.000871722965685574,0.000212561129740417,-0.000326751894991703,-0.000434769593952079,-0.000448463037886244
525,-0.00274514962877947,-0.0019491918633224,-0.00233066965179594,-0.00264771573842291,-0.0027110734357891,-0.00271910324442794
533,-0.00511762693694419,-0.00532058869507704,-0.00541773435440451,-0.00547893602704044,-0.00548722468076342,-0.00548821714411547
541,-0.0011249831237245,-0.00240881741317257,-0.00193602807126215,-0.00145523620364053,-0.00134395816913423,-0.00132968543782572
549,-0.00169046210128446,-0.00272562358894217,-0.0024243988273354,-0.0021039091862896,-0.00202784836278177,-0.00201804350572777
557,-0.00140335504868215,-0.00220364090614376,-0.00203156041592433,-0.00183277930816043,-0.00178367280618678,-0.00177729622891781
565,-0.00330603066513158,-0.00439417015349272,-0.00411542091880427,-0.0038304188656747,-0.00376419987834353,-0.00375568271248059
573,-0.00184878979390933,-0.00293000690341524,-0.0026011776551488,-0.00227300544785513,-0.00219799255027172,-0.00218837006472131
581,-0.00254752558740293,-0.00362651866879399,-0.00339707278320446,-0.00316529088406819,-0.00311192150810274,-0.00310506483624066
589,-0.00245627840033118,-0.00340894152336901,-0.00325370646479607,-0.0030940585328283,-0.00305692544290434,-0.00305214520779684
597,-0.000166746805623571,-0.00225015157439481,-0.00150719171755636,-0.000804339735945691,-0.000649330349639712,-0.000629577479372371
605,-0.00366587655882213,-0.00679755531358133,-0.00587129088392295,-0.00498907283105384,-0.0047938652900754,-0.00476897273811903
613,-0.00178438868220993,-0.00372962928817857,-0.00300318990985187,-0.00230484804481545,-0.00214932451753827,-0.00212946479015383
621,-0.000809908314345142,-0.00243207785660781,-0.00186755420527992,-0.00131772462906818,-0.00119429293294599,-0.00117850497931924
629,-0.00484951932909043,-0.00991309356758537,-0.00832629549886941,-0.00672027826563171,-0.00635227988597227,-0.00630501376617942
637,-0.00691191035080971,-0.0120443644634496,-0.0105048924146781,-0.00888478489577382,-0.00850385590190616,-0.00845465490888005
645,-0.00954903284516609,-0.0144687210629987,-0.0132928664574744,-0.0119814834960445,-0.0116619348427745,-0.0116203475445801
653,-0.0062948729521563,-0.00953412366849106,-0.00824839393526788,-0.00685544824040631,-0.00651759071995809,-0.00647359997525439
661,-0.00561936883334632,-0.00847011329456632,-0.00752535015749247,-0.00647374037302184,-0.00621300828790041,-0.00617888469080976
669,-0.011228619033703,-0.0158160277996897,-0.0154072911710195,-0.01472476083714,-0.0145244115428202,-0.0144973909557437
677,0.00632061389106776,-0.00782396506210258,0.00120124793439874,0.0108930024828049,0.0160303228252856,0.0161706405990843
685,0.0287570642456424,0.0232939706986287,0.0291976787972283,0.0339339172760403,0.0349023341239178,0.0350045158212905
693,0.0181489838458245,0.00618555705740125,0.00832180406134945,0.0106408629096055,0.0112101573831623,0.011301709370785
701,0.0164298751020089,0.00622465203227392,0.00960071955624329,0.0137485993466671,0.0147817143529053,0.014934608212891
709,0.0160381052872227,0.00708004920794722,0.010982446704897,0.0155081182083894,0.0165757896576492,0.0167309445438635
717,0.0196299853189785,0.0118969665619393,0.0174983183472816,0.0239114061027412,0.0254132982402409,0.0256238224733482
725,0.0172786763784416,0.0110958744005901,0.0161969877282785,0.0206783088979185,0.021346925087477,0.0214326310071813
732,0.00368392933693129,-0.00567792452911078,-0.0039708971565364,-0.00163987469076376,-0.000700816675005631,-0.000543401504850532
739,0.0121347408559583,0.00255796644778799,0.00801035725090389,0.0157596671133641,0.0180326756248212,0.0183549390828056
747,0.0157389355013596,0.00571923422860375,0.0120976767795385,0.0197633877882039,0.0214499132522173,0.0216682530648123
755,-0.0106357294397135,-0.0206901553761734,-0.0123550505231537,-0.00355089307560395,-0.00220455526292098,-0.0020630740004483
763,-0.000566296753321737,-0.0124564754290654,-0.000801516917582831,0.010723626910397,0.0121488448239231,0.0122764354710872
771,-0.00144033464697216,-0.0121062729842217,-0.000841761756881122,0.00640689346362129,0.0056400110622167,0.00544647100429522
779,0.0169118056639481,0.00293002756297435,0.0193210534320702,0.0299739614680181,0.0295086547227642,0.0293632442187079
787,0.0523624177674373,0.0413896848884652,0.0557122564183426,0.0530459166222268,0.0470762169702373,0.0461848599256083
795,0.0452974534823966,0.0431709149213685,0.0511547666072264,0.0274368741834012,0.0168160884381018,0.0154992520740064
803,0.03351662562359,0.0425498624834701,0.0420562615644259,0.00460925700280509,-0.00277830181007242,-0.00341487901642049
811,0.0232490799577913,0.0430850884310657,0.0340956286038301,-0.000818571572937969,-0.0010291963531349,-0.000822668148540094
819,0.00538869853689821,0.0365050888231961,0.0172474150200177,-0.00704234049750435,-0.00483461361915323,-0.00451486437388319
827,-0.0339507667631482,0.00327512239953809,-0.0230425220337296,-0.0290071744459184,-0.0257158725616151,-0.0253182518150087
835,-0.030809278314796,-0.0015308468234655,-0.0262958255697368,-0.0221021237769961,-0.02010411437455,-0.0198916438675354
843,-0.0137988355659144,0.0131303917965126,-0.00547755420942585,0.00431039412206257,0.00423511819775148,0.00410447803752219
851,0.00670543590044239,0.0439417043533199,0.0229355232577157,0.022914550547266,0.0185887190749874,0.0179437807649132
859,0.0122246177084095,0.0708998962409244,0.0295885567102544,0.0141042085277363,0.00971573909790605,0.0091952729875867
867,0.0249374156758611,0.0746814926273956,0.0318014465896425,0.0233139588442477,0.0213317713076047,0.0210815118757245
875,-0.0431503626639891,-0.0833469384612879,-0.0297082252657583,0.034640144535122,0.00830233861730709,0.0083458528307796
883,-0.0156123645869855,-0.00792346567418758,-0.0170532402036058,-0.00750776847897904,-0.00568941004283552,-0.00541892551240254
891,-0.0127158487148381,-0.0175169143693799,-0.00925654772367091,-0.00435375256400332,-0.00338110294971538,-0.00322816598029914
899,-0.0109637289942786,-0.0119920036125842,-0.00900288641427208,-0.00642545564596092,-0.00581020212548705,-0.00571154892097542
907,-0.0104854895579751,-0.0118165789850773,-0.0100889807945582,-0.00822823484468616,-0.00774295643269844,-0.00766780352610487
915,-0.00785222456036502,-0.0083922434142696,-0.00775005221671045,-0.00688854472879104,-0.00663475780184316,-0.00659382990399802
923,-0.00423169672821688,-0.0043837355780637,-0.00422473606920056,-0.00385655928518034,-0.00372473340006922,-0.00370208649469425
931,-0.00105805503390832,-0.00175748481733731,-0.0016533438704607,-0.00134731707687027,-0.0012355131457372,-0.00121687995260162
939,-0.00416169064674704,-0.00507950695222854,-0.00478611946660127,-0.00436673507515922,-0.00424177584131998,-0.00422273134426467
947,-0.0022883557603273,-0.00281724076239295,-0.00273154584035754,-0.00252918642066575,-0.0024581607898714,-0.0024468333306868
955,-0.00154390246468607,-0.00202488962824296,-0.00203526512040536,-0.00194089879028508,-0.00189838211763704,-0.00189124794206646
963,-0.00546733478230175,-0.00821331429832215,-0.00738587676486467,-0.0065329785910929,-0.00632928974625346,-0.00630209727172552
971,-0.00167288605099519,-0.00442248076964157,-0.00335555768940817,-0.00227647052914223,-0.00202431444770856,-0.00199121480311302
979,-0.00342135207695717,-0.00595035014340827,-0.00516983170067291,-0.00436612028058912,-0.004176424640646,-0.00415148273356387
