tc,P,P025,P05,P1,P2,P4
1,-0.00327583179775086,-0.00116165563016636,-0.000490552256795405,0.000136470489615623,0.000490212469237416,0.000683212925639307
8,0.00474156981446886,0.00150584634507438,0.00203979378947115,0.00251279686329736,0.0027776346706104,0.00292208916636171
16,-0.000338882761509667,-0.00130494422707112,-0.000641335701079411,-0.00016301184582758,0.000104488335289282,0.00025167487373083
24,-0.0169133850116897,-0.0212378293937645,-0.0202268740857408,-0.0195973033152074,-0.0192809328599785,-0.0191154744103866
32,0.00998148738122151,0.00409725854465583,0.00631103699010232,0.00780206072435686,0.00863975825855349,0.00910497477085928
40,0.00783040221932438,0.000795802254997364,0.00164401275049246,0.00226815103294282,0.00264079197356136,0.00285476204360838
48,0.0211223325970755,0.0132607498663939,0.014111871949461,0.0148537848712056,0.0153570449034715,0.0156619272462408
56,0.0275977005140148,0.0186282355628219,0.0186678168800302,0.0189708391651903,0.0192949320755681,0.0195211887108022
64,0.0316876004119844,0.0231070413930008,0.0223795590724727,0.0222898760731126,0.0224710133695186,0.0226447662865972
72,0.0442528500919197,0.039812076604592,0.0391926281065217,0.039467182230191,0.0400741899022981,0.040569600030085
80,0.0266775229082561,0.0347330824508401,0.0325570174146701,0.0318873446778742,0.0320205584901625,0.0322971208377824
88,-0.01925250781582,0.00365310335006755,0.000863036791257204,-0.000691415578001209,-0.00153261334003803,-0.00199770341377934
96,-0.0129796747163429,0.00408632866666894,0.00261482927550771,0.00139985354807658,0.000533014625309377,-1.86935431300594E-05
104,0.00112288131090893,0.00816313584366015,0.112010103026516,0.0146886249193596,0.00510700564601602,-0.000236048487434665
112,0.0494804743087302,0.13664070518019,0.00695681571008498,0.00394835917818761,0.00184421268148512,0.000565986436836427
120,-0.0109852732836739,-0.000716868585871979,-0.00309022613895894,-0.00591379355769215,-0.0077176645788779,-0.0087135367901582
128,-0.0114061424856725,-0.0173227023862439,-0.0150269590109901,-0.0167431964649123,-0.0178496074282427,-0.0184674258698228
136,-0.00788255585867894,-0.027262318919027,-0.0188048552638594,-0.0198652267596303,-0.0206304492806909,-0.0210744944308752
144,-0.0129297051638546,-0.0276286129784924,-0.0113088430854908,-0.0109873490413527,-0.0110615691138266,-0.011145721163628
152,-0.00631152996953835,-0.027475866306784,-0.00920179239218065,-0.00931624972087265,-0.00955372147609406,-0.00970746655302305
160,-0.00640846191080908,-0.0238501517479033,-0.0122978906205549,-0.0122790063397366,-0.0124307010611168,-0.0125423464623296
