iteration,log_likelihood,al,alpha,c1,f,g,j,k,K,l,m,mp,Q,r
20000,-142.232242263951,0.01,0.0640097355537974,0.384759754953205,0.480242176099615,0.0175989913217076,7.99688530756092,0.02,0.582856574123408,0.293761288797509,0.12204580732991,8.81257329905826,0.526671212312822,0.01759027517112
20100,-143.257189450882,0.01,0.083274491198973,0.321746716036174,0.471008777100354,0.0177044311747488,6.20849773430832,0.02,0.424679881939801,0.2813821731771,7.80365307318235,9.37026661412252,0.568015244323713,0.0192484408444582
20200,-143.050206131311,0.01,0.0852297378483592,0.332739367392316,0.592914133330507,0.0182725982370117,9.32329322352656,0.02,0.548230678098303,0.273074466986624,0.00637721627893523,7.56841598912526,0.527077481943531,0.0224495661779172
20300,-145.927649358769,0.01,0.0716907477947,0.333205186704313,0.745904612375204,0.022176595634344,13.1219491541681,0.02,0.532506362907146,0.243495037236829,3.20267435010657,10.6797385138694,0.582785100458986,0.0200467736486692
20400,-143.265247572553,0.01,0.0668064010778231,0.265908783079902,0.949893507146424,0.0230484679390133,11.9507424346239,0.02,0.525239328857591,0.292460020494567,3.21011758607954,9.00187021915466,0.587426164482828,0.0207426912319651
20500,-143.015897515436,0.01,0.0808767706466845,0.26417428877235,0.827590768821729,0.021873689655263,10.3452483374777,0.02,0.513475082409547,0.295290046544181,0.113256005512123,8.04352478076667,0.526083188746053,0.0193082370681887
20600,-145.765604111089,0.01,0.0798321436395419,0.315221544721703,0.819249280313978,0.0198228232627027,13.8183677780613,0.02,0.547543900143235,0.297614079920134,0.342158756935925,6.92413899051558,0.556316474311348,0.0178906597106028
20700,-143.202333688102,0.01,0.0802365284599281,0.424056214652868,0.515276800767214,0.0207187719180142,8.66222472136017,0.02,0.49031078525651,0.284275506887154,0.995315835172103,11.1071907840515,0.568826206584471,0.020705712908434
20800,-143.381909257324,0.01,0.151053584967101,0.451816364984047,0.462937040720415,0.0212614383932209,19.6587606001807,0.02,0.487682129644004,0.286965503358982,0.0218079329882112,7.32714468227728,0.722748041676907,0.0339838430373304
20900,-144.822006429848,0.01,0.154944211096362,0.386094051113245,0.544443949462925,0.0200670060729387,15.1951788231035,0.02,0.542265460753913,0.286268950128581,1.79758910588678,11.787914156791,1.28875025417801,0.0533441319263802
