pos,k_2,m_2,mp_2,al_2,alpha_2,l_2,j_2,r_2,c1_2,K_2,f_2,g_2,Q_2
1,0.0679098218948298,0.756457791823256,0.750498373881971,2.5002632659447,0.0886488618820551,0.0318481247931548,0.341057500783585,0.0414435314002236,0.26333014139765,0.261663497807027,0.135677114404173,0.0175016297529764,0.684118889118499
2,0.0713714245178547,0.818905349236409,0.75788971563535,2.50544431831683,0.11320432584697,0.0408322124670408,0.52541315834912,0.05785527082401,0.360838368756099,0.410974748834303,0.186568695480244,0.0175317404447307,0.858971017851676
3,0.0738109344541829,1.00864402230924,0.810483045157952,2.52638677356565,0.13352028847927,0.0508240223732334,0.93447217562119,0.0689096350944074,0.90872710430349,0.719742689906722,0.320595560285738,0.0177428606910449,1.12260899748445
4,0.0758541290621424,1.49745408933816,0.988455083794552,2.59772489187374,0.148090061024078,0.0618854704243803,1.52032525901405,0.0847537926099263,1.68892696426882,1.38163098291782,0.657962616114373,0.0186394375142281,1.55413145217001
5,0.0778433081473069,2.25195625754283,1.40117323372297,2.7352093069825,0.156258538997761,0.0738311754979089,1.81851502531831,0.140764404027429,3.17404590482003,2.52038084927894,0.874302620726207,0.0911604483916724,2.30255640764788
6,0.0798418811141193,3.27459629839133,2.17056074661071,3.04040395829925,0.15940019008224,0.0865623452374348,1.976386725434,0.169552733942477,3.81456629955782,3.55220331664944,0.971122212318055,0.122779642532939,3.59477066414112
7,0.0814753933558704,4.74959881803642,3.23952979050467,3.42652217602155,0.159975643956916,0.103204945242748,1.99861853681041,0.186448920277447,3.99917678136302,3.96388652435848,0.9992349751044,0.138058376875583,5.05038971879025
