index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC
96,755,24,2000,40,-45,45,-35,1,1.39024808769181
97,763,32,2000,40,-45,45,-35,1,1.71884114796085
98,771,40,2000,40,-45,45,-35,1,2.34305688761507
99,779,48,2000,40,-45,45,-35,1,2.04577896136088
100,787,56,2000,40,-45,45,-35,1,2.43466197277691
101,795,64,2000,40,-45,45,-35,1,1.93329713993763
102,803,72,2000,40,-45,45,-35,1,2.43043486117805
103,811,80,2000,40,-45,45,-35,1,2.45567616645555
104,819,88,2000,40,-45,45,-35,1,2.73170978703019
105,827,96,2000,40,-45,45,-35,1,2.25007746007368
106,835,104,2000,40,-45,45,-35,1,2.30694096430678
107,843,112,2000,40,-45,45,-35,1,2.55460115714356
108,851,120,2000,40,-45,45,-35,1,2.64589303120562
109,859,128,2000,40,-45,45,-35,1,2.91498346553454
110,867,136,2000,40,-45,45,-35,1,3.0545465648874
111,875,144,2000,40,-45,45,-35,1,3.36326118499776
112,883,152,2000,40,-45,45,-35,1,3.32376311494677
113,891,160,2000,40,-45,45,-35,1,3.09079088968181
114,899,168,2000,40,-45,45,-35,1,3.04841245570428
115,907,176,2000,40,-45,45,-35,1,2.9224143282581
116,915,184,2000,40,-45,45,-35,1,2.83611951551274
117,923,192,2000,40,-45,45,-35,1,2.63698182562258
118,931,200,2000,40,-45,45,-35,1,2.54467086723439
119,939,208,2000,40,-45,45,-35,1,2.61713799091232
120,947,216,2000,40,-45,45,-35,1,2.40539298899886
121,955,224,2000,40,-45,45,-35,1,2.41522468774913
122,963,232,2000,40,-45,45,-35,1,2.31212644797515
123,971,240,2000,40,-45,45,-35,1,2.24696918765681
124,979,248,2000,40,-45,45,-35,1,2.33272600256913
125,987,256,2000,40,-45,45,-35,1,2.30247926446668
126,995,264,2000,40,-45,45,-35,1,2.06996198369107
127,1003,272,2000,40,-45,45,-35,1,2.30908019841319
128,1011,280,2000,40,-45,45,-35,1,2.14198405346214
129,1019,288,2000,40,-45,45,-35,1,2.1120589875433
130,1027,296,2000,40,-45,45,-35,1,2.05957746280456
131,1035,304,2000,40,-45,45,-35,1,1.96173450422642
132,1043,312,2000,40,-45,45,-35,1,1.9206535163174
133,1051,320,2000,40,-45,45,-35,1,1.56797740611494
134,1059,328,2000,40,-45,45,-35,1,1.87439354416055
135,1067,336,2000,40,-45,45,-35,1,2.51096362047111
136,1075,344,2000,40,-45,45,-35,1,2.59611396799789
137,1083,352,2000,40,-45,45,-35,1,2.64231537882624
138,1091,360,2000,40,-45,45,-35,1,2.49088103956703
139,1097,1,2001,40,-45,45,-35,1,2.35359521876586
140,1104,8,2001,40,-45,45,-35,1,2.35359521876586
141,1112,16,2001,40,-45,45,-35,1,2.5124196721256
142,1120,24,2001,40,-45,45,-35,1,2.59887956816012
143,1128,32,2001,40,-45,45,-35,1,2.4748841648413
144,1136,40,2001,40,-45,45,-35,1,1.861315512799
145,1144,48,2001,40,-45,45,-35,1,2.22648770870707
146,1152,56,2001,40,-45,45,-35,1,2.44024962566562
147,1160,64,2001,40,-45,45,-35,1,2.36419526543991
148,1168,72,2001,40,-45,45,-35,1,2.39704155658297
149,1176,80,2001,40,-45,45,-35,1,2.80069226295823
150,1184,88,2001,40,-45,45,-35,1,2.2677231178403
151,1192,96,2001,40,-45,45,-35,1,2.49822875125891
152,1200,104,2001,40,-45,45,-35,1,2.68891100094662
153,1208,112,2001,40,-45,45,-35,1,3.03333577536206
154,1216,120,2001,40,-45,45,-35,1,3.25221427732284
155,1224,128,2001,40,-45,45,-35,1,3.15678177494128
156,1232,136,2001,40,-45,45,-35,1,3.08781557451322
157,1240,144,2001,40,-45,45,-35,1,3.37955083345957
158,1248,152,2001,40,-45,45,-35,1,3.07659178470645
159,1256,160,2001,40,-45,45,-35,1,3.15720935245537
160,1264,168,2001,40,-45,45,-35,1,2.88466858192078
161,1272,176,2001,40,-45,45,-35,1,3.04787451839987
162,1280,184,2001,40,-45,45,-35,1,2.89712230230966
163,1288,192,2001,40,-45,45,-35,1,2.80241876787887
164,1296,200,2001,40,-45,45,-35,1,2.54180437403554
165,1304,208,2001,40,-45,45,-35,1,2.54298616976611
166,1312,216,2001,40,-45,45,-35,1,2.34371394171916
167,1320,224,2001,40,-45,45,-35,1,2.36539767287407
168,1328,232,2001,40,-45,45,-35,1,2.31912327518032
169,1336,240,2001,40,-45,45,-35,1,1.99908122344075
170,1344,248,2001,40,-45,45,-35,1,2.20366638403043
171,1352,256,2001,40,-45,45,-35,1,2.28754355281711
172,1360,264,2001,40,-45,45,-35,1,2.19942023113358
173,1368,272,2001,40,-45,45,-35,1,2.19339075233373
174,1376,280,2001,40,-45,45,-35,1,2.29808968517781
175,1384,288,2001,40,-45,45,-35,1,2.13503210428183
176,1392,296,2001,40,-45,45,-35,1,1.94304064059968
177,1400,304,2001,40,-45,45,-35,1,1.93746953809235
178,1408,312,2001,40,-45,45,-35,1,2.3253781903518
179,1416,320,2001,40,-45,45,-35,1,1.745407173519
180,1424,328,2001,40,-45,45,-35,1,1.86669812313288
181,1432,336,2001,40,-45,45,-35,1,2.35981954047351
182,1440,344,2001,40,-45,45,-35,1,2.07509836321911
183,1448,352,2001,40,-45,45,-35,1,1.4164418586839
184,1456,360,2001,40,-45,45,-35,1,1.95464285151654
185,1462,1,2002,40,-45,45,-35,1,2.11355562793711
186,1469,8,2002,40,-45,45,-35,1,2.11355562793711
187,1477,16,2002,40,-45,45,-35,1,2.21953583661824
188,1485,24,2002,40,-45,45,-35,1,2.22066689778108
189,1493,32,2002,40,-45,45,-35,1,2.35827732499735
190,1501,40,2002,40,-45,45,-35,1,2.19058583739482
191,1509,48,2002,40,-45,45,-35,1,2.01815204043386
192,1517,56,2002,40,-45,45,-35,1,2.26699633331105
193,1525,64,2002,40,-45,45,-35,1,1.86193668692746
194,1533,72,2002,40,-45,45,-35,1,2.20491762836169
195,1541,80,2002,40,-45,45,-35,1,2.50648106049548
196,1549,88,2002,40,-45,45,-35,1,1.70390321139782
197,1557,96,2002,40,-45,45,-35,1,2.2017656271957
198,1565,104,2002,40,-45,45,-35,1,3.00854054071178
199,1573,112,2002,40,-45,45,-35,1,2.74460755455787
200,1581,120,2002,40,-45,45,-35,1,3.01298550898466
201,1589,128,2002,40,-45,45,-35,1,3.3984300747938
202,1597,136,2002,40,-45,45,-35,1,2.97441176511576
203,1605,144,2002,40,-45,45,-35,1,2.56064120157547
204,1613,152,2002,40,-45,45,-35,1,2.50125493112425
205,1621,160,2002,40,-45,45,-35,1,2.55384542955533
206,1629,168,2002,40,-45,45,-35,1,2.45813733571289
207,1637,176,2002,40,-45,45,-35,1,2.36345053430022
208,1645,184,2002,40,-45,45,-35,1,2.42604521480474
209,1653,192,2002,40,-45,45,-35,1,2.55544642906297
210,1661,200,2002,40,-45,45,-35,1,2.46051904919666
211,1669,208,2002,40,-45,45,-35,1,2.54170684195047
212,1677,216,2002,40,-45,45,-35,1,2.26243216536695
213,1685,224,2002,40,-45,45,-35,1,2.14950867663632
214,1693,232,2002,40,-45,45,-35,1,2.44039492712026
215,1701,240,2002,40,-45,45,-35,1,2.20534695824019
216,1709,248,2002,40,-45,45,-35,1,2.04108033271719
217,1717,256,2002,40,-45,45,-35,1,2.18521490134784
218,1725,264,2002,40,-45,45,-35,1,1.78487840940395
219,1733,272,2002,40,-45,45,-35,1,2.20005789734565
220,1741,280,2002,40,-45,45,-35,1,2.17515773932915
221,1749,288,2002,40,-45,45,-35,1,2.09631698644197
222,1757,296,2002,40,-45,45,-35,1,2.16929083666011
223,1765,304,2002,40,-45,45,-35,1,2.26303694260327
224,1773,312,2002,40,-45,45,-35,1,1.98466649532072
225,1781,320,2002,40,-45,45,-35,1,2.21464429535879
226,1789,328,2002,40,-45,45,-35,1,2.23919718482254
227,1797,336,2002,40,-45,45,-35,1,2.37538951056224
228,1805,344,2002,40,-45,45,-35,1,1.99234070599813
229,1813,352,2002,40,-45,45,-35,1,1.72742247951082
230,1821,360,2002,40,-45,45,-35,1,2.226463139759
1,1,1,1998,45,-45,50,-35,2,1.62534568909115
2,8,8,1998,45,-45,50,-35,2,1.62534568909115
3,16,16,1998,45,-45,50,-35,2,1.44218600184181
4,24,24,1998,45,-45,50,-35,2,1.57932454539889
5,32,32,1998,45,-45,50,-35,2,1.1146111822546
6,40,40,1998,45,-45,50,-35,2,0.869886625511454
7,48,48,1998,45,-45,50,-35,2,2.14958808128931
8,56,56,1998,45,-45,50,-35,2,2.06577061747726
9,64,64,1998,45,-45,50,-35,2,2.27950784514474
10,72,72,1998,45,-45,50,-35,2,2.37332749048389
11,80,80,1998,45,-45,50,-35,2,2.22033771348918
12,88,88,1998,45,-45,50,-35,2,2.54981215492109
13,96,96,1998,45,-45,50,-35,2,2.36033781198704
14,104,104,1998,45,-45,50,-35,2,2.60372722997197
15,112,112,1998,45,-45,50,-35,2,3.18686648045103
16,120,120,1998,45,-45,50,-35,2,2.94593811634248
17,128,128,1998,45,-45,50,-35,2,3.31786887285529
18,136,136,1998,45,-45,50,-35,2,3.25905487813852
19,144,144,1998,45,-45,50,-35,2,3.4670769162403
20,152,152,1998,45,-45,50,-35,2,3.64278964201935
21,160,160,1998,45,-45,50,-35,2,3.51986477910468
22,168,168,1998,45,-45,50,-35,2,3.25213035652106
23,176,176,1998,45,-45,50,-35,2,2.9943576406114
24,184,184,1998,45,-45,50,-35,2,2.73374109686722
25,192,192,1998,45,-45,50,-35,2,2.82503177583127
26,200,200,1998,45,-45,50,-35,2,2.79204393045613
27,208,208,1998,45,-45,50,-35,2,2.70692131473738
28,216,216,1998,45,-45,50,-35,2,2.53290481278396
29,224,224,1998,45,-45,50,-35,2,2.55352332917364
30,232,232,1998,45,-45,50,-35,2,2.19806514651501
31,240,240,1998,45,-45,50,-35,2,2.26635476878591
32,248,248,1998,45,-45,50,-35,2,2.55996459626992
33,256,256,1998,45,-45,50,-35,2,2.73539521034405
34,264,264,1998,45,-45,50,-35,2,2.76498466267037
35,272,272,1998,45,-45,50,-35,2,2.38272776622033
36,280,280,1998,45,-45,50,-35,2,2.29393635303243
37,288,288,1998,45,-45,50,-35,2,2.45703093050664
38,296,296,1998,45,-45,50,-35,2,2.59593215752532
39,304,304,1998,45,-45,50,-35,2,2.51581763594534
40,312,312,1998,45,-45,50,-35,2,2.35692152496344
41,320,320,1998,45,-45,50,-35,2,1.99034165589192
42,328,328,1998,45,-45,50,-35,2,2.19200599089548
43,336,336,1998,45,-45,50,-35,2,2.2411062414865
44,344,344,1998,45,-45,50,-35,2,2.20181938254187
45,352,352,1998,45,-45,50,-35,2,2.09560488185899
46,360,360,1998,45,-45,50,-35,2,2.16353011491662
47,366,1,1999,45,-45,50,-35,2,1.88303888857529
48,373,8,1999,45,-45,50,-35,2,1.88303888857529
49,381,16,1999,45,-45,50,-35,2,1.75952633036951
50,389,24,1999,45,-45,50,-35,2,2.11482300141874
51,397,32,1999,45,-45,50,-35,2,2.07801908276567
52,405,40,1999,45,-45,50,-35,2,1.94933635287639
53,413,48,1999,45,-45,50,-35,2,1.6322557037829
54,421,56,1999,45,-45,50,-35,2,2.33601518274061
55,429,64,1999,45,-45,50,-35,2,2.05902776870432
56,437,72,1999,45,-45,50,-35,2,2.47833428888121
57,445,80,1999,45,-45,50,-35,2,2.57770453945061
58,453,88,1999,45,-45,50,-35,2,2.91068610233028
59,461,96,1999,45,-45,50,-35,2,2.94137722260503
60,469,104,1999,45,-45,50,-35,2,3.32360014752934
61,477,112,1999,45,-45,50,-35,2,3.74469375720619
62,485,120,1999,45,-45,50,-35,2,2.99569299436907
