tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline
280,9.72230514389863,13.923664089852,12.3583734030737,389.987575277721,10.9886447403835,11.7311780404838,421.051995455856,89.5479781353295,228.266337985471,228.266337985471,15.6899507786503,208.876305310017,15.6899507786503
288,9.22978006053326,13.6143605271429,11.9125663304742,307.777541809658,10.4821579479433,11.5674198951505,368.81036576514,74.9545511204199,207.308465795014,207.308465795014,15.6899507786503,191.207717489338,15.6899507786503
296,8.41240498100887,13.2971283356396,9.98232924355089,238.802477460432,10.0756003493717,11.6176740552204,286.157425717147,61.4089339881696,190.900361672483,190.900361672483,15.6899507786503,173.883939365383,15.6899507786503
304,7.1390313261155,14.167529172083,9.09976731952599,192.486644606003,9.62265673198938,11.037739852128,230.657082334968,51.5213592494816,172.23725003473,172.23725003473,15.6899507786503,129.537751496492,24.7023506564908
312,6.88347669358865,14.5662312878129,9.0614590448663,165.930972380159,9.06386823051056,10.3792073727644,198.835373937512,45.6923218609428,150.642434230777,150.642434230777,15.6899507786503,99.5733107709899,21.5632014373469
320,6.81861502083828,14.5747266952291,9.34442792523643,152.108672253166,8.52713277457346,10.1920269009256,182.272087560027,42.5611878889197,132.486273429878,132.486273429878,15.6899507786503,81.3487422842852,19.1295451085515
328,6.95095278223333,14.935948979071,9.8612335076243,145.2516580731,8.05894941531303,10.185189414363,174.055315494927,41.0912025255249,118.540229848378,118.540229848378,15.6899507786503,69.2827214395575,17.4342415821969
336,6.58419876284984,15.0594361581618,10.3066337697872,138.858996229377,7.48917645814689,9.14872819179358,166.394977645279,39.679325468306,100.37009368153,100.37009368153,15.6899507786503,59.0715097192927,18.6388487445917
344,6.25400426008889,15.2068136035684,10.3201367041018,126.855600673114,6.97061058877555,9.27596151401741,152.011287790914,36.6882347563003,87.1722199147731,87.1722199147731,15.6899507786503,47.9223240727483,21.5415548036695
352,6.00706565802815,15.3271456833994,10.0166263890152,111.41938071268,6.54951535511605,9.50830861896814,133.514038458927,32.6815923141428,78.3631662432187,78.3631662432187,15.6899507786503,37.2890757545659,22.4739265431868
360,6.01628308639818,15.0472758283819,9.76070903170407,99.8336396572351,6.25263304789166,10.5253464579298,119.630824722165,29.4567241824685,74.8610635248132,74.8610635248132,15.6899507786503,29.567875889803,20.3006121761753
366,5.68231740808527,14.8807984083749,9.62650328122726,94.592842306421,5.9912986579971,9.25186439426644,112.24137774128,27.6372190333363,65.3702834375065,65.3702834375065,15.6899507786503,25.3146468791353,19.9210896347883
373,5.70498698119998,15.377886230419,9.69599415872053,90.2156973545678,5.74900389521535,10.2174261049517,106.322839316458,26.2032439367181,65.1934194096159,65.1934194096159,15.6899507786503,21.5120154749547,18.231081047844
381,6.19209600474448,15.0839645294926,9.81482248309332,86.4981799244588,5.65433085482661,12.6269571517967,101.941595032282,25.126113365726,68.5103232557004,68.5103232557004,15.6899507786503,18.2668480944975,17.7941420168088
389,6.76683701608511,15.0990283861765,9.99403946648401,84.2489085156825,5.63226399638851,14.2014416407845,99.2907379244054,24.4727418328618,72.5264562734891,72.5264562734891,15.6899507786503,16.0388588352253,15.2663245983282
397,7.99230057855755,15.06233328881,9.98956143185447,80.1433922985035,5.96167983010879,18.8912716244579,94.4522214148599,23.2801656886267,90.8718169417906,90.8718169417906,15.6899507786503,14.4813907601466,15.1190285675086
405,10.0908255954292,15.1087433298978,10.0345258511682,76.2099591674917,6.6964839716707,22.1039547711376,89.8165117654967,22.1754048322252,119.074372358332,119.074372358332,15.6899507786503,13.3733444730329,14.5211177129394
413,11.6836655901774,15.1405042870076,10.1225035054589,72.4272227544788,7.36224005930828,18.9691682597544,91.6981225953263,21.251070868634,130.286101910758,130.286101910758,15.6899507786503,12.768920062231,13.877222927259
421,13.1946798650309,15.2505606371727,10.2724064170015,68.7333916341066,8.05987911917177,19.3405502730515,96.8093213554275,20.519096064115,139.646143919264,139.646143919264,15.6899507786503,12.5332817100077,13.2949855575364
429,14.8096043703704,15.4208302025588,10.4948640833114,65.4005341219504,8.88629717601451,18.8497285108608,98.4379733511566,19.9762153540668,149.626993522822,149.626993522822,15.6899507786503,12.4891424257217,14.8370650712726
437,16.9938936554634,16.046543700976,11.0833166940859,65.3501259910446,9.85162945552591,19.4366157297941,102.740481420462,20.1419701026291,161.889962755236,161.889962755236,15.6899507786503,12.4191712080163,16.8571409880982
445,19.9613790426082,15.9647773336255,11.4813527404357,67.1906876183102,11.4796446028336,22.2694657854699,98.7009150630323,20.0331159194712,194.285386837939,194.285386837939,15.6899507786503,12.5128121775896,18.6159673879874
453,22.6439330455394,15.7228115545976,11.5498093309188,69.7571737959915,13.8197058364594,22.4079099280758,93.1815710174536,19.4508446248752,235.823144537775,235.823144537775,15.6899507786503,13.1784801634668,18.8588913472479
461,24.7505612372634,15.6558015108632,11.7680442703414,74.8245584495973,16.6974354056516,21.8507428516688,90.1890062461728,19.2195365572513,277.426108002552,277.426108002552,15.6899507786503,15.2659938970378,14.9323998537375
469,23.7844624903432,14.8869248946499,11.6701020361563,78.8172292805747,19.5239983974103,19.7740133549985,85.9799196843851,18.5829799543219,302.516500923671,302.516500923671,15.6899507786503,19.3876413432941,9.60700074154641
477,23.5835991843143,14.8665613127721,11.6996743429842,85.122590154873,22.7546074471262,20.8179745944749,89.6074670423532,18.1643079214795,339.753385719118,339.753385719118,15.6899507786503,26.0835183930052,0
485,23.2211360034319,15.2846435043518,12.0912914883793,95.0086634400942,25.9551907498497,19.3682434587321,99.7475375127933,18.2471436864069,371.268731406729,371.268731406729,15.6899507786503,37.8015119207351,0
493,23.6037986016371,15.8784699308299,13.015995621008,112.225701817922,28.9061398829651,19.6356790867073,114.596203350493,19.0619184795517,405.175939038681,405.175939038681,15.6899507786503,56.0291783993416,0
501,22.6737542524376,16.8039181382902,14.7494105975916,137.724139421619,30.6690735881826,17.993257652329,137.076028058812,21.0041104881033,421.331467488399,421.331467488399,15.6899507786503,84.2671930137356,0
509,19.8915203357868,16.0190452174241,17.009076129911,165.842936284639,30.3675393460725,17.0673339732792,165.646524877176,23.9786159475222,415.592674850392,415.592674850392,15.6899507786503,119.728223614072,0
517,21.1674090361903,15.1267442384251,19.3030250909422,209.197324798238,29.77902350373,18.7479090544966,197.990876694853,27.7547265760884,447.098076223349,447.098076223349,15.6899507786503,166.404787167363,0
525,20.5810202634985,17.1472378403549,23.4949167119124,265.836011962795,28.108061939216,17.572681350146,237.573188724553,32.6632572341158,472.997014415476,472.997014415476,15.6899507786503,206.655079341708,15.6899507786503
533,22.2376530227868,18.3665129313024,31.6068067603869,336.404480902305,25.6741782423986,17.6621150609079,285.95160052025,40.502853042502,492.467785742605,492.467785742605,15.6899507786503,231.207093331518,15.6899507786503
541,17.5497897252554,17.7126150588069,34.330809015561,388.196803260886,22.2187773250192,15.1874910924138,340.810241021429,47.4073842317112,469.621862297449,469.621862297449,15.6899507786503,252.448427398617,15.6899507786503
549,18.7688095068804,17.1362970842536,29.1442536437817,549.776472960906,19.9556412825671,16.6779295786184,488.46413607805,69.5642855382291,464.569678050125,464.569678050125,15.6899507786503,263.738402746646,15.6899507786503
557,15.5677012476386,16.7361417698321,23.4081265796349,496.431637152941,17.9457053553416,14.4672287658024,454.802349272923,66.5730764995208,441.691152613066,441.691152613066,15.6899507786503,272.375973483077,15.6899507786503
