index,t,days,siteID,ps1,lpC,sdpC,lsdps1,mld,dmld,N0,light
1,1,1,5,5.74230662798983,4.11295930864902,5.59465068529674,0.81696779046444,166.105081960427,0,16.5627625,30.3788871183849
2,8,8,5,5.74230662798983,4.11295930864902,5.59465068529674,0.81696779046444,166.105081960427,2.60199846088884,16.5627625,30.3788871183849
3,16,16,5,8.93618023631869,6.60860696326884,8.13366099476912,0.776833761437567,186.921069647538,1.11145198005767,16.5627625,30.2550303669724
4,24,24,5,9.68927799047908,8.08467669128732,6.40035942299731,0.601746472893172,195.812685487999,1.11145197539701,16.5627625,44.4110020257221
5,32,32,5,7.83337729025586,6.26287052854935,5.88501100503053,0.668962051378294,204.704301291175,1.11145197500782,16.5627625,36.6817974080301
6,40,40,5,6.84022329956197,4.69360252245408,7.25150798477647,0.867893958018879,213.595917091238,0.477281987286258,16.5627625,53.0669315045521
7,48,48,5,8.52476715940261,7.37661637128518,4.93789951702652,0.537885978469127,217.414172989528,-1.42522794595198,16.5627625,30.3508733103156
8,56,56,5,9.68949573785174,8.27864417475888,5.89296934124093,0.561004772050693,206.012349421912,-1.42522796067928,16.5627625,66.4307973821807
9,64,64,5,8.719784167736,7.27029404851562,5.77413166569051,0.602988803614472,194.610525736478,-1.42522794834859,16.5627625,63.2856775716231
10,72,72,5,14.2462726559542,12.7909220906926,6.98657012300211,0.464240448141276,183.208702149689,1.91903833841712,16.5627625,69.0212631214744
11,80,80,5,11.260403109168,9.30816743024583,7.665807857684,0.617090251287963,198.561008857026,3.03379372023867,16.5627625,92.5031416612607
12,88,88,5,13.2308564006579,11.630439876483,7.17579814198529,0.507791136919974,222.831358618935,3.03379378470285,16.5627625,64.1760717947254
13,96,96,5,12.3091581850623,10.418996660642,7.74344116757156,0.577430188495617,247.101708896558,3.03379374846815,16.5627625,77.0351707967305
14,104,104,5,14.1380170149853,11.1052063594994,11.1392748714676,0.69491491780222,271.372058884303,-6.73110505780407,16.5627625,100.693410281752
