n_median,n_lb95,n_ub95,n_lb68,n_ub68,p_median,p_lb95,p_ub95,p_lb68,p_ub68,z_median,z_lb95,z_ub95,z_lb68,z_ub68,rp_median,rp_lb95,rp_ub95,rp_lb68,rp_ub68,rz_median,rz_lb95,rz_ub95,rz_lb68,rz_ub68,psynth_median,psynth_lb95,psynth_ub95,psynth_lb68,psynth_ub68,predation_median,predation_lb95,predation_ub95,predation_lb68,predation_ub68,mldloss_median,mldloss_lb95,mldloss_ub95,mldloss_lb68,mldloss_ub68,noZoo_median,noZoo_lb95,noZoo_ub95,noZoo_lb68,noZoo_ub68,noMLD_median,noMLD_lb95,noMLD_ub95,noMLD_lb68,noMLD_ub68,zPred_median,zPred_lb95,zPred_ub95,zPred_lb68,zPred_ub68,zMLD_median,zMLD_lb95,zMLD_ub95,zMLD_lb68,zMLD_ub68,p_maxL_median,p_maxL_lb95,p_maxL_ub95,p_maxL_lb68,p_maxL_ub68,p_noZ_median,p_noZ_lb95,p_noZ_ub95,p_noZ_lb68,p_noZ_ub68,p_maxMLD_median,p_maxMLD_lb95,p_maxMLD_ub95,p_maxMLD_lb68,p_maxMLD_ub68
5.33972579497047,5.13860650435472,5.43598192421453,5.2610578856792,5.40746145088775,3.36994150798802,3.1777340853361,3.5381003962886,3.27885913990365,3.46725672431561,3.65726655038679,2.50064846637704,4.91643622267155,2.88249448467698,4.34080906661337,0.00177926542498201,-0.0046592496384801,0.00851941736859322,-0.00144906865470582,0.00502032879835135,25.9254018551136,19.8435882959475,46.3612047145005,22.0347511882745,31.5024974595755,0.147366466293424,0.0776247223748672,0.342091336484255,0.10632676123863,0.221203986461883,0.147314836157935,0.0691731161615264,0.337714141887743,0.104704793839645,0.217548581904847,0,0,0,0,0,0.147366466293424,0.0776247223748672,0.342091336484255,0.10632676123863,0.221203986461883,0.00177926542498201,-0.0046592496384801,0.00851941736859322,-0.00144906865470582,0.00502032879835136,0.117920236504074,0.0461520292015554,0.314656394857007,0.067316201218932,0.202520595976829,-0.0228026089490559,-0.0228026089490559,-0.0228026089490559,-0.0228026089490559,-0.0228026089490559,3.15261213132858,3.05311657769782,3.2608022647118,3.10620010202235,3.21702350515302,3.36994150798802,3.1777340853361,3.5381003962886,3.27885913990365,3.46725672431561,2.76235950090027,2.27542908430123,3.14478633889214,2.59687808510626,2.89920776785465
5.33241488392446,5.10300040529855,5.43935803890862,5.2442600117745,5.41434507542679,3.28782855998244,3.12064077460934,3.48599730187813,3.20947603561237,3.38666616898641,4.10526126745183,2.92830943739929,5.27561411958563,3.31965347634215,4.74348468707993,-0.0128192878954628,-0.0194150932660813,-0.00892854519269064,-0.0150013142178784,-0.0107422704671082,27.4179531580665,20.6150364401937,48.9141554676679,23.3330784801261,32.998778729567,0.195760219559686,0.0993781442557829,0.44388942968611,0.140086332693645,0.286238107404658,0.209455059030875,0.113961750367031,0.45365732578704,0.153503176594437,0.29948185951477,0,0,0,0,0,0.195760219559686,0.0993781442557829,0.44388942968611,0.140086332693645,0.286238107404658,-0.0128192878954629,-0.0194150932660813,-0.0089285451926906,-0.0150013142178784,-0.0107422704671082,0.107151768056625,0.0416673647734191,0.280812385239236,0.059946492545316,0.17859582070287,-0.0278904001654295,-0.0278904001654295,-0.0278904001654295,-0.0278904001654295,-0.0278904001654295,3.15609838396868,3.05156027334027,3.26853901924286,3.10150543375027,3.21813081166554,3.28782855998244,3.12064077460934,3.48599730187813,3.20947603561237,3.38666616898641,2.76167330280841,2.2753573332614,3.19382004248494,2.59668322454519,2.90112146694718
5.32338418676181,5.05076183994598,5.4382026105811,5.21847143615347,5.41387720251596,3.29694577036558,3.16436834254114,3.44913280618103,3.22992916186387,3.36298512081654,4.53099059657198,3.31937860922114,5.67095132271819,3.759871490012,5.1654783211861,0.000152360929992354,-0.0068780049243239,0.0184978916807938,-0.00219301289737355,0.00297291827060249,27.627135018059,21.4370267857961,45.8828791445963,23.7756465406019,32.9131577203272,0.311962065884055,0.171597311566721,0.670807576517506,0.22694033792227,0.449593516060401,0.311271327809803,0.18134236551383,0.671688577594674,0.228502254197165,0.444588870250576,0,0,0,0,0,0.311962065884055,0.171597311566721,0.670807576517506,0.22694033792227,0.449593516060401,0.000152360929992379,-0.0068780049243239,0.0184978916807939,-0.00219301289737355,0.00297291827060246,0.105915058689031,0.0421576936192885,0.278812743418459,0.0596784047174984,0.174445422768272,-0.0359006732292708,-0.0359006732292708,0,-0.0359006732292708,-0.0359006732292708,3.12955092776317,3.03005430118063,3.23455773468799,3.07478636105898,3.18294845405342,3.29694577036558,3.16436834254114,3.44913280618103,3.22992916186387,3.36298512081654,2.77401708610411,2.27529216415898,3.23985283276147,2.60020182100717,2.91491898732708
5.31144488950879,4.98822197471474,5.43964756973028,5.18858894286794,5.41327158455528,3.23232469680641,3.12211260812888,3.36170853516661,3.17541926598684,3.30028670444698,4.87701114147927,3.60506981740449,5.98484745903423,4.1168861009525,5.48418645114118,-0.00675380678060859,-0.0123901309133659,0.0141070982144616,-0.0100325652708111,0.0085396352676202,29.3656059218074,22.9151810682237,44.3087374079524,25.2575387520655,34.0091893027351,0.429156499092525,0.250510337077648,0.897286949718277,0.315407295834982,0.631669410799238,0.43349376948758,0.261967416104639,0.89817864650592,0.320743004858329,0.637362782762257,0,0,0,0,0,0.429156499092525,0.250510337077648,0.897286949718277,0.315407295834982,0.631669410799238,-0.00675380678060866,-0.0123901309133659,0.0141070982144616,-0.0100325652708111,0.00853963526762023,0.094732669515757,0.0376337163027737,0.255213675986293,0.0527945736648435,0.158880539034496,0,-0.0376781458990752,0,-0.0376781458990752,0,3.14563170640529,3.05888708441713,3.26940959645316,3.08958169393946,3.1983343194584,3.23232469680641,3.12211260812888,3.36170853516661,3.17541926598684,3.30028670444698,2.77467983519767,2.27523297081843,3.25035008875244,2.60013445265899,2.92856431830185
5.28814648365357,4.91291244154688,5.4252776679425,5.14000409012825,5.3848276588091,3.29406164218755,3.21341718577148,3.40359275731839,3.2408771716782,3.35749789742927,5.04091041649187,3.76490361836492,6.13886249890654,4.29976902783074,5.64306910234685,0.00899543711846239,-0.00865240196774165,0.0192710987224691,0.00101977269689285,0.0157993944139725,27.2165861662742,22.589324637741,44.7117956359228,24.6156849018904,32.3864762398726,0.554862902407542,0.330791105057485,1.14660328401016,0.400062562005884,0.835604616153963,0.547311934060667,0.331324853591341,1.13333808977514,0.396397420784082,0.820082493911332,0,0,0,0,0,0.554862902407542,0.330791105057485,1.14660328401016,0.400062562005884,0.835604616153963,0.0089954371184624,-0.00865240196774168,0.0192710987224692,0.00101977269689284,0.0157993944139725,0.105623187152398,0.0430943617539675,0.294144505505663,0.0569049080762546,0.177794406411942,0,0,0,0,0,3.21112914845436,3.13162906713834,3.31450335288539,3.16538196484011,3.2677537245868,3.29406164218755,3.21341718577148,3.40359275731839,3.2408771716782,3.35749789742927,2.78437969969997,2.27517920312209,3.27504940069109,2.60007084675965,2.93961357667383
5.26902459815397,4.84551105406943,5.41554519436576,5.1027384728126,5.35975692569993,3.09191913838602,3.00524119942093,3.19830686516021,3.04625908349209,3.14144436577217,5.19041216532036,3.90452754776792,6.26555892225545,4.44404172473259,5.78428889024586,-0.0261005400577831,-0.031899913935656,-0.0218143295084635,-0.0283668635011255,-0.0238137451416155,31.3502431913006,25.7089550045818,51.9604843129248,28.1560219087317,37.0955682726888,0.514479188429583,0.307853033370923,1.09189231179259,0.373016658551188,0.793451569512236,0.544658082545826,0.335645810128362,1.11927636695702,0.398124899533752,0.816566877482118,0,0,0,0,0,0.514479188429583,0.307853033370923,1.09189231179259,0.373016658551188,0.793451569512236,-0.0261005400577832,-0.031899913935656,-0.0218143295084634,-0.0283668635011255,-0.0238137451416155,0.0781422094795715,0.0312196112701882,0.214952099029531,0.0421387805178218,0.127831020830189,0,0,0,0,0,3.11367351379909,3.02962346478953,3.21882461711221,3.06566826487977,3.17085578944218,3.09191913838602,3.00524119942093,3.19830686516021,3.04625908349209,3.14144436577217,2.78367130764874,2.27513036180398,3.26510142459818,2.60001079265112,2.93059667780911
5.25251666007846,4.78905958454192,5.40737375115195,5.06839298867683,5.34367519642079,3.08200460972997,2.99406616665997,3.19141493093758,3.02798028055031,3.13937662149667,5.26301142802632,3.98473585806962,6.33604157484203,4.5210807199155,5.86711397967237,-0.00198598211115787,-0.00426271749108686,0.00204200867122647,-0.00334808615639445,-0.000138761304123907,31.9042176363544,25.8261135945102,53.6627098020231,28.6259307519283,38.710898035568,0.568048665619124,0.331978186790173,1.2027148865419,0.405196867249311,0.861243801251563,0.567611259304263,0.334623134907355,1.20474099491095,0.407217640701428,0.863450511384833,0,0,0,0,0,0.568048665619124,0.331978186790173,1.2027148865419,0.405196867249311,0.861243801251563,-0.00198598211115786,-0.00426271749108686,0.00204200867122649,-0.00334808615639442,-0.000138761304123915,0.0723863888865876,0.0287139056422207,0.19936826216272,0.0393202984049065,0.12610185121806,0,0,0,0,0,3.03791599249491,2.95668137612589,3.14191538155553,2.98866674300955,3.09134003077683,3.08200460972997,2.99406616665997,3.19141493093758,3.02798028055031,3.13937662149667,2.78298063999609,2.27508599372927,3.27000130023861,2.59995409147652,2.94140047974756
5.24071493564355,4.74947742956795,5.40272891003864,5.04318444948629,5.33718882839735,2.94116239527676,2.86659149196726,3.03961325992756,2.90090813150993,2.99080217595951,5.32169080704463,4.03625912378684,6.38215525438751,4.57673033303965,5.91980535960177,-0.0189439461100313,-0.0253883997195132,-0.0142928060757744,-0.0218555711670273,-0.016605904305354,35.3029889717327,28.7068600787331,58.0271074609247,31.7756387341063,41.8303605317633,0.513226052201023,0.306038607484291,1.10800552226389,0.371744451410821,0.798161608228565,0.53523118446819,0.323122453600156,1.12886442344084,0.389322557215921,0.816183355938385,0,0,0,0,0,0.513226052201023,0.306038607484291,1.10800552226389,0.371744451410821,0.798161608228565,-0.0189439461100313,-0.0253883997195131,-0.0142928060757744,-0.0218555711670273,-0.016605904305354,0.0570959301253408,0.0229612534884847,0.160198172581637,0.0314095278374793,0.0952250609253208,0,0,0,0,0,2.98181591395725,2.90029272556979,3.08142952325423,2.93424166958524,3.03211502598505,2.94116239527676,2.86659149196726,3.03961325992756,2.90090813150993,2.99080217595951,2.78230735099929,2.27504568761376,3.23329994096393,2.59990055552122,2.93345713523703
5.22943592019831,4.71396833208482,5.39747721745241,5.02385422300011,5.331342504623,2.9622731869827,2.88075232620624,3.0682867562826,2.9144815840422,3.01572605237606,5.34210083703141,4.05660159476158,6.40640662851889,4.60244911677338,5.94322720507616,0.00197286605051886,-0.00027817744803705,0.00604388161529783,0.000575077811404205,0.0038388060279949,35.2115626111422,28.2814937497775,58.0713053929597,31.6301982790731,42.0953692875037,0.554882100107848,0.322799007014151,1.18429310965356,0.394920301672531,0.844499084121827,0.552648598620165,0.320899515049908,1.18235936605289,0.392850477234287,0.843477516254067,0,0,0,0,0,0.554882100107848,0.322799007014151,1.18429310965356,0.394920301672531,0.844499084121827,0.00197286605051888,-0.000278177448037035,0.00604388161529783,0.00057507781140424,0.00383880602799491,0.0569644030586986,0.022686296974613,0.160306597834079,0.0313978903731502,0.100165834619461,0,0,0,0,0,2.93955881561581,2.859730362495,3.03937286857906,2.8934016489822,2.98975919563655,2.9622731869827,2.88075232620624,3.0682867562826,2.9144815840422,3.01572605237606,2.78154925056682,2.27500907014226,3.24270742911837,2.59985000759037,2.9388424502167
5.219994679383,4.67948356475697,5.3942547155679,5.00723020872419,5.32617987333676,2.90182159154589,2.82728814302877,3.0035162391957,2.85858305475712,2.95177299291404,5.358995449155,4.07398724170931,6.42482812730318,4.62480344458058,5.96393516746366,-0.00812382212917102,-0.0104597207543128,-0.00618707225419534,-0.00912089988251566,-0.00716974702911166,36.5054395798684,29.6538142884605,59.8433977422472,33.1416483886395,43.5511460394355,0.53036656482624,0.308673857891366,1.13598047902588,0.377543315270174,0.812599486742897,0.538147110877204,0.315372837301927,1.14459556773454,0.385418787851868,0.81997549832583,0,0,0,0,0,0.53036656482624,0.308673857891366,1.13598047902588,0.377543315270174,0.812599486742897,-0.00812382212917107,-0.0104597207543128,-0.00618707225419538,-0.00912089988251565,-0.00716974702911166,0.0525532782751197,0.020644435057966,0.14489324807659,0.0283618724715639,0.0890216776106078,0,0,0,0,0,2.90716884816962,2.82825841083149,3.0069739939667,2.86464886164579,2.95668473229923,2.90182159154589,2.82728814302877,3.0035162391957,2.85858305475712,2.95177299291404,2.77878860125496,2.27497580244857,3.23291011311443,2.59980228042084,2.93186799797617
