tc,P,P025,P05,P1,P2,P4
1,0.0101288113748381,0.00669877026808923,0.00443665026099716,0.00296715401523558,0.00504565062350634,0.00551497894149583
8,0.0114445377603104,0.00702513900354265,0.00497893537027166,0.00369901784874741,0.0055102463216863,0.00592881212196016
16,0.00774510373499325,0.00365203804628058,0.00207945896993351,0.00121553646898185,0.00277601740982509,0.00315083572723512
24,0.0179083495421887,0.0122472684788302,0.0112276375962077,0.0121228424578346,0.0152367771265258,0.0159301669308679
32,0.0122369474256174,0.00694523167656609,0.0058960674885087,0.00585456883514282,0.00752853584197897,0.00792815969630548
40,0.0216622529099558,0.0149987522456449,0.0144061079837096,0.0158926531909673,0.018828972003883,0.0194758645348324
48,-0.00543467185066854,-0.0102532376421159,-0.0112448137993479,-0.0122917655108574,-0.0120980281762132,-0.0119563714570696
56,0.0217012069481417,0.0143093704163139,0.0141960675821346,0.0162680627369972,0.0204063883013054,0.0215787928191709
64,0.0248552877844868,0.0169500982007894,0.0166908383094963,0.017516038607831,0.0200798278109638,0.0210391568435653
72,0.0474718976790501,0.0376431640227434,0.0372997012613705,0.0373919175458102,0.0383330885168774,0.0388939444658535
80,0.0493725648296467,0.0392276782484565,0.0391518188867005,0.0395015241944348,0.0400214203574864,0.0405054286616813
88,0.028213138333228,0.0207695947959314,0.0199328423148545,0.0173902036145783,0.0146090087318697,0.0142406037158138
96,0.0138389782760962,0.00787522433583616,0.00745810491712194,0.0062741234527414,0.00511902337555896,0.00515315227629926
104,0.0143475796014565,0.0110615492395544,0.0111639178152,0.0113901758486711,0.011775621503675,0.0122788294753041
112,0.0200621327015985,0.0181410968942113,0.0178479987797195,0.0166342950724552,0.0153411169734769,0.0154933692383142
120,0.0359474080885293,0.0389367160604324,0.0381409193365414,0.0355206310817119,0.0329241680544884,0.0329996185762911
128,0.0261345671949072,0.05062942766498,0.044520217168547,0.0299747363351052,0.0191737364754131,0.0174040224261766
136,0.116975760170549,0.074607990890585,0.13623401181863,-0.0254067400809438,-0.100546517127244,-0.112926955563295
144,-0.0564187880776701,-0.000523772328710421,-0.018978296581889,-0.00859675395325508,-0.00786091413290274,-0.00846426373673748
152,-0.0178702481145389,0.00372800303280788,-0.032978749271094,-0.00615061820782237,-0.00642124631796569,-0.00711650705774372
160,-0.00997881082529571,0.0936278258346327,-0.0533635914078692,-0.00757527815530134,-0.00819801677801831,-0.00886079090306617
168,-0.0101960890036361,-0.0953367030916889,-0.0503716981245901,-0.0127975496076777,-0.0129551922834993,-0.013437902830665
176,-0.0116668613121464,-0.0888953312270024,-0.031859365723188,-0.0136676952744784,-0.0135801773204618,-0.0138872440122677
184,0.000387751043221122,-0.0511376817299031,-0.0114757569312639,-0.00370613187324765,-0.00504950267732547,-0.00546925333925927
192,-0.00871174035677977,-0.0346876735324662,-0.0113665499370329,-0.015378603753462,-0.0160535352931837,-0.0162937564897189
200,0.000314326799304604,-0.0153830874871625,0.000809578873733332,-0.00430300557578767,-0.00575364227580959,-0.00603679129231383
208,-0.00658194815183027,-0.00823743681258675,-0.00166346458887728,-0.00863230913873682,-0.00946706873383589,-0.0096237280171504
216,-8.28363053802198E-05,-0.0013081334190974,0.00184632720879136,-0.00375548464186327,-0.0049804871101707,-0.00516192717689441
224,-0.00330612663131228,-0.0010322603043525,-0.00159784355377103,-0.00796323936916731,-0.00892206982607286,-0.00904961660585408
232,-0.0135168387386205,-0.000739848724013066,-0.000691852660783519,-0.00577361923113953,-0.00572030647494404,-0.00568737761823861
240,0.00438806916678638,0.00751677093530094,0.0129981763727839,0.018212527839899,0.0177983478087553,0.0177581598032685
248,-0.00263566948797037,0.00143236273974824,0.0022869651095698,0.00875057213458046,0.00930998479916437,0.0093797592483719
256,-0.00519074995619442,-0.00402252650628406,-0.00411484730439701,0.00275484280978329,0.00391433570134799,0.00406385035533095
264,-0.0103484925281662,-0.00693421329638276,-0.00587492202134788,0.000625166806584212,0.0031619254657841,0.00354023716523898
272,-0.00940611171240598,-0.00882750325404873,-0.00705360794808046,-0.00144674344162891,0.00108715484684233,0.00150734020342964
