pos,k_6,m_6,mp_6,al_6,alpha_6,l_6,j_6,r_6,c1_6,K_6,f_6,g_6,Q_6
1,0.0714279904565682,0.750125613459285,0.750369868326661,2.50000432273877,0.118987995114768,0.0637393707960335,0.308216201921883,0.0566214043220713,0.341263696215973,1.170131206936,0.232497669841521,0.0175012376937798,0.62840568960576
2,0.0726986392962394,0.751672501084418,0.752626815590822,2.50093484593315,0.138958288382196,0.0685111227555037,0.602623072127265,0.0624626083015965,0.479293981027764,1.42423121770976,0.312751682900192,0.0175892609185659,0.755700697345767
3,0.0736700729390934,0.760024525495304,0.772886289652361,2.509058947652,0.148853719588701,0.0733642576742378,0.878236824825431,0.0694081401792696,0.688121546932331,2.1543983448156,0.501047713971508,0.0180614650594371,0.868890436020664
4,0.0746698291702395,0.787710911391513,0.830216887850432,2.53139288729406,0.155142110776706,0.079251724063055,1.24294498954447,0.0764820839145055,1.0163161948884,3.13040230304235,0.718150206904078,0.0195701473597705,1.02097680341563
5,0.0757328417621191,0.846379831062512,0.941132630754227,2.57279470468454,0.158768117764224,0.0841606463764832,1.55302574769215,0.083692302157228,1.68802474221295,3.67882964771674,0.900438534504113,0.0238321364946315,1.20922015598071
6,0.076718441429749,0.928907563068912,1.1140399042625,2.63372488192796,0.159809338772756,0.0898404278130245,1.84620308834595,0.0915962687927007,2.74749795381388,3.95603805647619,0.976250645212304,0.0309142164498818,1.40919296985622
7,0.0780261737913222,1.12740478578538,1.47030811738209,2.78964079378367,0.159993638845404,0.101893584602409,1.9900203941875,0.101547122608144,3.9008050437046,3.99947125183672,0.99878061333639,0.0455334949781516,1.60926979946693
