n_median,p_median,z_median,rp_median,rp_lb68,rp_ub68,rp_lb95,rp_ub95,rz_median,psynth_median,predation_median,mldloss_median,noZoo_median,noMLD_median,zPred_median,zMLD_median,p_maxL_median,p_noZ_median,p_maxMLD_median,light,mld,dmld,pgr_median,pgr_lb68,pgr_ub68,pgr_lb95,pgr_ub95,dps1_median,dps1_lb68,dps1_ub68,dps1_lb95,dps1_ub95,tavg,drp_median
3.39618674965765,2.85387213863469,0.136371145631829,0.0416802804923701,0.0169132800279192,0.0596762760362403,0.0169132800279192,0.0596762760362403,51.9343947269409,0.076558182867569,0.00738303198638606,0.0289938562177649,0.02747146163137,0.52016148034792,0.0951203440141122,0.00876624391384178,3.09590189388605,3.51503422041095,1.12657559609504,83.1522611215686,169.471508279867,-1.59979297285747,0.0191053240852249,-0.0385698558652883,0.0433619658577058,-0.0385698558652883,0.0433619658577058,2.31444132730833,2.00629133803601,2.66454004343831,2.00629133803601,2.66454004343831,36,0.0530468357945913
3.35121528679573,3.15190476746768,0.320931984193053,0.0344134627255218,0.016929514331899,0.0516051108806965,0.016929514331899,0.0516051108806965,48.7530549898355,0.0830105774564458,0.0123873393039577,0.0361696539640852,0.0361696539640852,0.509392220610973,0.172118920599471,0.0100552211263183,3.11693504385578,3.68080382272275,1.32942538161869,87.8726461137308,162.496978064471,-2.43176631750885,0.0278699950936722,0.00367960852972707,0.0421359253724354,0.00367960852972707,0.0421359253724354,2.63673896219899,2.19080012724547,3.37553131541629,2.19080012724547,3.37553131541629,37,0.0652953329812153
3.29056577251475,3.41721375952991,0.692824565782402,0.0318690718387597,0.0189235039489515,0.0560058870070679,0.0189235039489515,0.0560058870070679,45.526052203977,0.0995864280685408,0.0241966333429995,0.0434983802480721,0.0434983802480721,0.494964132628446,0.280537776907143,0.0116674537093752,3.1093353626827,3.85688699149908,1.56500502500905,103.128997542729,138.051007308225,-3.26373967004016,0.0213396748883701,-0.00489879502845917,0.0356315719853163,-0.00489879502845917,0.0356315719853163,2.84739485515079,1.81060174038891,3.46512065883991,1.81060174038891,3.46512065883991,38,0.201431941348576
3.23648620243255,3.56568914591422,1.276420378855,0.00727462928926333,-0.0211280491605838,0.0257990505579663,-0.0211280491605838,0.0257990505579663,43.2640322663351,0.113595134079698,0.0510656776226614,0.0551863770218791,0.0551863770218791,0.480621612280469,0.375877521249611,0.00277771725094539,3.10137540483457,4.02061710838821,1.79515525413788,77.1862093791349,111.109116659655,-3.27066208049284,0.0169692170874304,-0.00376364715042208,0.0614125767497892,-0.00376364715042208,0.0614125767497892,2.95398803374997,2.4477145165825,3.24413056664863,2.4477145165825,3.24413056664863,39,0.0974374121779636
3.20937968269906,3.59345342399515,1.94567430375154,1.72889026188727E-05,-0.0226893903513855,0.037815487026956,-0.0226893903513855,0.037815487026956,42.8746269267169,0.175586741139522,0.0998702082344694,0.0754112755986737,0.0754112755986737,0.4733940566338,0.38992188565094,-0.000613911211333075,3.14719987167415,4.18115472715208,2.02345175479039,91.516492641158,84.1672259835073,-2.49406806026013,0.0182538276346465,0.00703337254180249,0.03305117061546,0.00703337254180249,0.03305117061546,3.14889115951987,2.78034824929202,3.44038241185327,2.78034824929202,3.44038241185327,40,0.386599674257043
3.09948256101554,3.73700143090079,2.58539706527991,0.0157036322086842,-0.0398957929305823,0.0787211582940839,-0.0398957929305823,0.0787211582940839,41.0354043721823,0.239026594572994,0.202618886180972,0.0206357833478065,0.0206357833478065,0.450260574011905,0.481613148005929,0.00880242460970885,3.29831065866301,4.36470334405011,2.27852828104222,106.99305665066,59.5551173763972,-1.7174740391215,0.0131616566142897,-0.000362653829122074,0.0266837127428004,-0.000362653829122074,0.0266837127428004,3.25465606524912,3.16521073177104,3.37479312722978,3.16521073177104,3.37479312722978,41,0.325572156726432
3.04123343106379,3.51231732537603,3.18881858123268,-0.0360477057229148,-0.0629550605959339,-0.0193702487715731,-0.0629550605959339,-0.0193702487715731,43.3946029235884,0.265085610343342,0.276347093206395,0.0247025086252631,0.0247025086252631,0.431516862385372,0.377606996741211,-0.0156204294400204,3.18502986594203,4.48954123149389,2.5433059276501,114.390054157187,51.2514832134115,-1.03795427061811,0.015404166229395,-0.00468020198752251,0.0329288049881858,-0.00468020198752251,0.0329288049881858,3.39207989698149,3.2286595140072,3.55148269528238,3.2286595140072,3.55148269528238,42,0.131708244658733
3.02854294160497,3.27347877191828,3.5617979560041,-0.02436701658348,-0.0547503960368978,-0.0103926529920896,-0.0547503960368978,-0.0103926529920896,46.7102559250061,0.305709630699831,0.299026232226724,0.0309332234183658,0.0309332234183658,0.428427256153332,0.23285371091951,-0.00904898347421339,3.08330587041681,4.60358720636788,2.80719669015979,128.672912164833,42.9478490445913,-0.976431909386895,0.00697038396060126,-0.00982703096356667,0.0174922307653538,-0.00982703096356667,0.0174922307653538,3.46477091826282,3.2348058092426,3.75177518234092,3.2348058092426,3.75177518234092,43,0.190981455555172
3.00049969035039,3.16882833372315,3.78432578122081,-0.00257061358680541,-0.0281455944154912,0.0536326825365857,-0.0281455944154912,0.0536326825365857,48.2212121358063,0.338588070773682,0.324084879691597,0.0169414663584486,0.0169414663584486,0.423507195091545,0.184788613790456,0.00051198563780909,3.06967980698109,4.67622697917324,3.05039936061721,124.492659672381,34.6442148815626,-0.730342459728323,0.00433693962228057,-0.00435461919077543,0.0131074950893712,-0.00435461919077543,0.0131074950893712,3.6243560547546,3.26246827952924,4.04002302814376,3.26246827952924,4.04002302814376,44,0.122498100132351
2.9576475786565,3.09264882080443,3.94233732032841,0.00685387741483344,-0.0363040543071419,0.098652271499844,-0.0363040543071419,0.098652271499844,49.1643670291283,0.356988360283665,0.349476191371109,0,0,0.412973388916041,0.159521085328935,0.00156059007271056,3.04942655384006,4.74248235140789,3.24825682303665,107.22885439243,27.8171173881261,-0.484253010306026,-0.00131309809553083,-0.012493495230455,0.0109045849536246,-0.012493495230455,0.0109045849536246,3.55936911203592,3.19929793149868,3.92428515716249,3.19929793149868,3.92428515716249,45,0.0610649161604308
