n_median,p_median,z_median,rp_median,rp_lb68,rp_ub68,rp_lb95,rp_ub95,rz_median,psynth_median,predation_median,mldloss_median,noZoo_median,noMLD_median,zPred_median,zMLD_median,p_maxL_median,p_noZ_median,p_maxMLD_median,light,mld,dmld,dps1_median,dps1_lb68,dps1_ub68,dps1_lb95,dps1_ub95,tavg
0.610858098401438,0.706947746516533,0.965273694601076,0.374785705577633,0.738380069049629,0.0212235152021016,0.738380069049629,0.0212235152021016,0.469302692718748,0.92230231401755,0.945298156777857,0.687703723770595,0.792754908513486,0.59012038829535,0.182067603806682,0.487727718321578,0.552462035706721,0.957334975502665,0.945374465120705,0.995634268494214,0.0207506380002766,0.505631616132357,0.904688255422526,0.92565264844346,0.731570376978242,0.92565264844346,0.731570376978242,1
0.693948962777356,0.683960240859897,0.983643074338406,0.320151538461959,0.699984871575761,0.00253827357321038,0.699984871575761,0.00253827357321038,0.495416134503983,0.956123747827752,0.983867486395582,0.755729000236602,0.868698919441043,0.672456717750098,0.164122475769409,0.458529043563929,0.508207414688114,0.971043050885914,0.98203866734499,0.893787109994869,0.0104809899493229,0.516766649535585,0.836731473387981,0.947613539124734,0.61382249893876,0.947613539124734,0.61382249893876,2
0.777489539984627,0.663491046717056,0.994822176177452,0.325156797042717,0.626143215343191,0.0286739738906512,0.626143215343191,0.0286739738906512,0.520277732444237,0.969895779507957,0.992382640051616,0.810594936887027,0.929951728823047,0.760239786249182,0.148609831665719,0.463871959263399,0.470767658068356,0.983583379650547,0.99918961092748,0.76864339093724,0.00458242793131656,0.527901682883721,0.76238291069018,0.886479267578097,0.50654860655521,0.886479267578097,0.50654860655521,3
0.838547068262981,0.655981376223565,1,0.378168781341366,0.729367480017789,0.0613506484951075,0.729367480017789,0.0613506484951075,0.531031476399522,0.984484498261003,0.995574988474035,0.83022334978338,0.951865059880749,0.827941236873204,0.141709677602149,0.49101078635347,0.448867210986995,0.993009819763691,1,0.806518377547728,0.00305495195942412,0.533469199527985,0.681703680527302,0.781467134497932,0.454189478589828,0.781467134497932,0.454189478589828,4
0.869753049438681,0.658406564683627,0.999941824018939,0.430459896607703,0.756829382077149,0.0916532513898339,0.756829382077149,0.0916532513898339,0.52997245740944,1,1,0.872149892735258,0.975161940822968,0.862521570961717,0.142294427659863,0.509888055958955,0.438149679548449,1,0.99267416625688,0.952940178714196,0.00152747599709375,0.542296843996471,0.602571499447115,0.78941985183795,0.371466342154557,0.78941985183795,0.371466342154557,5
0.892200730731867,0.64856367485609,0.991511631138001,0.467819809257213,0.797120649503212,0.0763068266086161,0.797120649503212,0.0763068266086161,0.539595019649743,0.960693303637287,0.945199109656735,0.982812778309035,1,0.883229807741116,0.136239138335942,0.492870558657195,0.447414776984781,0.998761516939817,0.968776879027754,0.790729341961076,0,0.556421075192266,0.584105341687379,0.778095787873466,0.350770005297308,0.778095787873466,0.350770005297308,6
0.899125776388375,0.658586275762272,0.97380295883755,0.607964665472072,0.859269796001706,0.187615962278005,0.859269796001706,0.187615962278005,0.531051510532428,0.920046912841814,0.881274220299896,1,0.930684786065765,0.892692625034877,0.141307351203782,0.532274941057099,0.496090502026851,0.994537629650358,0.924964538301165,0.776767560202225,0.00540315321150418,0.570545306413696,0.546499133598715,0.731985306643102,0.316305229798723,0.731985306643102,0.316305229798723,7
0.889707109215176,0.66441300713074,0.953243163073339,0.549483708271109,0.74319007520825,0.176797986459308,0.74319007520825,0.176797986459308,0.521101452078812,0.833960739917396,0.805149128333475,0.915223587431395,0.825878074085722,0.882492159002492,0.147790713244245,0.499998800040331,0.561141665003236,0.982350010343278,0.872446510100836,0.611238408830204,0.0149646839788947,0.575841893070861,0.480977028097904,0.638761418545168,0.327268861267069,0.638761418545168,0.327268861267069,8
0.873113114984717,0.680409622308289,0.930885961973888,0.656081338915155,0.874316716824813,0.246503886454715,0.874316716824813,0.246503886454715,0.50537880595076,0.78496780263945,0.741317640602985,0.877154962278069,0.741009137458671,0.868455861282964,0.157544245162366,0.539082466739546,0.606054645963013,0.96879870403361,0.818097136257678,0.655726282164384,0.024526214731648,0.588237372786227,0.488282389520472,0.655288889396863,0.279068792513276,0.655288889396863,0.279068792513276,9
0.851679180188547,0.68796727686029,0.905660200275249,0.631739159682167,0.849607379117734,0.194044305060307,0.849607379117734,0.194044305060307,0.493720380850427,0.71352570076474,0.674559920775255,0.863007939410845,0.670835643309547,0.846770065359351,0.165274816540555,0.507675252363358,0.651318839475877,0.950789391782087,0.769839999282573,0.64584607820832,0.0340877454344059,0.604764679051988,0.496129876447215,0.676982976491349,0.322810882286738,0.676982976491349,0.322810882286738,10
