tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline,P13_ConstHighN,P14_MLDOnlyNUnlim
360,0.00846541480400845,0.00897736999260886,0.00897736999260886,0,0.000884089520436987,0.000884089520436987,0.00177976512436638,0.00177976512436638,-0.00986567183952828,-0.00986567183952828,1.56414831117381E-17,70.049124579151,0.280327646306528,0.0125228004630567,0
366,-0.0103398481689807,0.00871267015343441,0.00871267015343441,0,-0.0237696270582028,-0.0237696270582028,0.00127706647286388,0.00127706647286388,-0.0261604183846691,-0.0261604183846691,1.56414831117381E-17,71.3262325065559,0.275527918959293,-0.0103805501658937,0
373,0.0109973347503724,0.0132022026446805,0.0132022026446805,0,0.00519403938111299,0.00519403938111299,0.00210888933960128,0.00210888933960128,-0.0062439328268974,-0.0062439328268974,1.56414831117381E-17,72.5133536320673,0.254103748136145,0.016821548460471,0
381,0.00685430170756281,0.00209563919479704,0.00209563919479704,0,0.00790053919951793,0.00790053919951793,0,0,-0.00382189669892626,-0.00382189669892626,1.56414831117381E-17,73.2878158464541,0.248554480305148,0.0113071685300705,0
389,-0.00762393354899129,-0.0121538382084798,-0.0121538382084798,-0.0182981969257506,0.0117695318876936,0.0117695318876936,-0.0182981969257506,-0.0182981969257506,-0.00054414326730395,-0.00054414326730395,1.56414831117381E-17,73.8040565159985,0.216428970562734,-0.00261636069974658,-0.0182981969257506
397,0.010838886884387,-0.0041501525304346,-0.0041501525304346,-0.0154380502501395,0.0364317541005468,0.0364317541005468,-0.0108495212012446,-0.0108495212012446,0.0177406432645386,0.0177406432645386,1.56414831117381E-17,73.6256452386484,0.214558491910581,0.0191032372689868,-0.0184316818987065
405,0.0196752145182047,5.45710373986899E-06,5.45710373986899E-06,-0.00758909401467054,0.0428887974764041,0.0428887974764041,-0.00490715846601613,-0.00490715846601613,0.02280132536481,0.02280132536481,1.56414831117381E-17,72.6577819636117,0.206971076633915,0.027690970902968,-0.0185671287261163
413,0.0119128207436581,0.00230121174371329,0.00230121174371329,-0.00933561801318772,0.0233119564622838,0.0233119564622838,-0.001088714343125,-0.001088714343125,0.0103368946620405,0.0103368946620405,1.56414831117381E-17,71.6251053794322,0.198813016839697,0.0161386178968332,0.00569206933928316
421,0.0232201286168884,0.00455414444951917,0.00455414444951917,-0.000346220602760351,0.0297135956616687,0.0297135956616687,0.00198265937087216,0.00198265937087216,0.0170353661659171,0.0170353661659171,1.56414831117381E-17,70.4585611525551,0.191451997579816,0.0272630184937935,0.00530923911800471
429,0.0235822656756416,0.00583765441866733,0.00583765441866733,0.0019340444603909,0.0195218140307155,0.0195218140307155,0.00406518208620324,0.00406518208620324,0.0131436511657781,0.0131436511657781,1.56414831117381E-17,69.029471680241,0.210979236983547,0.0244038738068598,0.00504262251296736
437,0.0502025917332585,0.0226208568685545,0.0226208568685545,0.0273301244726984,0.0175131630091414,0.0175131630091414,0.0227908979035869,0.0227908979035869,0.016076147231815,0.016076147231815,1.56414831117381E-17,67.35694637299,0.236646561567674,0.0467989021577331,0
445,0.053726455504814,0.0110688374432931,0.0110688374432931,0.0306881045919144,0.0202225138820071,0.0202225138820071,0.0155231363469854,0.0155231363469854,0.024902887040252,0.024902887040252,1.56414831117381E-17,64.6871385983496,0.258989085524238,0.0426347180008821,0
453,0.0418495351625335,0.00518098786282778,0.00518098786282778,0.0269830349140088,0.00275762458210785,0.00275762458210785,0.010202110988878,0.010202110988878,0.0237284154381425,0.0237284154381425,1.56414831117381E-17,61.0448781010851,0.262070874759298,0.0203737215487619,0
461,0.00533009989097049,-0.0174019820229755,-0.0174019820229755,0.00493907377281363,-0.0125951129799951,-0.0125951129799951,-0.0119128681482024,-0.0119128681482024,0.0214211208958937,0.0214211208958937,1.56414831117381E-17,56.8267138141484,0.212189207268126,-0.0220975406601929,-0.0181296934938835
469,-0.0175346642998258,-0.0145138947760772,-0.0145138947760772,0.00232748445520944,-0.0229803060900478,-0.0229803060900478,-0.00928363896148259,-0.00928363896148259,0.0128417145357036,0.0128417145357036,1.56414831117381E-17,52.9030661639273,0.145537009585119,-0.0316077685161316,-0.0171668549041645
477,-0.00925981134965906,-0.00252479152379492,-0.00252479152379492,0.0152067959582453,-0.00293185992816672,-0.00293185992816672,-0.00260815339604391,-0.00260815339604391,0.0166417953263359,0.0166417953263359,1.56414831117381E-17,48.6950105731424,0,-0.00168146105246784,0.000966508090824251
485,-0.0140407803548732,0.00680990743160685,0.00680990743160685,0.0201246750756007,-0.0108987483283601,-0.0108987483283601,0.00593196953800719,0.00593196953800719,0.009689938894862,0.009689938894862,1.56414831117381E-17,44.6702386027516,0,-0.00326509161827083,0.00756551129630563
493,0.00233812551455138,0.0148076803839755,0.0148076803839755,0.0324485899221247,0.000114158330415498,0.000114158330415498,0.0161215600666744,0.0161215600666744,0.0106570539653876,0.0106570539653876,1.56414831117381E-17,40.868073959278,0,0.0111799009955635,0.0154307347889077
501,-0.0042436044068036,0.0206788417084884,0.0206788417084884,0.0306281800498335,-0.0121881049942909,-0.0121881049942909,0.0273018704948846,0.0273018704948846,0.00335424900283869,0.00335424900283869,1.56414831117381E-17,37.9536772297402,0,-0.00110085735813992,0.0240386566358933
509,-0.016487984237205,-0.00389906395837977,-0.00389906395837977,0.0202584235582352,-0.00856382904374619,-0.00856382904374619,0.0244159926442688,0.0244159926442688,0.000392149110791577,0.000392149110791577,1.56414831117381E-17,36.3947387304279,0,-0.0144577909608747,0.0205255622166868
517,0.018892468607797,0.0173277429620788,0.0173277429620788,0.0284564881380599,0.0119483215979765,0.0119483215979765,0.0221127133679427,0.0221127133679427,0.00770160214683503,0.00770160214683503,1.56414831117381E-17,34.1046505439283,0.221810612661786,0.0192459908614136,0.0189601426780851
525,-0.00891737933381175,0.0034828913005063,0.0034828913005063,0.0152624529253341,-0.00807678490591518,-0.00807678490591518,0.0209505771923634,0.0209505771923634,0.00209327170612459,0.00209327170612459,1.56414831117381E-17,32.0142018421818,0.221810612661786,-0.00473292463879963,0.0190559594800943
533,-0.0121135549212902,-0.00922920198052339,-0.00922920198052339,0.0167485475435417,0.000435484614008739,0.000435484614008739,0.0165014069694743,0.0165014069694743,0.00320485809574331,0.00320485809574331,1.56414831117381E-17,30.4117384023188,0.221810612661786,-0.00919317945169683,0.0162455740908842
541,-0.0244654428283703,-0.0175467632517496,-0.0175467632517496,0.140704027898795,-0.022994731176148,-0.022994731176148,0.154569979431123,0.154569979431123,-0.00657883439815326,-0.00657883439815326,1.56414831117381E-17,30.4234335293089,0.221810612661786,-0.0238600687899468,0.154567517033366
549,-0.00251544486845233,-0.00971782227210193,-0.00971782227210193,0,0.01069166294875,0.01069166294875,0,0,0.00185644844938814,0.00185644844938814,1.56414831117381E-17,30.4291189612216,0.221810612661786,-0.0026490430000334,0.0612405942675476
557,-0.0164530643440362,-0.00586759216403156,-0.00586759216403156,-0.0132033412728113,-0.019935268861438,-0.019935268861438,-0.0181000905777931,-0.0181000905777931,-0.0071711882902268,-0.0071711882902268,1.56414831117381E-17,31.1078153681246,0.221810612661786,-0.0174626605029869,-0.0512698064122086
565,0.00240497456299942,-0.00346777214671421,-0.00346777214671421,0.00722816141016346,0.010340477696826,0.010340477696826,-0.00152831384448026,-0.00152831384448026,0.000802240850188216,0.000802240850188216,1.56414831117381E-17,31.6972810162611,0.221810612661786,0.00141021411573839,-0.0161260216402126
573,-0.00662560634052052,-0.00200793851285389,-0.00200793851285389,-0.00543727579583591,-0.00805258873354348,-0.00805258873354348,0.000231333227382874,0.000231333227382874,-0.00355093628990281,-0.00355093628990281,1.56414831117381E-17,32.2161709623657,0.221810612661786,-0.00729571490976352,-0.00415854645912318
581,0.00119098164332588,-0.00133423786403982,-0.00133423786403982,0.0526639085576517,0.00629906212822201,0.00629906212822201,0.0975878226720018,0.0975878226720018,0.000786655784029507,0.000786655784029507,1.56414831117381E-17,32.5480087855661,0.221810612661786,0.000411061320470984,0.115171685280335
589,-0.00837513490897438,-0.0009004061947076,-0.0009004061947076,0,-0.0137328372009855,-0.0137328372009855,0,0,-0.00580639467717078,-0.00580639467717078,1.56414831117381E-17,33.4524894118889,0.221810612661786,-0.00925831141554966,0.0540570370529088
597,-0.00154756681800476,-0.00233649760418397,-0.00233649760418397,0,-0.00253285911048758,-0.00253285911048758,0,0,-0.00453497114820082,-0.00453497114820082,1.56414831117381E-17,34.9616751837772,0.221810612661786,-0.00248146411215859,0.031193548275873
605,-0.00891205813850206,-0.00277762783619704,-0.00277762783619704,0,-0.0110785423027281,-0.0110785423027281,0,0,-0.00831789310976046,-0.00831789310976046,1.56414831117381E-17,36.9331867771417,0.221810612661786,-0.0100912336653523,0.0197453237346546
613,-0.00245891742405613,-0.00207339661767169,-0.00207339661767169,0,-0.00398061887093782,-0.00398061887093782,0,0,-0.0075171388448898,-0.0075171388448898,1.56414831117381E-17,39.2312151282207,0.221810612661786,-0.00352449720320758,0.0246750179013324
621,0.00569646859282262,-0.00160178400841561,-0.00160178400841561,0,0.011691088758397,0.011691088758397,0,0,-0.000857078972442168,-0.000857078972442168,1.56414831117381E-17,40.5728835183936,0.221810612661786,0.00465388785231403,0
629,-0.00493262803704811,-0.00407465577457572,-0.00407465577457572,0,0.00210563318071798,0.00210563318071798,0,0,-0.00204164251772487,-0.00204164251772487,1.56414831117381E-17,41.4177448022104,0.221810612661786,-0.00525677255027636,0
637,-0.0114243155798843,-0.0043421367999003,-0.0043421367999003,0,-0.00792970358538623,-0.00792970358538623,0,0,-0.00622852423068374,-0.00622852423068374,1.56414831117381E-17,42.7918708819246,0.221810612661786,-0.0120340646036298,0
645,-0.0120207160630307,-0.00355471911754134,-0.00355471911754134,0,-0.0109160213851964,-0.0109160213851964,0,0,-0.00949401245114148,-0.00949401245114148,1.56414831117381E-17,44.8831892018727,0.221810612661786,-0.0128235597102413,0
653,-0.0231102279347555,-0.00286255007902706,-0.00286255007902706,0,-0.0212078696880316,-0.0212078696880316,0,0,-0.0162770144326675,-0.0162770144326675,1.56414831117381E-17,47.9012698062326,0.221810612661786,-0.0249300056246297,0
661,0.000303129452080247,-0.0027270418466595,-0.0027270418466595,0,-0.00470069330464375,-0.00470069330464375,0,0,-0.0120387424248719,-0.0120387424248719,1.56414831117381E-17,50.9776806664268,0.221810612661786,0.000792622123219223,0
669,-0.0126595336124503,-0.00210248500241356,-0.00210248500241356,0,-0.01097749979477,-0.01097749979477,0,0,-0.015234314562894,-0.015234314562894,1.56414831117381E-17,53.9008928909715,0.221810612661786,-0.014121654145536,0
677,-0.00484057597737872,-0.00154844388224933,-0.00154844388224933,0,-0.00670885223688259,-0.00670885223688259,0.000195086849020516,0.000195086849020516,-0.0141399846665085,-0.0141399846665085,1.56414831117381E-17,56.7642852763442,0.221810612661786,-0.00447452062724382,0
685,-0.00635803021819129,0.0150690109818662,0.0150690109818662,0,-0.0073366232449331,-0.0073366232449331,0.000470566403784326,0.000470566403784326,-0.0147714184036447,-0.0147714184036447,1.56414831117381E-17,59.4121994950827,0.221810612661786,-0.00655213019949406,0
693,0.00526101347561367,0.0153078370556608,0.0153078370556608,0,-0.00686280525532341,-0.00686280525532341,0.000624176823644671,0.000624176823644671,-0.0148075108999435,-0.0148075108999435,1.56414831117381E-17,61.8839581973841,0.269175813203016,0.00613101701898965,0
701,0.00337164502813274,0.01810759570923,0.01810759570923,0,-0.0127229000764131,-0.0127229000764131,0.00529579476701307,0.00529579476701307,-0.0183517309785392,-0.0183517309785392,1.56414831117381E-17,64.3187006522555,0.288442171430039,0.00403218970812052,0
709,0.0214623528005998,0.0301861353801102,0.0301861353801102,0,-0.00560036773115431,-0.00560036773115431,0.018993555259561,0.018993555259561,-0.0145766972825385,-0.0145766972825385,1.56414831117381E-17,66.4948553236302,0.334937262065861,0.0260216739811824,0
717,0.0271115082750186,0.052600479538959,0.052600479538959,0.00454846805145086,-0.00665443558977357,-0.00665443558977357,0.0377235432043514,0.0377235432043514,-0.0150890789847044,-0.0150890789847044,1.56414831117381E-17,68.3588356632299,0.448457301811585,0.0335028841582659,0.0253539537085503
725,0.0171744805476427,0.04613403211322,0.04613403211322,0.00186571675941883,-0.0109044373229699,-0.0109044373229699,0.0344789975435094,0.0344789975435094,-0.0177557700740267,-0.0177557700740267,1.56414831117381E-17,70.1328176119505,0.390824801770064,0.0228899054770326,0
732,-0.00649606931779388,0.00507604624154032,0.00507604624154032,0,-0.0168144427854277,-0.0168144427854277,0.0113972229708828,0.0113972229708828,-0.0218198636112555,-0.0218198636112555,1.56414831117381E-17,71.6918722807843,0.303749738449684,-0.00468959200815688,0
739,-0.0213492561463037,-0.00656155983146098,-0.00656155983146098,-0.017632773679385,-0.0135275550626786,-0.0135275550626786,-0.00667560226525642,-0.00667560226525642,-0.0196069355045105,-0.0196069355045105,1.56414831117381E-17,73.1238653503327,0.203057999566957,-0.0183310246246051,-0.017632773679385
747,0.00291782824505813,-0.000216785494141093,-0.000216785494141093,-0.0130077849359368,0.0222567684671493,0.0222567684671493,-0.00333168621641743,-0.00333168621641743,0.00662948471620076,0.00662948471620076,1.56414831117381E-17,73.8990856588854,0.193221762834111,0.0110422989549488,-0.0184063787288295
755,0.00916358744365097,0.0026190661036307,0.0026190661036307,-0.00769019853304355,0.026944837978997,0.026944837978997,-0.000930956506542223,-0.000930956506542223,0.0102375799563355,0.0102375799563355,1.56414831117381E-17,73.9605632046798,0.195343350534114,0.0177199840915966,0.00513788813057185
