p_median,p_lb95,p_ub95,p_lb68,p_ub68,p_maxL_median,p_maxL_lb95,p_maxL_ub95,p_maxL_lb68,p_maxL_ub68,p_minL_median,p_minL_lb95,p_minL_ub95,p_minL_lb68,p_minL_ub68,p_noZ_median,p_noZ_lb95,p_noZ_ub95,p_noZ_lb68,p_noZ_ub68,p_maxMLD_median,p_maxMLD_lb95,p_maxMLD_ub95,p_maxMLD_lb68,p_maxMLD_ub68,p_minMLD_median,p_minMLD_lb95,p_minMLD_ub95,p_minMLD_lb68,p_minMLD_ub68,p_maxLNZ_median,p_maxLNZ_lb95,p_maxLNZ_ub95,p_maxLNZ_lb68,p_maxLNZ_ub68,p_minLNZ_median,p_minLNZ_lb95,p_minLNZ_ub95,p_minLNZ_lb68,p_minLNZ_ub68,p_maxMLDNZ_median,p_maxMLDNZ_lb95,p_maxMLDNZ_ub95,p_maxMLDNZ_lb68,p_maxMLDNZ_ub68,p_minMLDNZ_median,p_minMLDNZ_lb95,p_minMLDNZ_ub95,p_minMLDNZ_lb68,p_minMLDNZ_ub68,p_zOnly_median,p_zOnly_lb95,p_zOnly_ub95,p_zOnly_lb68,p_zOnly_ub68
2.17619869845553,2.01947317833287,2.31019925719162,2.09740570224248,2.24867952723919,2.5446186047216,2.46012988807871,2.63528974151719,2.50394616586155,2.58916525795223,2.1682894875459,1.89197706717668,2.39671250203866,2.03248294356766,2.29122918089264,NaN,NaN,NaN,NaN,NaN,0.950571351565774,0.338346222114405,1.49984522193115,0.644937823282903,1.24781721602265,NaN,NaN,NaN,NaN,NaN,4.33173087117557,4.33173087117557,4.33173087117557,4.33173087117557,4.33173087117557,NaN,NaN,NaN,NaN,NaN,1.21723212248796,0.370676141420636,1.93445862635983,0.778381880379214,1.59235328085539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.14458280366011,1.9953697805139,2.28284731298706,2.07087054196524,2.22287192467703,2.4483884861142,2.36261778927071,2.53857057389843,2.4079888103819,2.49259919284114,2.10582091666399,1.81962532699229,2.33501648257346,1.96519227429654,2.22893524624091,NaN,NaN,NaN,NaN,NaN,0.860303977484078,0.189392980898753,1.46301885706705,0.525579755150746,1.18981489118837,NaN,NaN,NaN,NaN,NaN,4.29561993558299,4.29561993558299,4.29561993558299,4.29561993558299,4.29561993558299,NaN,NaN,NaN,NaN,NaN,1.11265880075742,0.226697504962448,1.87317696640285,0.648788975548572,1.5076299261259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.13551444438673,1.97538947369105,2.27538539295643,2.06083995326213,2.21327876987529,2.39479692245645,2.31352138707945,2.48364713576688,2.35598875496218,2.43818927567725,2.04670628090216,1.75674120286254,2.28634300145805,1.90400308369271,2.17508854472249,NaN,NaN,NaN,NaN,NaN,0.768884620072572,0.0360473278398574,1.44729688745531,0.406400153594143,1.13936328216557,NaN,NaN,NaN,NaN,NaN,4.27597709323343,4.27597709323343,4.27597709323343,4.27597709323343,4.27597709323343,NaN,NaN,NaN,NaN,NaN,1.01923513007136,0.064501564939853,1.8153700992308,0.529735022464409,1.43426336058448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.97668549794646,1.82177853417922,2.13308398137433,1.89392250466455,2.05953680208549,2.26283496422555,2.16604062974976,2.36792124560814,2.21326717337845,2.31575825801251,1.83035064679309,1.54161938075495,2.08694408341915,1.67893657083376,1.96651026027139,NaN,NaN,NaN,NaN,NaN,0.69398251448888,-0.105296383581151,1.4386166433901,0.301308000903901,1.09924188158574,NaN,NaN,NaN,NaN,NaN,4.07115784367814,4.07115784367814,4.07115784367814,4.07115784367814,4.07115784367814,NaN,NaN,NaN,NaN,NaN,0.931564198593883,-0.0884130847312075,1.77229734312471,0.410810081150489,1.37508333560486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.96564336594843,1.78776369581035,2.14322221112328,1.8696630476492,2.0575850350393,2.26500311715413,2.15400963429772,2.38487382505763,2.20604299366848,2.32709662920384,1.65981903893561,1.35413044084496,1.96220008575053,1.49042574346532,1.82912888769986,NaN,NaN,NaN,NaN,NaN,0.686741748213974,-0.186996820744307,1.48148961048312,0.246691112019745,1.11884997482181,NaN,NaN,NaN,NaN,NaN,3.82472352739641,3.82472352739641,3.82472352739641,3.82472352739641,3.82472352739641,NaN,NaN,NaN,NaN,NaN,0.902061188061951,-0.171974576768203,1.80761971299685,0.348714263770149,1.38197288059785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.03031059332654,1.82560248297519,2.23123911111241,1.92202374752329,2.13899986834732,2.3448471785419,2.21774524216654,2.4731964889393,2.28256351161396,2.41193491437391,1.56051384098518,1.21146249589981,1.92425786274862,1.37333399140394,1.75610340280067,NaN,NaN,NaN,NaN,NaN,0.705818842524102,-0.243135501959962,1.54881603475713,0.22572250402599,1.16890523188406,NaN,NaN,NaN,NaN,NaN,3.56309272965875,3.56309272965875,3.56309272965875,3.56309272965875,3.56309272965875,NaN,NaN,NaN,NaN,NaN,0.902243592162947,-0.218421804636453,1.86686069311633,0.320144324147071,1.40743386602824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.14989228416623,1.91917095193835,2.36679223110338,2.03011981180711,2.26578094869557,2.45765441135808,2.33514171619607,2.58330027836969,2.39855868463348,2.52186737991027,1.53329465930751,1.13122538595292,1.9397954413837,1.3198439407486,1.75680132389099,NaN,NaN,NaN,NaN,NaN,0.735775893122221,-0.294617848114634,1.63491669067266,0.223980488012001,1.22850209517522,NaN,NaN,NaN,NaN,NaN,3.28324027838839,3.28324027838839,3.28324027838839,3.28324027838839,3.28324027838839,NaN,NaN,NaN,NaN,NaN,0.917666546136571,-0.25754951271919,1.92589425626397,0.30651535051735,1.44651170416024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.34354110557206,2.10153711910579,2.57303022566309,2.21981245011843,2.46089748431936,2.58788254210812,2.47798849146655,2.69865724004133,2.52965557699824,2.64456717534601,1.57092383209549,1.10918029927401,2.01867077156389,1.33827289707434,1.82421641326124,NaN,NaN,NaN,NaN,NaN,0.805187058662533,-0.287980755037188,1.77602974632196,0.266493022089555,1.33277621971566,NaN,NaN,NaN,NaN,NaN,3.02603241651759,3.02603241651759,3.02603241651759,3.02603241651759,3.02603241651759,NaN,NaN,NaN,NaN,NaN,0.970362274183083,-0.254790797033692,2.03396750569909,0.343771978533862,1.53259699675008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5830752204723,2.3464414715617,2.78422123228301,2.47034030366249,2.6919515149031,2.70808894693319,2.6129540475308,2.80861257946584,2.65715707834611,2.7594315744212,1.69766139587254,1.16603278507257,2.17910956892103,1.43649776693347,1.96421784064429,NaN,NaN,NaN,NaN,NaN,0.909322106232022,-0.261590428320302,1.93315860158616,0.324692192555145,1.46098239948487,NaN,NaN,NaN,NaN,NaN,2.88272513007984,2.88272513007984,2.88272513007984,2.88272513007984,2.88272513007984,NaN,NaN,NaN,NaN,NaN,1.05808543977028,-0.220781859193421,2.1586369624779,0.40190996569542,1.64758621040404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.90867215757045,2.71409318336138,3.07675994536173,2.81725476794876,2.99614776900797,2.79739503426929,2.71118267230023,2.89313599172131,2.75042582025449,2.84688238774907,1.90509411999004,1.32271461435035,2.39472371526389,1.62192244839741,2.18835889220229,NaN,NaN,NaN,NaN,NaN,1.09297213710713,-0.137224758536383,2.18885391973376,0.478659910465372,1.66188890693016,NaN,NaN,NaN,NaN,NaN,2.86858998050404,2.86858998050404,2.86858998050404,2.86858998050404,2.86858998050404,NaN,NaN,NaN,NaN,NaN,1.21980434064792,-0.107499516734906,2.38448577062606,0.565453857711466,1.83406941839506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
